SKU,Name1,Name2
ST20231116_200012_STOP THE VIOLENCE,STOP THE,VIOLENCE
ST20231116_200016_EVERYBODY SAY LOVE,EVERYBODY,SAY LOVE
ST20231116_200020_DO YOUR BEST NOW,DO YOUR,BEST NOW
ST20231116_200021_KEEP IT SIMPLE,KEEP IT,SIMPLE
ST20231116_200024_NO FEELING IS FINAL,NO FEELING,IS FINAL
ST20231116_200025_JOBS NOT FINISHED,JOBS NOT,FINISHED
ST20231116_200036_DUST IN THE WIND,DUST IN,THE WIND
ST20231116_200040_NEVER BE SO KIND,NEVER BE,SO KIND
ST20231116_200044_ONE OF US IS LYING,ONE OF US,IS LYING
ST20231116_200052_IT IS ME IM SINGLE,IT IS ME,I'M SINGLE
ST20231116_200103_NO ONE IS ALONE,NO ONE IS,ALONE
ST20231116_200110_THE VOICES IN MY HEAD,THE VOICES,IN MY HEAD
ST20231116_200113_HOW LUCKY WE ARE,HOW LUCKY,WE ARE
ST20231116_200115_EVERYTHING IS A COPY,EVERYTHING,IS A COPY
