SKU,Name1,Name2
ST20231118_223119_WAIT FOR THE DROP,WAIT FOR,THE DROP
ST20231118_223122_WELL BE ALRIGHT,WE'LL BE,ALRIGHT
ST20231118_223125_WOMEN LIFE FREEDOM,WOMEN LIFE,FREEDOM
ST20231118_223126_BE GOOD TO YOURSELF,BE GOOD TO,YOURSELF
ST20231118_223145_PRAY MORE WORRY LESS,PRAY MORE,WORRY LESS
ST20231118_223150_BORN TO BE WILDE,BORN TO BE,WILDE
ST20231118_223117_ITS OKAY TO NOT BE OKAY,IT'S OKAY TO,NOT BE OKAY.
ST20231118_223118_LOVE YOU TO THE MOON,LOVE YOU TO,THE MOON
ST20231118_223120_ONLY YOU CAN DECIDE WHAT BREAKS YOU,ONLY YOU CAN DECIDE,WHAT BREAKS YOU
ST20231118_223121_LORD LET THEM SEE YOU IN ME,LORD LET THEM,SEE YOU IN ME
ST20231118_223123_THE WILD IS CALLING,THE WILD IS,CALLING
ST20231118_223124_YOU HAD ME AT BOYS TO TORMENT,YOU HAD ME AT,BOYS TO TORMENT
ST20231118_223127_MAKING MISTAKES IS HUMAN,MAKING,MISTAKES IS HUMAN
ST20231118_223128_THERE IS ALWAYS SOMETHING TO BE THANKFUL FOR,THERE IS ALWAYS,SOMETHING TO BE THANKFUL FOR
ST20231118_223129_DO SOMETHING NEW EVERYDAY,DO SOMETHING,NEW EVERYDAY
ST20231118_223130_BE A BAD ASS WITH A GOOD ASS,BE A BAD ASS,WITH A GOOD ASS
ST20231118_223131_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST20231118_223132_AINT NO THING LIKE ME EXCEPT ME,AIN'T NO THING,"LIKE ME, EXCEPT ME"
ST20231118_223133_ONCE UPON A TIME THIS IS WHO I AM,"ONCE UPON A TIME,",THIS IS WHO I AM
ST20231118_223134_YOU SEE ME YOU SEE ME MORE,"YOU SEE ME, YOU",SEE ME MORE
ST20231118_223135_IT IS WELL WITH MY SOUL,IT IS WELL,WITH MY SOUL
ST20231118_223136_BLOSSOM WHEREVER LIFE PLANTS YOU,BLOSSOM WHEREVER,LIFE PLANTS YOU
ST20231118_223137_BABY DONT GET GREEDY,"BABY, DON'T",GET GREEDY
ST20231118_223138_THIS IS THE HOUSE THAT HUSTLE BUILT,THIS IS THE HOUSE,THAT HUSTLE BUILT
ST20231118_223139_EVEN MIRACLES TAKE A LITTLE TIME,EVEN MIRACLES TAKE,A LITTLE TIME
ST20231118_223140_WHOS GONNA CARRY THE BOATS,WHO'S GONNA,CARRY THE BOATS
ST20231118_223141_WORK HARD AND BE KIND,WORK HARD,AND BE KIND
ST20231118_223142_SAY IT BEFORE ITS TOO LATE,"SAY IT, BEFORE",IT'S TOO LATE
ST20231118_223143_I HAVE NO IDEA WHAT IM DOING,I HAVE NO IDEA,WHAT I'M DOING
ST20231118_223144_WHAT YOU SEEK IS SEEKING YOU,WHAT YOU SEEK IS,SEEKING YOU
ST20231118_223146_FACTS DO NOT CARE ABOUT YOUR FEELING,FACTS DO NOT CARE,ABOUT YOUR FEELING
ST20231118_223147_LIVE IN A VAN DOWN BY THE RIVER,LIVE IN A VAN,DOWN BY THE RIVER
ST20231118_223148_I'D RATHER BE AT THE BEACH,I'D RATHER BE,AT THE BEACH
ST20231118_223149_ENJOY THE LITTLE THINGS,ENJOY THE,LITTLE THINGS
ST20231118_223151_IVE GOT A BONE TO PICK WITH YOU,I'VE GOT A BONE TO,PICK WITH YOU
ST20231118_223152_TO LIVE FOR THE HOPE OF IT ALL,TO LIVE FOR THE,HOPE OF IT ALL
ST20231118_223153_I HATE STUPID PEOPLE,I HATE,STUPID PEOPLE
ST20231118_223154_HAVE COURAGE AND BE KIND,HAVE COURAGE,AND BE KIND
