SKU,Name1,Name2
ST20231123_185927_A WILD SNUKE APPEARS,A WILD SNUKE,APPEARS!
ST20231123_185928_IM NOT JUST SURE IM HIV POSITIVE,"I'M NOT JUST SURE,",I'M HIV POSITIVE.
ST20231123_185929_ITS COMING RIGHT FOR US,IT'S COMING,RIGHT FOR US!
ST20231123_185930_SCREW YOU GUYS IM GOING HOME,"SCREW YOU GUYS,",I'M GOING HOME.
ST20231123_185931_RESPECT MY AUTHORITAH,RESPECT MY,AUTHORITAH!
ST20231123_185933_YOURE NOT MY FRIEND BUDDY,YOU'RE NOT MY,"FRIEND, BUDDY!"
ST20231123_185934_WELL SCREW YOU GUYS,"WELL, SCREW",YOU GUYS.
ST20231123_185935_IM NOT FAT IM BIG-BONED,"I'M NOT FAT,",I'M BIG-BONED.
ST20231123_185936_IM A LITTLE BIT COUNTRY AND IM A LITTLE,I'M A LITTLE BIT,"COUNTRY, AND I'M A LITTLE"
ST20231123_185937_LOOKS LIKE IÂ€™M HEADING FOR THE WATER,LOOKS LIKE IÂ€™M,HEADING FOR THE WATER.
ST20231123_185942_DO YOU LIKE FISH STICKS,DO YOU LIKE,FISH STICKS?
ST20231123_185943_IÂ€™M PRETTY SURE THE CAR IS MOVING,IÂ€™M PRETTY SURE,THE CAR IS MOVING.
ST20231123_185944_I LEARNED SOMETHING TODAY,I LEARNED,SOMETHING TODAY.
ST20231123_185945_DO YOU KNOW WHAT I AM SAYING,DO YOU KNOW WHAT,I AM SAYING?
ST20231123_185946_IÂ€™VE GOT SOME APPLES YOUÂ€™VE GOT SOME TOO,"IÂ€™VE GOT SOME APPLES,","YOUÂ€™VE GOT SOME, TOO!"
ST20231123_185948_THATÂ€™S MY FACE SIR,THATÂ€™S MY,"FACE, SIR!"
ST20231123_185950_SHUT YOUR FING FACE UNCLE FER,SHUT YOUR FING,"FACE, UNCLE FER."
ST20231123_185951_DONT BE A DICK DICK,DON'T BE A,"DICK, DICK."
ST20231123_185952_HEY GOVERNMENT ITÂ€™S ME BUTTERS,"HEY, GOVERNMENT.","ITÂ€™S ME, BUTTERS."
ST20231123_185953_I LOVE YOU PLEASE DONÂ€™T SELL ME,I LOVE YOU. PLEASE,DONÂ€™T SELL ME
