SKU,Name1,Name2,Name3,Name4
ST20231126_211054_CONQUER THE UNKNOWN LET,CONQUER THE ,"UNKNOWN, LET ",CURIOSITY BE ,YOUR GUIDE 
ST20231126_211055_WHY DONT SCIENTISTS TRUST ATOMS,WHY DON'T ,SCIENTISTS TRUST ATOMS? ,BECAUSE THEY MAKE ,UP EVERYTHING 
ST20231126_211056_SLEEPING BAGS ARE LIKE HUGS FROM,SLEEPING BAGS ARE ,LIKE HUGS FROM ,"NATURE, KEEPING YOU WARM ",IN ITS EMBRACE 
ST20231126_211057_CAMPING IS MY THERAPY MARSHMALLOWS,CAMPING IS MY ,"THERAPY MARSHMALLOWS, ","CAMPFIRES, AND NO CELL ",SERVICE-PURE BLISS 
ST20231126_211058_SLEEP UNDER THE STARS WAKE UP TO,SLEEP UNDER THE ,"STARS, WAKE UP TO ",ADVENTURE THAT'S THE ,CAMPING MAGIC 
ST20231126_211059_CAMPING WHERE THE STARS REPLACE CITY,CAMPING: WHERE THE ,STARS REPLACE CITY ,"LIGHTS, AND THE FIRE ",TELLS STORIES 
ST20231126_211100_LIFE IS AN EPIC QUEST-SEEK THE,LIFE IS AN EPIC ,QUEST-SEEK THE ,EXTRAORDINARY IN ,EVERY MOMENT 
ST20231126_211101_IM NOT SAYING ITS BEEN A BAD,I'M NOT SAYING ,IT'S BEEN A BAD ,"DAY, BUT EVEN MY ",COFFEE NEEDS COFFEE 
ST20231126_211102_CAMPING RULE #1 PACK MORE SNACKS THAN,CAMPING RULE #1: ,PACK MORE SNACKS THAN ,YOU THINK YOU'LL ,NEED IT'S SCIENCE 
ST20231126_211103_STARS CANT SHINE WITHOUT DARKNESS,STARS CAN'T SHINE ,WITHOUT DARKNESS ,CAMP TO SEE THE ,BRIGHTEST CONSTELLATIONS 
ST20231126_211104_DISCOVERING NEW FRONTIERS,DISCOVERING ,"NEW FRONTIERS, ",ONE ADVENTURE ,AT A TIME 
ST20231126_211105_ADVENTURE KNOWS NO LIMITS ITS,ADVENTURE KNOWS ,NO LIMITS; IT'S ,THE PURSUIT OF ,THE LIMITLESS 
ST20231126_211106_REDEFINE EXPLORATION LET YOUR,REDEFINE ,EXPLORATION; LET YOUR ,SPIRIT WANDER ,WHERE MAPS END 
ST20231126_211107_SLEEPING BAG BECAUSE WHO DOESNT LOVE,SLEEPING BAG: ,BECAUSE WHO DOESN'T LOVE ,FEELING LIKE A HUMAN ,BURRITO IN NATURE? 
ST20231126_211108_I TRIED CAMPING ONCE THE BUGS DIDNT LIKE MY,I TRIED CAMPING ONCE ,THE BUGS DIDN'T LIKE MY ,"TENT, SO THEY INVITED THE ",WHOLE NEIGHBORHOOD 
ST20231126_211109_I TOLD MY WIFE SHE WAS DRAWING HER,I TOLD MY WIFE SHE ,WAS DRAWING HER ,EYEBROWS TOO HIGH SHE ,LOOKED SURPRISED 
ST20231126_211110_CAMPING IS LIKE A FINE WINE IT GETS BETTER,CAMPING IS LIKE A ,FINE WINE: IT GETS BETTER ,"WHEN SHARED, AND IT'S ",BEST ENJOYED OUTDOORS 
ST20231126_211111_IM ON A SEAFOOD DIET I,I'M ON A ,SEAFOOD DIET I ,SEE FOOD AND ,I EAT IT 
ST20231126_211112_CAMPERS DONT JUST GO OUTDOORS,CAMPERS DON'T ,JUST GO OUTDOORS; ,THEY BECOME PART OF ,THE OUTDOORS 
ST20231126_211113_ADVENTURE IS CALLING BUT MY BED HAS A,ADVENTURE IS ,"CALLING, BUT MY BED HAS A ",PRETTY CONVINCING ,ARGUMENT AGAINST IT 
ST20231126_211114_CAMPING WHERE SMORES TURN INTO A WELL-BALANCED,CAMPING: WHERE S'MORES ,TURN INTO A WELL-BALANCED ,"BREAKFAST, AND GRANOLA BARS ",ARE CONSIDERED DESSERT 
ST20231126_211115_THE HORIZONS ARE ENDLESS EXPLORE,THE HORIZONS ARE ,"ENDLESS, EXPLORE ",THEM WITH ,RELENTLESS CURIOSITY 
ST20231126_211116_VENTURE INTO THE UNKNOWN,VENTURE INTO ,THE UNKNOWN ,AND DISCOVER ,WHAT AWAITS 
ST20231126_211117_IM ON A WHISKEY DIET IVE LOST,I'M ON A WHISKEY ,DIET I'VE LOST ,THREE DAYS ALREADY AND ,FOUND A MOUNTAIN 
ST20231126_211118_EMBARK ON COURAGEOUS EXPEDITIONS,EMBARK ON ,"COURAGEOUS EXPEDITIONS, ",WHERE CHALLENGES ,ARE CONQUERED 
ST20231126_211119_CAMPING IS MY WAY OF PRETENDING IM A,CAMPING IS MY WAY OF ,PRETENDING I'M A ,SURVIVALIST WITHOUT ACTUALLY ,HAVING TO SURVIVE 
ST20231126_211120_IM READING A BOOK ON,I'M READING A ,BOOK ON ,ANTI-GRAVITY IT'S ,IMPOSSIBLE TO PUT DOWN 
ST20231126_211121_THEY SAY DONT TRY THIS AT HOME SO,THEY SAY DON'T TRY ,"THIS AT HOME, SO ",I'M COMING OVER TO ,YOUR HOUSE TO TRY IT 
ST20231126_211122_CAMPING HACK LEAVE THE KIDS AT HOME,CAMPING HACK: LEAVE ,THE KIDS AT HOME ,"SUDDENLY, NATURE IS A ",PEACEFUL SANCTUARY 
ST20231126_211123_BLAZE TRAILS AND CREATE,BLAZE TRAILS ,AND CREATE ,ADVENTURES WORTH ,SHARING 
