SKU,Name1,Name2,Name3,Name4
ST20231126_181710_VAQUITAS CRY FOR SALVATION BE THE FORCE,VAQUITAS CRY FOR ,SALVATION. BE THE FORCE ,THAT ECHOES THROUGH ,"OCEANS, SAVE THEM "
ST20231126_181711_VAQUITAS WHISPER HEAR IT NOW SPEAK,VAQUITA'S WHISPER: ,HEAR IT NOW. SPEAK ,"FOR THE VOICELESS, SAVE ",THE OCEAN'S JEWEL 
ST20231126_181712_FIGHT FOR VAQUITAS GUARDIANS OF THE,FIGHT FOR ,VAQUITAS: GUARDIANS OF THE ,"OCEAN, DEFENDERS ",OF BIODIVERSITY 
ST20231126_181713_PROTECT THE VAQUITA LEGACY A,PROTECT THE ,VAQUITA LEGACY: A ,SYMBOL OF NATURE'S ,FRAGILE BEAUTY 
ST20231126_181714_VAQUITAS FACE THE ABYSS STAND ON THE,VAQUITAS FACE THE ,ABYSS. STAND ON THE ,"EDGE OF CHANGE, PROTECT ",THEIR SANCTUARY 
ST20231126_181715_VAQUITA CONSERVATION A SHARED,VAQUITA ,CONSERVATION: A SHARED ,"RESPONSIBILITY, A TESTAMENT TO ",OUR STEWARDSHIP 
ST20231126_181716_VAQUITA SOS THEIR PLEA ECHOES UNITE,VAQUITA SOS: THEIR ,PLEA ECHOES. UNITE ,"FOR THEIR SURVIVAL, ",BREAK THE SILENCE 
ST20231126_181717_VAQUITAS NEED CHAMPIONS RISE ABOVE THE NOISE,VAQUITAS NEED ,"CHAMPIONS. RISE ABOVE THE NOISE, ",BE THE RESOUNDING CALL ,FOR THEIR SURVIVAL 
ST20231126_181718_VAQUITAS LEGACY AT STAKE WEAVE A STORY,VAQUITAS' LEGACY AT ,STAKE. WEAVE A STORY ,"OF PROTECTION, ",SCRIPT THEIR SURVIVAL 
ST20231126_181719_VAQUITAS PLEA FOR SANCTUARY STAND,VAQUITAS PLEA ,FOR SANCTUARY. STAND ,"AS THE FORTRESS, ",BE THEIR REFUGE 
ST20231126_181720_VAQUITAS SILENT PLEA BREAK THE CHAINS,VAQUITAS SILENT ,"PLEA: BREAK THE CHAINS, ",LET THEIR SONG RESONATE ,THROUGH THE SEAS 
ST20231126_181721_GUARDIANSHIP FOR VAQUITAS A PLEDGE TO,GUARDIANSHIP FOR ,VAQUITAS: A PLEDGE TO ,"PRESERVE, A PROMISE ",FOR POSTERITY 
ST20231126_181722_VAQUITA HEARTBEAT WEAKENS REVIVE THEIR PULSE,VAQUITA HEARTBEAT ,"WEAKENS. REVIVE THEIR PULSE, ","CHAMPION THEIR CAUSE, SAVE ",THE OCEAN'S MELODY 
ST20231126_181723_VAQUITA SYMPHONY IN PERIL CONDUCT,VAQUITA SYMPHONY IN ,PERIL. CONDUCT ,"CHANGE, ORCHESTRATE ","SURVIVAL, SAVE THE NOTES "
ST20231126_181724_VAQUITA PLIGHT A BATTLE AGAINST TIME A,VAQUITA PLIGHT: A ,"BATTLE AGAINST TIME, A ",FIGHT FOR MARINE ,HARMONY. ENGAGE NOW 
ST20231126_181725_PROTECT THE VAQUITA PORPOISE THEIR EXISTENCE HANGS IN,PROTECT THE VAQUITA ,PORPOISE! THEIR EXISTENCE HANGS IN ,"THE BALANCE. TAKE A STAND, ","ACT NOW, SAVE A SPECIES "
