SKU,Name1,Name2,Name3,Name4
ST20231127_222152_I BECAME A WAITER_WAITRESS,I BECAME A ,WAITER WAITRESS ,FOR THE MONEY ,AND FAME 
ST20231127_222153_I BECAME A CONSTRUCTION,I BECAME A ,CONSTRUCTION ,LABORER FOR THE ,MONEY AND FAME 
ST20231127_222154_I BECAME A DISHWASHER,I BECAME A ,DISHWASHER ,FOR THE MONEY ,AND FAME 
ST20231127_222155_I BECAME A JANITOR FOR,I BECAME A ,JANITOR FOR ,THE MONEY ,AND FAME 
ST20231127_222156_I BECAME A RETAIL WORKER,I BECAME A ,RETAIL WORKER ,FOR THE ,MONEY AND FAME 
ST20231127_222157_I BECAME A PET GROOMER,I BECAME A ,PET GROOMER ,FOR THE MONEY ,AND FAME 
ST20231127_222158_I BECAME A MOVIE THEATER,I BECAME A ,MOVIE THEATER ,USHER FOR THE ,MONEY AND FAME 
ST20231127_222159_I BECAME A FAST-FOOD DRIVE-THRU,I BECAME A ,FAST-FOOD DRIVE-THRU ,ATTENDANT FOR THE ,MONEY AND FAME 
ST20231127_222200_I BECAME A DOG WALKER,I BECAME A ,DOG WALKER ,FOR THE MONEY ,AND FAME 
ST20231127_222201_I BECAME A FOOD SERVER,I BECAME A ,FOOD SERVER ,FOR THE MONEY ,AND FAME 
ST20231127_222202_I BECAME A MALL KIOSK,I BECAME A ,MALL KIOSK ,SALESPERSON FOR THE ,MONEY AND FAME 
ST20231127_222203_I BECAME A THEME PARK RIDE,I BECAME A ,THEME PARK RIDE ,OPERATOR FOR THE ,MONEY AND FAME 
ST20231127_222204_I BECAME A TEMP WORKER,I BECAME A ,TEMP WORKER ,FOR THE MONEY ,AND FAME 
ST20231127_222205_I BECAME A CAR RENTAL,I BECAME A ,CAR RENTAL ,ATTENDANT FOR THE ,MONEY AND FAME 
ST20231127_222206_I BECAME A RESTAURANT STAFF,I BECAME A ,RESTAURANT STAFF ,MEMBER FOR THE ,MONEY AND FAME 
ST20231127_222207_I BECAME A CARNIVAL WORKER,I BECAME A ,CARNIVAL WORKER ,FOR THE MONEY ,AND FAME 
ST20231127_222208_I BECAME A CASHIER FOR,I BECAME A ,CASHIER FOR ,THE MONEY ,AND FAME 
ST20231127_222209_I BECAME A CALL CENTER,I BECAME A CALL ,CENTER ,REPRESENTATIVE FOR THE ,MONEY AND FAME 
ST20231127_222210_I BECAME A WAREHOUSE,I BECAME A ,WAREHOUSE ,PACKER FOR THE ,MONEY AND FAME 
ST20231127_222211_I BECAME A BUS DRIVER,I BECAME A ,BUS DRIVER ,FOR THE MONEY ,AND FAME 
ST20231127_222212_I BECAME A FARM WORKER,I BECAME A ,FARM WORKER ,FOR THE MONEY ,AND FAME 
ST20231127_222213_I BECAME A RETAIL,I BECAME A ,RETAIL ,SALESPERSON FOR THE MONEY ,AND FAME 
ST20231127_222214_I BECAME A SECURITY GUARD,I BECAME A ,SECURITY GUARD ,FOR THE MONEY ,AND FAME 
ST20231127_222215_I BECAME A TELEMARKETER,I BECAME A ,TELEMARKETER ,FOR THE MONEY ,AND FAME 
ST20231127_222216_I BECAME A CAR WASH,I BECAME A ,CAR WASH ,ATTENDANT FOR THE MONEY ,AND FAME 
ST20231127_222217_I BECAME A WINDOW CLEANER,I BECAME A ,WINDOW CLEANER ,FOR THE MONEY ,AND FAME 
ST20231127_222218_I BECAME A SANITATION,I BECAME A ,SANITATION ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222219_I BECAME A STREET MUSICIAN,I BECAME A ,STREET MUSICIAN ,FOR THE MONEY ,AND FAME 
ST20231127_222220_I BECAME A DATA ENTRY,I BECAME A ,DATA ENTRY ,CLERK FOR THE ,MONEY AND FAME 
ST20231127_222221_I BECAME A GARMENT FACTORY,I BECAME A ,GARMENT FACTORY ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222222_I BECAME A MANUFACTURING,I BECAME A ,MANUFACTURING ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222223_I BECAME A BEAUTY SERVICES,I BECAME A ,BEAUTY SERVICES ,PROVIDER FOR THE ,MONEY AND FAME 
ST20231127_222224_I BECAME A CUSTODIAN,I BECAME A ,CUSTODIAN ,FOR THE MONEY ,AND FAME 
ST20231127_222225_I BECAME A FACTORY ASSEMBLY LINE,I BECAME A ,FACTORY ASSEMBLY LINE ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222226_I BECAME A PUBLIC TRANSIT,I BECAME A ,PUBLIC TRANSIT ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222227_I BECAME A GROCERY STORE,I BECAME A ,GROCERY STORE ,CLERK FOR THE ,MONEY AND FAME 
ST20231127_222228_I BECAME A TOLL BOOTH,I BECAME A ,TOLL BOOTH ,OPERATOR FOR THE ,MONEY AND FAME 
ST20231127_222229_I BECAME A CLEANING STAFF,I BECAME A ,CLEANING STAFF ,MEMBER FOR THE ,MONEY AND FAME 
ST20231127_222230_I BECAME A NEWSPAPER DELIVERY,I BECAME A ,NEWSPAPER DELIVERY ,PERSON FOR THE ,MONEY AND FAME 
ST20231127_222231_I BECAME A CHILDCARE,I BECAME A ,CHILDCARE ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222232_I BECAME A LIGHT MANUFACTURING,I BECAME A ,LIGHT MANUFACTURING ,WORKER FOR THE ,MONEY AND FAME 
ST20231127_222233_I BECAME A HOUSEKEEPER,I BECAME A ,HOUSEKEEPER ,FOR THE MONEY ,AND FAME 
ST20231127_222234_I BECAME A GARBAGE,I BECAME A ,GARBAGE ,COLLECTOR FOR THE ,MONEY AND FAME 
ST20231127_222235_I BECAME A PERSONAL CARE SERVICES,I BECAME A ,PERSONAL CARE SERVICES ,PROVIDER FOR THE ,MONEY AND FAME 
ST20231127_222236_I BECAME A DAY LABORER,I BECAME A ,DAY LABORER ,FOR THE MONEY ,AND FAME 
ST20231127_222237_I BECAME A FARM LABORER,I BECAME A ,FARM LABORER ,FOR THE MONEY ,AND FAME 
ST20231127_222238_I BECAME A POSTAL WORKER,I BECAME A ,POSTAL WORKER ,FOR THE ,MONEY AND FAME 
ST20231127_222239_I BECAME A MOTEL,I BECAME A ,MOTEL ,RECEPTIONIST FOR THE MONEY ,AND FAME 
ST20231127_222240_I BECAME A PARKING,I BECAME A ,PARKING ,ATTENDANT FOR THE ,MONEY AND FAME 
ST20231127_222241_I BECAME A MOTEL CLEANER,I BECAME A ,MOTEL CLEANER ,FOR THE ,MONEY AND FAME 
ST20231127_222242_I BECAME A GAS STATION,I BECAME A ,GAS STATION ,ATTENDANT FOR THE ,MONEY AND FAME 
ST20231127_222243_I BECAME A DELIVERY,I BECAME A ,DELIVERY ,COURIER FOR THE ,MONEY AND FAME 
ST20231127_222244_I BECAME A DELIVERY DRIVER,I BECAME A ,DELIVERY DRIVER ,FOR THE MONEY ,AND FAME 
ST20231127_222245_I BECAME A SECURITY,I BECAME A ,SECURITY ,OFFICER FOR THE ,MONEY AND FAME 
