SKU,Name1,Name2
ST20231208_083742_SANTA DEFINE GOOD ASKING FOR A FRIEND,"SANTA, DEFINE 'GOOD.'",ASKING FOR A FRIEND
ST20231208_083743_JINGLE ALL THE WAY TO JOY,JINGLE ALL THE,WAY TO JOY!
ST20231208_083744_SNOW MUCH FUN SO LITTLE TIME,"SNOW MUCH FUN, SO",LITTLE TIME!
ST20231208_083745_REINDEER HOKEY POKEY ANTLERS IN JOY OUT,"REINDEER HOKEY POKEY,","ANTLERS IN, JOY OUT!"
ST20231208_083746_SENDING CHRISTMAS CHEER YOUR WAY,SENDING CHRISTMAS,CHEER YOUR WAY
ST20231208_083747_CHRISTMAS MAGIC IN THE AIR,CHRISTMAS MAGIC,IN THE AIR
ST20231208_083748_MERRY ELFIN CHRISTMAS MY DEAR,MERRY ELFIN',"CHRISTMAS, MY DEAR!"
ST20231208_083749_ELF KISSES AND MISTLETOE WISHES FOR YOU,ELF KISSES AND,MISTLETOE WISHES FOR YOU!
ST20231208_083750_HOLLY JOLLY WISHES TO YOU,"HOLLY, JOLLY",WISHES TO YOU
ST20231208_083751_ELFIE SELFIE TIME SMILE BIG,ELFIE SELFIE,"TIME, SMILE BIG!"
ST20231208_083752_FLEECE NAVIDAD STAY WARM AND FUZZY,"FLEECE NAVIDAD, STAY",WARM AND FUZZY!
ST20231208_083753_SLEIGH BELLS FUNNY SMELLS HOLIDAY TALES,"SLEIGH BELLS, FUNNY","SMELLS, HOLIDAY TALES!"
ST20231208_083754_CHRISTMAS CALORIES DONT COUNT RIGHT,CHRISTMAS CALORIES,"DON'T COUNT, RIGHT?"
ST20231208_083755_MAY YOUR CHRISTMAS SPARKLE WITH HAPPINESS,MAY YOUR CHRISTMAS,SPARKLE WITH HAPPINESS
ST20231208_083756_MERRY CHRISTMAS TO YOU AND YOURS,MERRY CHRISTMAS TO,YOU AND YOURS!
ST20231208_083757_MERRY AND BRIGHT CHRISTMAS VIBES,MERRY AND BRIGHT,CHRISTMAS VIBES
ST20231208_083758_GLEAMING LIGHTS JOY TAKES FLIGHT,"GLEAMING LIGHTS,",JOY TAKES FLIGHT
ST20231208_083759_TINSEL IN TROUBLE ELF ON THE SHELF SNICKERING,"TINSEL IN TROUBLE, ELF ON",THE SHELF SNICKERING
ST20231208_083800_CANDLELIGHT AND CHRISTMAS DELIGHTS,CANDLELIGHT AND,CHRISTMAS DELIGHTS
ST20231208_083801_SLEIGH QUEEN SLAY THE SEASON,"SLEIGH QUEEN,",SLAY THE SEASON!
ST20231208_083802_TIDINGS OF COMFORT AND JOY,TIDINGS OF,COMFORT AND JOY!
ST20231208_083803_DECK THE HALLS WITH LOVE AND LAUGHTER,DECK THE HALLS WITH,LOVE AND LAUGHTER
ST20231208_083804_NAUGHTY OR NICE CHOOSE WISELY SANTAS WATCHING,NAUGHTY OR NICE? CHOOSE,"WISELY, SANTA'S WATCHING!"
ST20231208_083805_SANTAS WORKSHOP CALLED THEY NEED MORE JOY,"SANTA'S WORKSHOP CALLED,",THEY NEED MORE JOY!
ST20231208_083807_SLEIGH BELLS RINGING JOY IS SINGING,SLEIGH BELLS,"RINGING, JOY IS SINGING"
ST20231208_083808_SLAY THE HOLIDAYS WITH JOYOUS CHAOS,SLAY THE HOLIDAYS,WITH JOYOUS CHAOS!
ST20231208_083809_FLEECE NAVIDAD MAY YOUR SWEATERS BE FESTIVE,FLEECE NAVIDAD! MAY YOUR,SWEATERS BE FESTIVE
ST20231208_083810_SPRINKLE KINDNESS LIKE SNOWFLAKES THIS CHRISTMAS,SPRINKLE KINDNESS LIKE,SNOWFLAKES THIS CHRISTMAS
ST20231208_083811_SEASONS GREETINGS AND HAPPY NEW YEAR,SEASON'S GREETINGS,AND HAPPY NEW YEAR!
ST20231208_083812_YULE BE SORRY IF YOURE ON THE NAUGHTY LIST,YULE BE SORRY IF YOU'RE,ON THE NAUGHTY LIST!
ST20231208_083813_CELEBRATE THE SEASON WITH HEARTFELT JOY,CELEBRATE THE SEASON,WITH HEARTFELT JOY
ST20231208_083814_WISHING YOU A SWEET HOLIDAY SEASON,WISHING YOU A SWEET,HOLIDAY SEASON
ST20231208_083815_MAY YOUR DAYS BE MERRY AND BRIGHT,MAY YOUR DAYS BE,MERRY AND BRIGHT
ST20231208_083816_WISHING YOU MAGICAL HOLIDAY MEMORIES,WISHING YOU MAGICAL,HOLIDAY MEMORIES
ST20231208_083817_ELVES GONE WILD TOO MUCH EGGNOG,"ELVES GONE WILD,",TOO MUCH EGGNOG!
ST20231208_083818_DASHER AND DANCER APPROVE THESE WARM WISHES,DASHER AND DANCER,APPROVE THESE WARM WISHES
ST20231208_083819_FESTIVE JOY TO SLEIGH THE BLUES AWAY,FESTIVE JOY TO,SLEIGH THE BLUES AWAY!
ST20231208_083820_CLAUS FOR CELEBRATION HO HO HOORAY,CLAUS FOR,"CELEBRATION, HO, HO, HOORAY!"
ST20231208_083821_WARM WISHES FOR A JOYFUL HOLIDAY SEASON,WARM WISHES FOR A,JOYFUL HOLIDAY SEASON
ST20231208_083822_WARM HUGS FESTIVE SPIRIT SHARED,"WARM HUGS, FESTIVE",SPIRIT SHARED
ST20231208_083823_WISHING YOU A VERY MERRY CHRISTMAS,WISHING YOU A VERY,MERRY CHRISTMAS!
ST20231208_083824_HAPPY HOLIDAYS FILLED WITH LOVE,HAPPY HOLIDAYS,FILLED WITH LOVE
ST20231208_083825_JINGLE BELLS MY SANITY FELL,"JINGLE BELLS, MY",SANITY FELL
ST20231208_083826_GATHER ROUND FOR CHRISTMAS CHEER,GATHER 'ROUND FOR,CHRISTMAS CHEER!
ST20231208_083827_DASHING THROUGH THE SNOW LAUGHING ALL THE WAY,"DASHING THROUGH THE SNOW,",LAUGHING ALL THE WAY!
ST20231208_083828_PEACE JOY AND LOVE THIS CHRISTMAS,"PEACE, JOY, AND",LOVE THIS CHRISTMAS
ST20231208_083829_JOY TO THE WORLD THIS CHRISTMAS,JOY TO THE WORLD,THIS CHRISTMAS
ST20231208_083830_SLEIGH MY NAME SLEIGH MY GAME,"SLEIGH MY NAME,",SLEIGH MY GAME!
ST20231208_083831_WARMEST THOUGHTS AND BEST WISHES,WARMEST THOUGHTS,AND BEST WISHES
ST20231208_083832_FROSTY DAYS COZY NIGHTS AHEAD,"FROSTY DAYS, COZY",NIGHTS AHEAD
ST20231208_083833_YULETIDE JOY EATING COOKIES WITH ABANDON,"YULETIDE JOY, EATING",COOKIES WITH ABANDON
ST20231208_083834_WISHING YOU A SLEIGH FULL OF HAPPINESS,WISHING YOU A SLEIGH,FULL OF HAPPINESS
ST20231208_083835_RUDOLPH-APPROVED HAPPINESS FOR YOU THIS SEASON,RUDOLPH-APPROVED,HAPPINESS FOR YOU THIS SEASON!
ST20231208_083836_SLEIGHING THE HOLIDAYS ONE LAUGH AT A TIME,"SLEIGHING THE HOLIDAYS,",ONE LAUGH AT A TIME
ST20231208_083837_SNOWFLAKES AND SMILES ALL AROUND,SNOWFLAKES AND,SMILES ALL AROUND
ST20231208_083838_STOCKINGS STUFFED SANITY STUFFED TOO,"STOCKINGS STUFFED,","SANITY STUFFED, TOO"
ST20231208_083839_SLEIGH THE DAY WITH COCOA AND LAUGHTER,SLEIGH THE DAY WITH,COCOA AND LAUGHTER!
ST20231208_083840_FESTIVE MOMENTS CHERISH THE LOVE,"FESTIVE MOMENTS,",CHERISH THE LOVE
ST20231208_083841_SANTA IT WAS THE CAT NOT ME,"SANTA, IT WAS THE","CAT, NOT ME!"
ST20231208_083842_TOASTY FIRES AND WARM WISHES,TOASTY FIRES AND,WARM WISHES
