SKU,Name1,Name2
ST20231208_105141_RESOLUTIONS ARE FOR THE AMBITIOUS PASS,RESOLUTIONS ARE FOR,THE AMBITIOUS. PASS
ST20231208_105142_THIS YEARS GOAL PERFECT THE ART OF NAPPING,"THIS YEAR'S GOAL,",PERFECT THE ART OF NAPPING
ST20231208_105143_RESOLUTION BE AS FABULOUS AS MY DOG,"RESOLUTION, BE AS",FABULOUS AS MY DOG
ST20231208_105144_RESOLUTIONS ARE OVERRATED BRING ON THE SNACKS,RESOLUTIONS ARE,OVERRATED. BRING ON THE SNACKS!
ST20231208_105145_RESOLUTIONS A TO-DO LIST FOR THE FIRST WEEK,"RESOLUTIONS, A TO-DO",LIST FOR THE FIRST WEEK
ST20231208_105146_RESOLUTIONS THE TO-DO LIST FOR THE FIRST WEEK,"RESOLUTIONS, THE TO-DO",LIST FOR THE FIRST WEEK
ST20231208_105147_WISHING YOU 12 MONTHS OF GOOD HAIR DAYS,WISHING YOU 12 MONTHS,OF GOOD HAIR DAYS
ST20231208_105148_NEW YEAR NEW CALENDAR SAME QUESTIONABLE DECISIONS,"NEW YEAR, NEW CALENDAR.",SAME QUESTIONABLE DECISIONS
ST20231208_105149_NEW YEAR NEW ME JUST KIDDING SAME MESS,"NEW YEAR, NEW ME...","JUST KIDDING, SAME MESS"
ST20231208_105150_NEW YEAR NEW GYM MEMBERSHIP CARD COLLECTING DUST,"NEW YEAR, NEW GYM",MEMBERSHIP CARD COLLECTING DUST
ST20231208_105151_NEW YEAR NEW GYM ROUTINE CANCELING IT NEXT WEEK,"NEW YEAR, NEW GYM ROUTINE.",CANCELING IT NEXT WEEK
ST20231208_105152_NEW YEAR OLD ME JUST MORE CAFFEINATED,"NEW YEAR, OLD ME...",JUST MORE CAFFEINATED
ST20231208_105153_MORE NETFLIX BINGING FEWER RESOLUTIONS FAILING,"MORE NETFLIX BINGING,",FEWER RESOLUTIONS FAILING
ST20231208_105154_NEW YEAR NEW ME STILL BUFFERING,"NEW YEAR, NEW ME?",STILL BUFFERING..
ST20231208_105155_NEW YEAR SAME CHAOS PREDICTABLE AS ALWAYS,"NEW YEAR, SAME CHAOS.",PREDICTABLE AS ALWAYS
ST20231208_105157_ANOTHER YEAR ANOTHER ROUND OF BROKEN PROMISES,"ANOTHER YEAR, ANOTHER",ROUND OF BROKEN PROMISES
ST20231208_105158_RESOLUTIONS ARE FOR PEOPLE WITH TIME TO WASTE,RESOLUTIONS ARE FOR,PEOPLE WITH TIME TO WASTE
ST20231208_105159_NEW YEAR SAME ME MORE SNACKS,"NEW YEAR, SAME","ME, MORE SNACKS"
