SKU,Name1,Name2
ST20231209_152250_ART IS LOVE MADE PUBLIC,ART IS LOVE,MADE PUBLIC
ST20231209_152251_DON'T GIVE UP ON SOMETHING,DON'T GIVE UP,ON SOMETHING
ST20231209_152252_A HANDSHAKE IS AVAILABLE UPON REQUEST,A HANDSHAKE IS,AVAILABLE UPON REQUEST.
ST20231209_152254_NO FEELING IS FINAL,NO FEELING,IS FINAL
ST20231209_152255_VAQUITA PLEA ACT DECISIVELY PRESERVE THEIR OCEANIC HAVEN,"VAQUITA PLEA, ACT DECISIVELY,",PRESERVE THEIR OCEANIC HAVEN
ST20231209_152256_MY DRIVING SCARES ME TOO,MY DRIVING,SCARES ME TOO
ST20231209_152257_YOU DO NOT YIELD,YOU DO NOT,YIELD
ST20231209_152258_THE WORLD IS QUIET HERE,THE WORLD IS,QUIET HERE
ST20231209_152259_LONG IS THE ROAD SHORT IS THE LIFE,"LONG IS THE ROAD,",SHORT IS THE LIFE
ST20231209_152300_BEAUTIFUL MINDS INSPIRE OTHERS,BEAUTIFUL MINDS,INSPIRE OTHERS
ST20231209_152301_CONQUER THE UNKNOWN LET CURIOSITY BE YOUR GUIDE,"CONQUER THE UNKNOWN, LET",CURIOSITY BE YOUR GUIDE
ST20231209_152302_YOUR MISSION SHOULD YOU CHOOSE TO ACCEPT IT,YOUR MISSION SHOULD YOU,CHOOSE TO ACCEPT IT
ST20231209_152303_HEAVEN MUST BE OUR HOME,HEAVEN MUST,BE OUR HOME
ST20231209_152304_WHATEVER IT IS IM AGAINST IT,WHATEVER IT IS,I'M AGAINST IT
ST20231209_152305_NO COMPLAINING ABOUT THE LACK OF WI-FI,NO COMPLAINING ABOUT,THE LACK OF WI-FI
ST20231209_152306_BOYS ARE OUT TONIGHT HUH,BOYS ARE OUT,"TONIGHT, HUH?"
ST20231209_152307_VAQUITA A SYMBOL OF OCEANIC GRACE LETS SAFEGUARD THEIR EXISTENCE,"VAQUITA, A SYMBOL OF OCEANIC GRACE,",LET'S SAFEGUARD THEIR EXISTENCE
ST20231209_152308_THICK THIGHS SAVE LIVES,THICK THIGHS,SAVE LIVES
ST20231209_152309_EXPLORATION IS MY NATURE FREEDOM IS MY GUIDE,EXPLORATION IS MY,"NATURE, FREEDOM IS MY GUIDE"
ST20231209_152310_CHASE YOUR DREAMS NOT YOUR FEARS,"CHASE YOUR DREAMS,",NOT YOUR FEARS
ST20231209_152311_I MYSELF AM STRANGE & UNUSUAL,I MYSELF AM,STRANGE & UNUSUAL
ST20231209_152312_I MIGHT BE WRONG BUT I DOUBT IT,I MIGHT BE WRONG,BUT I DOUBT IT
ST20231209_152313_I DIVE TOO MUCH,I DIVE,TOO MUCH
ST20231209_152314_IF THERE IS NO COP AROUND ANYTHINGS LEGAL,IF THERE IS NO COP, AROUND ANYTHING'S LEGAL
ST20231209_152315_TOASTER BEATS THE MORNING RUSH,"TOASTER, BEATS",THE MORNING RUSH
ST20231209_152316_WATER IS FOR TOILETS,WATER IS FOR,TOILETS
ST20231209_152317_HAPPINESS IS FOUND IN SMALL THING,HAPPINESS IS FOUND,IN SMALL THING
ST20231209_152318_GUARDIANS OF THE BLUE STEWARDS OF TAHOES SPLENDOR,"GUARDIANS OF THE BLUE,",STEWARDS OF TAHOE'S SPLENDOR
ST20231209_152319_PROTECT THE GEM CHERISH THE TAHOE GLEAM,"PROTECT THE GEM,",CHERISH THE TAHOE GLEAM
ST20231209_152320_TOASTER DUEL CHALLENGE ACCEPTED,"TOASTER DUEL,",CHALLENGE ACCEPTED
ST20231209_152321_IF NOT NOW THEN WHEN,IF NOT NOW,THEN WHEN
ST20231209_152322_TO TRAVEL IS TO LIVE,TO TRAVEL IS,TO LIVE
ST20231209_152323_WHAT YOU SEEK IS SEEKING YOU,WHAT YOU SEEK IS,SEEKING YOU
ST20231209_152324_ASK ME ABOUT MY LOBOTOMY,ASK ME ABOUT,MY LOBOTOMY
ST20231209_152325_STAY CALM THEY SAID OOPS,"STAY CALM,",THEY SAID OOPS
ST20231209_152326_YOU JUST GOT LITT UP,YOU JUST GOT,LITT UP!
ST20231209_152327_SOMETIMES ITS TOUGH BEING THE BEST,SOMETIMES IT'S,TOUGH BEING THE BEST
ST20231209_152328_IM NOT MADE OF EYES,I'M NOT MADE,OF EYES
ST20231209_152329_EVERYTHING HAPPENS FOR A REASON,EVERYTHING,HAPPENS FOR A REASON
ST20231209_152330_THE REVOLUTION HAS BEGUN,THE REVOLUTION,HAS BEGUN!
ST20231209_152331_I WILL PRAISE HIM,I WILL,PRAISE HIM
ST20231209_152332_MY FAVORITE COLOR IS YOU,MY FAVORITE,COLOR IS YOU
ST20231209_152333_IF YOU CAN DREAM IT YOU CAN DO IT,IF YOU CAN DREAM,"IT, YOU CAN DO IT"
ST20231209_152335_SLOW DOWN POUCHES CROSSING AHEAD,"SLOW DOWN, POUCHES",CROSSING AHEAD!
ST20231209_152337_LOVE IT IF WE MADE IT,LOVE IT IF,WE MADE IT
ST20231209_152338_ONE DAY AT A TIME,ONE DAY AT,A TIME
ST20231209_152339_LOVE YOU TO THE MOON,LOVE YOU TO,THE MOON
ST20231209_152341_MY MAMA DIDN'T RAISE NO PENDEJA,MY MAMA DIDN'T,RAISE NO PENDEJA
