SKU,Name1,Name2
ST20231209_175236_JUST ONE MORE CHAPTER,JUST ONE,MORE CHAPTER
ST20231209_175237_REFLECTING DREAMS TAHOES CRYSTAL MIRROR GLEAMS,"REFLECTING DREAMS, TAHOE'S",CRYSTAL MIRROR GLEAMS
ST20231209_175238_WHEN CALLS THE HEART,WHEN CALLS,THE HEART
ST20231209_175239_ALL YOU NEED IS TO BELIEVE IN YOURSELF,ALL YOU NEED IS TO,BELIEVE IN YOURSELF
ST20231209_175240_LIFE IS FULL OF IMPORTANT CHOICES,LIFE IS FULL OF,IMPORTANT CHOICES
ST20231209_175241_IM BAD AND THATS GOOD,"I'M BAD, AND",THAT'S GOOD
ST20231209_175242_ID RATHER BE MAKING SAW DUST,I'D RATHER BE,MAKING SAW DUST
ST20231209_175243_IT IS WHAT IT IS,IT IS WHAT,IT IS
ST20231209_175244_IM A QUEEN AND A BIT MORE REFINED,I'M A QUEEN AND A,BIT MORE REFINED
ST20231209_175245_EMBRACE THE WILD JOURNEY WHERE PASSION KNOWS NO BOUNDS,"EMBRACE THE WILD JOURNEY,",WHERE PASSION KNOWS NO BOUNDS
ST20231209_175246_NO TEA NO SHADE NO PINK LEMONADE,NO TEA NO SHADE NO,PINK LEMONADE
ST20231209_175247_SHE BELIEVED SHE COULD SO SHE DID,SHE BELIEVED SHE,COULD SO SHE DID
ST20231209_175248_ADVENTURE SEEKS THE WILD AND THE WILD SEEK ADVENTURE,"ADVENTURE SEEKS THE WILD,",AND THE WILD SEEK ADVENTURE
ST20231209_175249_BLOW THAT PIECE OF JUNK OUT OF THE SKY,BLOW THAT PIECE OF,JUNK OUT OF THE SKY
ST20231209_175250_NOT ALL THAT WANDER ARE LOST,NOT ALL THAT,WANDER ARE LOST
ST20231209_175252_HONEST TO GOD KNOCK ME OUT,HONEST TO GOD,KNOCK ME OUT
ST20231209_175253_DOGS WELCOME PEOPLE TOLERATED,DOGS WELCOME,PEOPLE TOLERATED
ST20231209_175254_HIDE FROM THE HEAVENS WITH ME,HIDE FROM THE,HEAVENS WITH ME
ST20231209_175255_PANIC AND STRESS OH AINT IT THE BEST,"PANIC AND STRESS, OH",AIN'T IT THE BEST!
ST20231209_175256_DONT INTERRUPT ME WHILE IM INTERRUPTING,DON'T INTERRUPT ME,WHILE I'M INTERRUPTING
ST20231209_175257_THIS NIGHT IS SPARKLING,THIS NIGHT IS,SPARKLING
ST20231209_175258_THE BOY SAW THE COMET,THE BOY SAW,THE COMET
ST20231209_175259_FROM BLOOD AND ASH WE WILL RISE,FROM BLOOD AND ASH,WE WILL RISE
ST20231209_175300_BE CURIOUS NOT JUDGEMENTAL,"BE CURIOUS, NOT",JUDGEMENTAL
ST20231209_175301_EXPLORING THE WILD ECHOES OF THE HEARTS CALLING,EXPLORING THE WILD ECHOES,OF THE HEART'S CALLING
ST20231209_175302_BRAKE FOR MARSUPIAL MAGIC,BRAKE FOR,MARSUPIAL MAGIC!
ST20231209_175303_YOU DESERVE A BREAK,YOU DESERVE,A BREAK
ST20231209_175304_ITS A WONDERFUL LIFE EVERYTIME A BELL RINGS,"IT'S A WONDERFUL LIFE,",EVERYTIME A BELL RINGS
ST20231209_175305_IF OPOSSUMS HAD A MOTTO ACT DEAD LIVE FABULOUSLY,"IF OPOSSUMS HAD A MOTTO,","'ACT DEAD, LIVE FABULOUSLY"
ST20231209_175308_SOME WOMEN FEAR THE FIRE OTHER SIMPLY BECOME IT,SOME WOMEN FEAR THE FIRE,OTHER SIMPLY BECOME IT
ST20231209_175309_NO ASKING ARE WE THERE YET,"NO ASKING, 'ARE",WE THERE YET?'
ST20231209_175311_I THOUGHT YOU LOVED ME,I THOUGHT YOU,LOVED ME
ST20231209_175312_YOU ARE NOT ALONE,YOU ARE,NOT ALONE
ST20231209_175313_NO COMPLAINING ABOUT THE CHOICE OF HIKING TRAILS,NO COMPLAINING ABOUT THE,CHOICE OF HIKING TRAILS
ST20231209_175314_IM NOT A DEMON AND IM NOT A DICK,"I'M NOT A DEMON,",AND I'M NOT A DICK
ST20231209_175315_THE MOUNTAINS ARE CALLING,THE MOUNTAINS,ARE CALLING
ST20231209_175316_ITS WHAT WE DO,IT'S WHAT,WE DO
ST20231209_175317_IN TAHOES DEPTHS REFLECTIONS OF ETERNITY,"IN TAHOE'S DEPTHS,",REFLECTIONS OF ETERNITY
ST20231209_175318_SORRY IM AN AQUARIUS,"SORRY, I'M AN",AQUARIUS
ST20231209_175319_EXPLORATION IS A JOURNEY AND THE WILD IS THE GUIDE,"EXPLORATION IS A JOURNEY,",AND THE WILD IS THE GUIDE
ST20231209_175320_PEOPLE ARE PARTICULARLY STUPID TODAY,PEOPLE ARE,PARTICULARLY STUPID TODAY
ST20231209_175322_THIS TOO SHALL PASS,THIS TOO,SHALL PASS
ST20231209_175323_I GO THAT I HAVE TO LEAVE,I GO THAT I,HAVE TO LEAVE
ST20231209_175324_EPIC EYE ROLL IN PROGRESS,EPIC EYE ROLL,IN PROGRESS
ST20231209_175326_I LOVE YOU SAY IT BACK,I LOVE YOU,SAY IT BACK
ST20231209_175327_I AM ONLY TALKING TO MY LEOPARD GECKO TODAY,I AM ONLY TALKING TO MY,LEOPARD GECKO TODAY
ST20231209_175328_EDUCATION IMPORTANT SKIING IMPORTANTER,EDUCATION IMPORTANT,SKIING IMPORTANTER
ST20231209_175329_WILDFLOWERS DONT CARE WHERE THEY GROW,WILDFLOWERS DON'T,CARE WHERE THEY GROW
ST20231209_175330_TAP THE BRAKES FOR MARSUPIAL CHARM,TAP THE BRAKES FOR,MARSUPIAL CHARM
ST20231209_175331_I HAVE LIVED A THOUSAND LIVES,I HAVE LIVED A,THOUSAND LIVES
ST20231209_175332_TIME ISNT REAL SURREALIST CLOCK,TIME ISN'T REAL,SURREALIST CLOCK
ST20231209_175334_I AM A WOMAN PHENOMENALLY,I AM A WOMAN,PHENOMENALLY.
ST20231209_175335_WE SEE EACH OTHER,WE SEE EACH,OTHER!
