SKU,Name1,Name2
ST20231210_205343_WELL BEHAVED WOMEN RARELY MAKE HISTORY,WELL BEHAVED WOMEN,RARELY MAKE HISTORY
ST20231210_205344_AINT THAT JUST THE WAY,AIN'T THAT,JUST THE WAY
ST20231210_205345_THINK HAPPY BE HAPPY,THINK HAPPY.,BE HAPPY.
ST20231210_205346_ETERNAL BLUE WHERE HEAVEN MEETS TAHOES WATERS,"ETERNAL BLUE, WHERE",HEAVEN MEETS TAHOE'S WATERS
ST20231210_205347_YOURE ALLOWED TO TAKE UP SPACE,YOU'RE ALLOWED TO,TAKE UP SPACE
ST20231210_205348_SNOW LANDS ON TOP,SNOW LANDS,ON TOP
ST20231210_205349_CHERISHING TAHOES LEGACY NATURES MASTERPIECE,CHERISHING TAHOE'S,"LEGACY, NATURE'S MASTERPIECE"
ST20231210_205350_I HATE STUPID PEOPLE,I HATE,STUPID PEOPLE
ST20231210_205351_BOOKS ARE EASILY DESTROYED,BOOKS ARE,EASILY DESTROYED
ST20231210_205352_TO INDEED BE A GOD,TO INDEED,BE A GOD
ST20231210_205353_ANYWAYS IM GONNA GO CRY IN THE BATHROOM,"ANYWAYS, I'M GONNA GO",CRY IN THE BATHROOM
ST20231210_205354_ITS MESSED UP RIGHT,IT'S MESSED,"UP, RIGHT?"
ST20231210_205355_TREAT PEOPLE WITH KINDNESS,TREAT PEOPLE,WITH KINDNESS
ST20231210_205356_LIFE IS TOUGH BUT SO ARE YOU,LIFE IS TOUGH,BUT SO ARE YOU
ST20231210_205357_YOU ARE NOT IMMUNE TO PROPAGANDA,YOU ARE NOT IMMUNE,TO PROPAGANDA
ST20231210_205358_BRAKE FOR POSSUM POCKETS OF CHARM,BRAKE FOR POSSUM,POCKETS OF CHARM
ST20231210_205359_BEST WISHES WARMEST REGARDS,"BEST WISHES,",WARMEST REGARDS
ST20231210_205400_MY IDEA OF ROUGHING IT IS A HOTEL WITHOUT WI-FI,MY IDEA OF ROUGHING IT IS,A HOTEL WITHOUT WI-FI
ST20231210_205401_GONE WITH THE WIND,GONE WITH,THE WIND
ST20231210_205402_NOW IS YOUR TIME TO BLOOM,NOW IS YOUR,TIME TO BLOOM
ST20231210_205403_SORRY I WAS SLEEPING,SORRY I WAS,SLEEPING
ST20231210_205404_I WANT TO PAUSE ADULTING,I WANT TO,PAUSE ADULTING
ST20231210_205405_WHATS YOUR FAVORITE SCARY MOVIE,WHAT'S YOUR,FAVORITE SCARY MOVIE?
ST20231210_205406_I MOVE THE STARS FOR NO ONE,I MOVE THE,STARS FOR NO ONE
ST20231210_205407_IF YOURE GONNA BE A BEAR BE A GRIZZLY,IF YOU'RE GONNA BE A,"BEAR, BE A GRIZZLY"
ST20231210_205408_LOVE WILL HAVE ITS SACRIFICES,LOVE WILL HAVE,ITS SACRIFICES
ST20231210_205409_YOURE GOING TO REAP JUST WHAT YOU SOW,YOU'RE GOING TO REAP,JUST WHAT YOU SOW
ST20231210_205410_IN THE DANCE OF LIFE LET YOUR SPIRIT LEAD,"IN THE DANCE OF LIFE,",LET YOUR SPIRIT LEAD
ST20231210_205411_I'M SURE THAT WILL GET SORTED OUT,I'M SURE THAT,WILL GET SORTED OUT
ST20231210_205412_WHAT IS WRONG WITH YOU,WHAT IS WRONG,WITH YOU?
ST20231210_205413_SLOW DOWN POUCHES IN THE AREA,"SLOW DOWN,",POUCHES IN THE AREA
ST20231210_205414_I WELDED IT HELDED,I WELDED IT,HELDED
ST20231210_205415_IT IS NOT THAT DEEP,IT IS NOT,THAT DEEP
ST20231210_205416_TO ME YOU ARE PERFECT,"TO ME, YOU",ARE PERFECT
ST20231210_205417_LIFE IS AN EPIC QUEST-SEEK THE EXTRAORDINARY IN EVERY MOMENT,LIFE IS AN EPIC QUEST-SEEK THE,EXTRAORDINARY IN EVERY MOMENT
ST20231210_205418_NO COMPLAINING ABOUT THE LACK OF LEGROOM,NO COMPLAINING ABOUT,THE LACK OF LEGROOM
ST20231210_205419_THERES NO ONE ID RATHER BE THAN ME,THERE'S NO ONE I'D,RATHER BE THAN ME
ST20231210_205420_ITS NOT A HILL TO DIE ON,IT'S NOT A,HILL TO DIE ON
ST20231210_205422_IF I COLLAPSE PAUSE MY WATCH,IF I COLLAPSE,PAUSE MY WATCH
ST20231210_205423_WORK HARD PLAY HARD,WORK HARD,PLAY HARD
ST20231210_205424_MY DREAM WOULDNT BE COMPLETE WITHOUT YOU,MY DREAM WOULDN'T BE,COMPLETE WITHOUT YOU
ST20231210_205425_MAY WE MEET AGAIN,MAY WE,MEET AGAIN
ST20231210_205426_VENTURE BOLDLY INTO THE UNTAMED CANVAS OF LIFE,VENTURE BOLDLY INTO THE,UNTAMED CANVAS OF LIFE
ST20231210_205427_LET GOD TRANSFORM YOU,LET GOD,TRANSFORM YOU
