SKU,Name1,Name2
ST20231210_074207_TAKE WHAT YOU NEED,TAKE WHAT,YOU NEED
ST20231210_074208_YOURE KILLING ME SMALLS,YOU'RE KILLING,ME SMALLS
ST20231210_074209_WORDS ARE OUR MOST INEXHAUSTIBLE SOURCE OF MAGIC,WORDS ARE OUR MOST,INEXHAUSTIBLE SOURCE OF MAGIC
ST20231210_074210_TOASTER OUTRUNNING BREAKFAST BLUES,"TOASTER, OUTRUNNING",BREAKFAST BLUES
ST20231210_074211_NO WHINING NO QUITTING NO EXCUSES,"NO WHINING, NO","QUITTING, NO EXCUSES"
ST20231210_074212_SAVE VAQUITAS GUARDIANS OF THE SEA AMBASSADORS OF MARINE CONSERVATION,"SAVE VAQUITAS, GUARDIANS OF THE SEA,",AMBASSADORS OF MARINE CONSERVATION
ST20231210_074213_SHES GOT A BOOK FOR EVERY SITUATION,SHE'S GOT A BOOK FOR,EVERY SITUATION
ST20231210_074214_MAY YOUR DAY BE AS ORGANIZED AS MY SOCK DRAWER,MAY YOUR DAY BE AS,ORGANIZED AS MY SOCK DRAWER
ST20231210_074215_HOPE IS NOT A STRATEGY,HOPE IS NOT A,STRATEGY
ST20231210_074217_IVE GOT NOTHIN FOR YOU,I'VE GOT,NOTHIN' FOR YOU
ST20231210_074218_EVERYBODY IS A GENIUS,EVERYBODY IS,A GENIUS
ST20231210_074219_NO ARGUING ABOUT THE SEATING ARRANGEMENT,NO ARGUING ABOUT THE,SEATING ARRANGEMENT
ST20231210_074220_NO ARGUING ABOUT WHO CONTROLS THE CAMERA,NO ARGUING ABOUT WHO,CONTROLS THE CAMERA
ST20231210_074221_YOU ARE RIGHT WHERE YOU SHOULD BE,YOU ARE RIGHT,WHERE YOU SHOULD BE
ST20231210_074222_IN A WORLD OF MY OWN,IN A WORLD,OF MY OWN
ST20231210_074223_THERE ARE MUCH WORSE GAMES TO PLAY,THERE ARE MUCH,WORSE GAMES TO PLAY
ST20231210_074224_I AM GROWING TODAY,I AM,GROWING TODAY
ST20231210_074225_WHERE THE WILD SPIRITS ROAM ADVENTURES ARE BOUND TO UNFOLD,"WHERE THE WILD SPIRITS ROAM,",ADVENTURES ARE BOUND TO UNFOLD
ST20231210_074226_THE WORST THING ABOUT PRISON WAS THE DEMENTORS,THE WORST THING ABOUT,PRISON WAS THE DEMENTORS
ST20231210_074227_OUR WORLD IS WORTH FIGHTING FOR,OUR WORLD IS,WORTH FIGHTING FOR
ST20231210_074228_DON`T THINK TWICE IT`S ALL RIGHT,DON`T THINK TWICE,IT`S ALL RIGHT
ST20231210_074229_BE A LOVER CHOOSE LOSE GIVE LOVE,BE A LOVER CHOOSE,LOSE GIVE LOVE
ST20231210_074230_THIS IS HOW I FIGHT MY BATTLES,THIS IS HOW I,FIGHT MY BATTLES
