SKU,Name1,Name2
ST20231211_210339_THE LORD LOVES EFFORT,THE LORD,LOVES EFFORT
ST20231211_210340_NOTHING TO LOSE BUT OUR CHAINS ROSES,NOTHING TO LOSE BUT,OUR CHAINS ROSES
ST20231211_210341_OUR LOVE IS GOD,OUR LOVE,IS GOD
ST20231211_210342_SOME PAIN CHANGES YOU,SOME PAIN,CHANGES YOU
ST20231211_210343_LIVING THEATRICALLY IN NORMAL LIFE,LIVING THEATRICALLY,IN NORMAL LIFE
ST20231211_210344_NATURES MASTERPIECE TAHOES WATERS A TRANQUIL WEAVE,"NATURE'S MASTERPIECE,",TAHOE'S WATERS A TRANQUIL WEAVE
ST20231211_210345_IM FULL OF FUN FACTS,I'M FULL OF,FUN FACTS
ST20231211_210346_EVERYTHING HAPPENS FOR A REASON,EVERYTHING,HAPPENS FOR A REASON
ST20231211_210348_YOUR EXISTENCE IS ESSENTIALLY IRRELEVANT,YOUR EXISTENCE IS,ESSENTIALLY IRRELEVANT
ST20231211_210349_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20231211_210350_BE STRONG AND COURAGEOUS,BE STRONG AND,COURAGEOUS
ST20231211_210351_WATCH OUT FOR THE IDIOT BEHIND ME,WATCH OUT FOR THE,IDIOT BEHIND ME
ST20231211_210352_LAST NERVE IS MIA,LAST NERVE,IS MIA
ST20231211_210353_FINE MAKE ME YOUR VILLAIN,FINE MAKE ME,YOUR VILLAIN
ST20231211_210355_LIFE GOES ON DAYS GET BRIGHTER,"LIFE GOES ON,",DAYS GET BRIGHTER
ST20231211_210356_DANCERS TURN OUT BETTER,DANCERS TURN,OUT BETTER
ST20231211_210357_BEAT THE DEVIL OUT OF IT,BEAT THE DEVIL,OUT OF IT
ST20231211_210358_EMBRACE THE WILD JOURNEY RIDE THE WINDS OF FREEDOM,"EMBRACE THE WILD JOURNEY,",RIDE THE WINDS OF FREEDOM
ST20231211_210359_COURAGE IS WHEN WE FACE OUR FEARS,COURAGE IS WHEN WE,FACE OUR FEARS
ST20231211_210400_INDECISION MAY OR MAY NOT BE MY PROBLEM,INDECISION MAY OR MAY,NOT BE MY PROBLEM
ST20231211_210401_GO INTO ALL THE WORLD,GO INTO ALL,THE WORLD
ST20231211_210402_ONLY YOU CAN DECIDE WHAT BREAKS YOU,ONLY YOU CAN DECIDE,WHAT BREAKS YOU
ST20231211_210403_VENTURE WHERE THE WILD WINDS CARRY YOU,VENTURE WHERE THE,WILD WINDS CARRY YOU
ST20231211_210406_I LIT THE BLACK FLAME CANDLE,I LIT THE BLACK,FLAME CANDLE
ST20231211_210407_NO ARGUING ABOUT WHO GETS THE WINDOW SEAT,NO ARGUING ABOUT WHO,GETS THE WINDOW SEAT
ST20231211_210408_YOU ARE BEGINNING TO DAMAGE MY CALMDS,YOU ARE BEGINNING TO,DAMAGE MY CALMDS
ST20231211_210409_TOMORROW IS ANOTHER DAY,TOMORROW IS,ANOTHER DAY
ST20231211_210410_LIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALL,LIFE IS EITHER A DARING,ADVENTURE OR NOTHING AT ALL.
ST20231211_210411_EVERYTHING EVERYWHERE ALL AT ONCE,EVERYTHING,EVERYWHERE ALL AT ONCE
ST20231211_210412_ITS NOT DEMONS BUT ITS DEMONS,"IT'S NOT DEMONS,",BUT IT'S DEMONS
ST20231211_210413_I USED TO BE COOL,I USED TO,BE COOL
ST20231211_210414_SOMETIMES SCIENCE IS MORE ART THAN SCIENCE,SOMETIMES SCIENCE IS,MORE ART THAN SCIENCE
ST20231211_210415_THE ONLY DANGEROUS MINORITY IS THE RICH,THE ONLY DANGEROUS,MINORITY IS THE RICH
ST20231211_210416_TAHOES AURA A SANCTUARY OF TRANQUILITY,"TAHOE'S AURA, A",SANCTUARY OF TRANQUILITY
ST20231211_210417_YOU MAKE STRAY KIDS STAY,YOU MAKE STRAY,KIDS STAY
ST20231211_210418_I LOVE MY GAY DOG,I LOVE MY,GAY DOG
ST20231211_210420_I WEAR THE CHEESE,I WEAR THE,CHEESE.
ST20231211_210421_DRIVER GETS THE BIGGEST SLICE OF PIE,DRIVER GETS THE,BIGGEST SLICE OF PIE
ST20231211_210422_HAVE COURAGE AND BE KIND,HAVE COURAGE,AND BE KIND
ST20231211_210423_AZURE ENCHANTMENT TAHOES TIMELESS ALLURE,"AZURE ENCHANTMENT,",TAHOE'S TIMELESS ALLURE
ST20231211_210424_NEVER SKIP LEG DAY,NEVER SKIP,LEG DAY!!!
ST20231211_210425_CHAOS CONDUCTOR AT YOUR SERVICE,CHAOS CONDUCTOR,AT YOUR SERVICE
ST20231211_210426_BE THE WHOLE PROBLEM,BE THE WHOLE,PROBLEM
ST20231211_210427_OH YEAH TERRIBLY FUNNY REALLY WITTY,"OH YEAH, TERRIBLY","FUNNY, REALLY WITTY"
ST20231211_210428_IF YOU ARE ALWAYS TRYING TO BE NORMAL,IF YOU ARE ALWAYS,TRYING TO BE NORMAL
ST20231211_210429_WELCOME TO THE SHIT SHOW,WELCOME TO THE,SHIT SHOW
ST20231211_210430_ROAM FREELY FOR THE WORLD IS YOUR PLAYGROUND,"ROAM FREELY, FOR THE",WORLD IS YOUR PLAYGROUND
ST20231211_210431_DONT LET ANYONE MAKE YOU DISAPPEAR,DON'T LET ANYONE,MAKE YOU DISAPPEAR
ST20231211_210432_IF THERE IS NO COPS AROUND ANYTHINGS LEGAL,IF THERE IS NO COPS,AROUND ANYTHING'S LEGAL
ST20231211_210433_I KNOW YOU'RE OBSESSED WITH ME,I KNOW YOU'RE,OBSESSED WITH ME
ST20231211_210434_NO BRINGING UP EMBARRASSING STORIES FROM THE PAST,NO BRINGING UP,EMBARRASSING STORIES FROM THE PAST
ST20231211_210435_DESPITE EVERYTHING ITS STILL YOU,"DESPITE EVERYTHING,",IT'S STILL YOU.
ST20231211_210436_VAQUITA HEARTBEAT FADING SURGE WITH DETERMINATION RESUSCITATE THEIR MELODY,VAQUITA HEARTBEAT FADING. SURGE WITH,"DETERMINATION, RESUSCITATE THEIR MELODY"
ST20231211_210437_I TOOK MY POWER,I TOOK MY,POWER
ST20231211_210438_IT GETS WORSE SKULL,IT GETS,WORSE SKULL
ST20231211_210439_IM A LITTLE BIT COUNTRY AND IM A LITTLE,I'M A LITTLE BIT,"COUNTRY, AND I'M A LITTLE"
ST20231211_210440_BRAKE FOR WILDLIFE WONDERS IN POUCHES,BRAKE FOR WILDLIFE,WONDERS IN POUCHES
ST20231211_210441_KIND PEOPLE ARE MY KINDA PEOPLE,KIND PEOPLE ARE,MY KINDA PEOPLE
ST20231211_210442_NEVER TRUST THE LIVING,NEVER TRUST,THE LIVING
ST20231211_210443_THE GOOD PLACE MALE JUDGE,THE GOOD PLACE,MALE JUDGE
