SKU,Name1,Name2
ST20231211_131109_ADULTING IS A SCAM,ADULTING IS,A SCAM
ST20231211_131110_LIVING FOR THE MEMES NOT THE DREAMS,LIVING FOR THE,"MEMES, NOT THE DREAMS"
ST20231211_131111_SLAYING THE ADULTING GAME BUT BARELY,SLAYING THE ADULTING,"GAME, BUT BARELY"
ST20231211_131112_MY SENSE OF HUMOR IS AS DRY AS MY SHAMPOO,MY SENSE OF HUMOR IS,AS DRY AS MY SHAMPOO
ST20231211_131113_IM NOT A CONTROL FREAK BUT YOU SHOULD DO IT MY WAY,"I'M NOT A CONTROL FREAK, BUT",YOU SHOULD DO IT MY WAY
ST20231211_131114_IM NOT LAZY IM IN ENERGY-SAVING MODE,"I'M NOT LAZY, I'M IN",ENERGY-SAVING MODE
ST20231211_131115_IM NOT ANTISOCIAL IM SELECTIVELY AVOIDING STUPIDITY,"I'M NOT ANTISOCIAL, I'M",SELECTIVELY AVOIDING STUPIDITY
ST20231211_131116_CANCELLED MY SUBSCRIPTION TO ADULTHOOD,CANCELLED MY,SUBSCRIPTION TO ADULTHOOD
ST20231211_131117_EATING SNACKS AND IGNORING TEXTS,EATING SNACKS AND,IGNORING TEXTS
ST20231211_131118_BEING AN ADULT IS THE WORST DECISION EVER,BEING AN ADULT IS THE,WORST DECISION EVER
ST20231211_131120_MY SUPERPOWER IS OVERTHINKING,MY SUPERPOWER IS,OVERTHINKING
ST20231211_131121_IM NOT ARGUING IM JUST EXPLAINING WHY IM RIGHT,"I'M NOT ARGUING, I'M JUST",EXPLAINING WHY I'M RIGHT
ST20231211_131122_WIFI STRONGER THAN MY RELATIONSHIPS,WIFI STRONGER THAN,MY RELATIONSHIPS
ST20231211_131123_IM NOT RUDE IM JUST BRUTALLY HONEST,"I'M NOT RUDE, I'M",JUST BRUTALLY HONEST
ST20231211_131124_LOWKEY STRESSING HIGHKEY BLESSING,"LOWKEY STRESSING,",HIGHKEY BLESSING
ST20231211_131125_CHILLIN LIKE A VILLAIN,CHILLIN' LIKE,A VILLAIN
ST20231211_131126_NAPPING IS A SPORT AND IM AN ATHLETE,"NAPPING IS A SPORT,",AND I'M AN ATHLETE
ST20231211_131127_SAVAGE AF BUT IN A CUTE WAY,"SAVAGE AF, BUT",IN A CUTE WAY
ST20231211_131128_EATING MY FEELINGS ONE SNACK AT A TIME,"EATING MY FEELINGS,",ONE SNACK AT A TIME
ST20231211_131130_SARCASM IS MY ONLY DEFENSE,SARCASM IS MY,ONLY DEFENSE
ST20231211_131131_PIZZA IS MY LOVE LANGUAGE,PIZZA IS MY,LOVE LANGUAGE
ST20231211_131132_STRESSED BLESSED AND COFFEE OBSESSED,"STRESSED, BLESSED,",AND COFFEE OBSESSED
ST20231211_131133_RUNNING ON CAFFEINE AND DRY SHAMPOO,RUNNING ON CAFFEINE,AND DRY SHAMPOO
ST20231211_131134_CTRL+Z CANT FIX MY LIFE,CTRL+Z CAN'T,FIX MY LIFE
ST20231211_131135_HATERS GONNA HATE POTATOES GONNA POTATE,"HATERS GONNA HATE,",POTATOES GONNA POTATE
ST20231211_131136_FLEXING LIKE MY WI-FI SIGNAL,FLEXING LIKE MY,WI-FI SIGNAL
ST20231211_131137_LIFES A MESS AND SO IS MY HAIR,"LIFE'S A MESS, AND",SO IS MY HAIR
ST20231211_131138_MY ROOMS A MESS BUT SO IS MY LIFE,"MY ROOM'S A MESS,",BUT SO IS MY LIFE
ST20231211_131139_MOOD SWINGS AND CHICKEN WINGS,MOOD SWINGS AND,CHICKEN WINGS
ST20231211_131140_PROCRASTINATING LIKE THERES NO TOMORROW,PROCRASTINATING LIKE,THERE'S NO TOMORROW
ST20231211_131141_CAFFEINE AND SARCASM MY ONLY FILTERS,CAFFEINE AND,"SARCASM, MY ONLY FILTERS"
ST20231211_131142_IM NOT LAZY IM IN ENERGY-SAVING MODE INDEFINITELY,"I'M NOT LAZY, I'M IN","ENERGY-SAVING MODE, INDEFINITELY"
ST20231211_131143_DID I ASK NO BUT GO OFF,"DID I ASK? NO,",BUT GO OFF
ST20231211_131144_IM NOT A PROCRASTINATOR IM ON A BREAK FROM PRODUCTIVITY,"I'M NOT A PROCRASTINATOR, I'M",ON A BREAK FROM PRODUCTIVITY
ST20231211_131145_THATS SUS GOTTA VOTE THEM OFF,"THAT'S SUS, GOTTA",VOTE THEM OFF
