SKU,Name1,Name2
ST20231212_225204_TOASTER BEATS TRAFFIC NOT BREAD,"TOASTER, BEATS","TRAFFIC, NOT BREAD"
ST20231212_225205_DONT TOUCH ME IM STERILE,DONT TOUCH ME,IM STERILE
ST20231212_225206_CAR THAT RUNS ON WATER MAN,CAR THAT RUNS ON,"WATER, MAN!"
ST20231212_225207_PAPER SNOW A GHOST,PAPER SNOW,A GHOST
ST20231212_225208_PASSED BY A TOASTER TOASTED IRONY,PASSED BY A,TOASTER TOASTED IRONY
ST20231212_225209_ALWAYS THE TONE OF SURPRISE,ALWAYS THE TONE,OF SURPRISE
ST20231212_225210_DONT TOUCH MY PLANNER,DON'T TOUCH,MY PLANNER!
ST20231212_225211_KEEP WATERING THE GOOD SEEDS,KEEP WATERING,THE GOOD SEEDS
ST20231212_225212_YOU HAVE A PLACE IN MY HEART,YOU HAVE A PLACE,IN MY HEART
ST20231212_225213_FREE SPIRITS DANCE IN THE WILDERNESS OF LIFE,FREE SPIRITS DANCE IN,THE WILDERNESS OF LIFE
ST20231212_225214_THIS IS MY LAND,THIS IS MY,LAND!
ST20231212_225215_YOU CAN HAVE RESULTS OR EXCUSES NOT BOTH,YOU CAN HAVE RESULTS,OR EXCUSES NOT BOTH
ST20231212_225216_LIFE IS LIKE A CAMERA,LIFE IS LIKE,A CAMERA
ST20231212_225217_MAY YOUR DAY BE AS EVENTFUL AS A SILENT DISCO,MAY YOUR DAY BE AS,EVENTFUL AS A SILENT DISCO
ST20231212_225218_BRAKE FOR WILDLIFE AMERICAS POUCH PATROL,"BRAKE FOR WILDLIFE,",AMERICA'S POUCH PATROL!
ST20231212_225219_LAST WORDS OF A SHOOTING STAR,LAST WORDS OF A,SHOOTING STAR
ST20231212_225220_EXERCISE MAKES ME HAPPY,EXERCISE,MAKES ME HAPPY
ST20231212_225221_PICK ME CHOOSE ME LOVE ME,PICK ME CHOOSE,ME LOVE ME.
ST20231212_225222_ITS ME HI IM THE PROBLEM ITS ME,"IT'S ME, HI, I'M THE","PROBLEM, IT'S ME"
ST20231212_225223_DO OR DO NOT THERE IS NO TRY,DO OR DO NOT,THERE IS NO TRY
ST20231212_225224_WILL WORK FOR PRIMOGEMS,WILL WORK FOR,PRIMOGEMS
ST20231212_225225_DOES SOMEONE NEED A HUG,DOES SOMEONE,NEED A HUG
ST20231212_225226_MAJESTIC TAHOE WHERE NATURE PAINTS ITS CANVAS,"MAJESTIC TAHOE, WHERE",NATURE PAINTS ITS CANVAS
ST20231212_225227_TAKE ME TO CHURCH,TAKE ME TO,CHURCH
ST20231212_225228_POUCH PIONEERS HIT THE BRAKES,"POUCH PIONEERS,",HIT THE BRAKES!
ST20231212_225229_GOOD THINGS ARE COMING,GOOD THINGS,ARE COMING
ST20231212_225230_DONT MAKE ME REPEAT MYSELF HISTORY,DONT MAKE ME REPEAT,MYSELF HISTORY
ST20231212_225231_CORRELATION DOES NOT EQUAL CAUSATION,CORRELATION DOES NOT,EQUAL CAUSATION
ST20231212_225232_OPOSSUMS THE ORIGINAL INFLUENCERS OF THE PLAYING POSSUM TREND,"OPOSSUMS, THE ORIGINAL INFLUENCERS",OF THE 'PLAYING POSSUM' TREND
ST20231212_225233_CRASH LANDING ON YOU INSPIRED,CRASH LANDING ON,YOU INSPIRED
ST20231212_225234_HAVE YOURSELF A MERRY,HAVE,YOURSELF A MERRY
ST20231212_225235_BAD CHOICES MAKE GOOD STORIES,BAD CHOICES MAKE,GOOD STORIES
ST20231212_225236_SHE BELIEVE SHE COULD SO SHE DID,SHE BELIEVE SHE,COULD SO SHE DID
ST20231212_225237_PROTECT THE BLUE KEEP TAHOE TRUE,"PROTECT THE BLUE,",KEEP TAHOE TRUE
ST20231212_225238_NO MOURNERS NO FUNERALS,"NO MOURNERS,",NO FUNERALS.
ST20231212_225239_THATS MY PURSE I DONT KNOW YOU,"THAT'S MY PURSE, I",DON'T KNOW YOU!
ST20231212_225240_ITS A BEAUTIFUL DAY TO SAVE LIVES,IT'S A BEAUTIFUL,DAY TO SAVE LIVES
ST20231212_225241_EPIC EYE ROLL LOADING,EPIC EYE,ROLL LOADING
