SKU,Name1,Name2
ST20231212_135453_SPEAK SOFTLY AND CARRY A BIG STICK,SPEAK SOFTLY AND,CARRY A BIG STICK
ST20231212_135454_YOURE KILLIN ME SMALLS,YOU'RE KILLIN,ME SMALLS
ST20231212_135455_I DONT KNOW IF YOUR BRAIN IS ALL SCRAMBLED,I DON'T KNOW IF YOUR,BRAIN IS ALL SCRAMBLED
ST20231212_135456_THATS HIGH LADY TO YOU,THAT'S HIGH,LADY TO YOU
ST20231212_135457_HATE HATE HATE DOUBLE HATE LOATHE ENTIRELY,HATE HATE HATE DOUBLE,HATE LOATHE ENTIRELY
ST20231212_135458_DONT MESS WITH THE CAPTAIN,DON'T MESS WITH,THE CAPTAIN
ST20231212_135459_I OPEN EVERY DOOR,I OPEN,EVERY DOOR
ST20231212_135500_HAPPINESS IS A BUTTERLY,HAPPINESS IS,A BUTTERLY
ST20231212_135501_BY YOU I AM FOREVER UNDONE,"BY YOU, I AM",FOREVER UNDONE
ST20231212_135502_BUT HEY BITCHES GET STUFF DONE,"BUT HEY, BITCHES",GET STUFF DONE
ST20231212_135503_DO THE CHICKENS HAVE LARGE TALONS,DO THE CHICKENS,HAVE LARGE TALONS?
ST20231212_135504_BE TOLERANT WITH OTHERS AND STRICT WITH YOURSELF,BE TOLERANT WITH OTHERS,AND STRICT WITH YOURSELF
ST20231212_135505_A FEW GOOD MEN I KNOW THE LAW,"A FEW GOOD MEN, I",KNOW THE LAW
ST20231212_135506_SUFFER PAIN OF DISCIPLINE OR REGRET,SUFFER PAIN OF,DISCIPLINE OR REGRET
ST20231212_135507_MY TASTE IN MUSIC IS YOUR FACE,MY TASTE IN MUSIC,IS YOUR FACE!
ST20231212_135508_YOURE LIKE REALLY PRETTY,"YOU'RE, LIKE,",REALLY PRETTY
ST20231212_135509_I WOKE UP LIKE THIS,I WOKE UP,LIKE THIS
ST20231212_135510_NO IDEA WHAT THEY'RE DOING,NO IDEA WHAT,THEY'RE DOING
ST20231212_135511_I DONT KNOW HOW TO READ,I DONT KNOW,HOW TO READ
ST20231212_135512_SHE WORKS WILLINGLY WITH HER HANDS,SHE WORKS WILLINGLY,WITH HER HANDS
ST20231212_135513_YOU MAKE THE WORLD A BETTER PLACE,YOU MAKE THE WORLD,A BETTER PLACE
ST20231212_135514_ILL BE IN MY BEDROOM,I'LL BE IN,MY BEDROOM
ST20231212_135515_ALWAYS LOOK ON THE BRIGHT SIDE OF LIFE,ALWAYS LOOK ON THE,BRIGHT SIDE OF LIFE
ST20231212_135516_IF YOU AINT FIRST YOURE LAST,IF YOU AIN'T,FIRST YOU'RE LAST
ST20231212_135517_I JUST DIDN'T WANT TO LOSE YOU,I JUST DIDN'T,WANT TO LOSE YOU.
ST20231212_135518_ONE MORE TIME CHEER COACH,ONE MORE TIME,CHEER COACH
ST20231212_135519_JUST FOUND OUT THE WORLD DOESNT REVOLVE AROUND ME,JUST FOUND OUT THE WORLD,DOESN'T REVOLVE AROUND ME
ST20231212_135520_YOU GOTTA RISK IT FOR THE BISCUIT,YOU GOTTA RISK IT,FOR THE BISCUIT
ST20231212_135521_ITS A GOOD DAY TO BE HAPPY,IT'S A GOOD DAY,TO BE HAPPY
ST20231212_135522_DO YOU TRUST ME,DO YOU,TRUST ME?
ST20231212_135523_I'VE GOT A TEXT,I'VE GOT,A TEXT
ST20231212_135524_DONT LET SCHOOLING INTERFERE WITH YOUR EDUCATION,DON'T LET SCHOOLING,INTERFERE WITH YOUR EDUCATION
ST20231212_135525_I LOVE TAKING ROMANTIC WALKS UP THE MAKEUP AISLE,I LOVE TAKING ROMANTIC,WALKS UP THE MAKEUP AISLE
ST20231212_135526_LIONS DONT LOSE SLEEP OVER THE OPINIONS OF SHEEP,LIONS DON'T LOSE SLEEP,OVER THE OPINIONS OF SHEEP
ST20231212_135527_WHAT IS GOING ON,WHAT IS,GOING ON
ST20231212_135528_TOP OF THE MUFFIN TO YOU,TOP OF THE,MUFFIN TO YOU
ST20231212_135529_SIT DOWN YOURE ROCKING THE BOAT,SIT DOWN YOU'RE,ROCKING THE BOAT!
ST20231212_135530_WHAT ARE YOU GRATEFUL FOR,WHAT ARE YOU,GRATEFUL FOR?
ST20231212_135531_GOOD MENTAL HEALTH,GOOD MENTAL,HEALTH
ST20231212_135532_DOTH MOTHER KNOW YOU WEAR,DOTH MOTHER,KNOW YOU WEAR
ST20231212_135533_BECAUSE ADULTING IS HARD,BECAUSE,ADULTING IS HARD
ST20231212_135534_YOU CAN DO I,YOU CAN,DO I
ST20231212_135535_REAL LOVE IS NEVER A WASTE OF TIME,REAL LOVE IS NEVER,A WASTE OF TIME
ST20231212_135536_DO I REGRET IT YES WUOLD I DO IT AGAIN PROBABLY,"DO I REGRET IT? YES, WUOLD",I DO IT AGAIN PROBABLY
ST20231212_135537_DO NO HARM TAKE NO SHIT,"DO NO HARM,",TAKE NO SHIT
ST20231212_135538_PERSONAL TORTURE INSTRUCTOR I MEAN PERSONAL TRAINER,PERSONAL TORTURE INSTRUCTOR,I MEAN PERSONAL TRAINER
ST20231212_135539_WHAT IF I FALL WHAT IF YOU FLY,"WHAT IF I FALL,",WHAT IF YOU FLY
ST20231212_135540_ITS FINE IM FINE EVERYTHING IS FINE,"IT'S FINE, I'M FINE,",EVERYTHING IS FINE
ST20231212_135541_DONT FORGET THE HAPPY THOUGHTS,DON'T FORGET THE,HAPPY THOUGHTS
ST20231212_135542_DESTROY THE PATRIARCHY NOT THE PLANET,DESTROY THE,"PATRIARCHY, NOT THE PLANET"
ST20231212_135543_DONT MENTION THE WAR,DON'T,MENTION THE WAR
ST20231212_135544_WHAT SITUATION ISNT IMPROVED BY PIZZA,WHAT SITUATION ISN'T,IMPROVED BY PIZZA?
ST20231212_135545_LIFE IS NO WAY TO TREAT AN ANIMAL,LIFE IS NO WAY TO,TREAT AN ANIMAL
ST20231212_135547_THIS PROVIDES SO MUCH SCOPE FOR THE IMAGINATION,THIS PROVIDES SO MUCH,SCOPE FOR THE IMAGINATION
ST20231212_135548_I CAME I SAW I FORGOT,I CAME. I SAW.,I FORGOT.
ST20231212_135549_YOUR IMPERFECTIONS ARE BEAUTIFUL,YOUR IMPERFECTIONS,ARE BEAUTIFUL
ST20231212_135550_BIRTH IS A CURSE AND EXISTENCE IS A PRISON,BIRTH IS A CURSE AND,EXISTENCE IS A PRISON
ST20231212_135551_LOVE CAN TELL A MILLION STORIES,LOVE CAN TELL A,MILLION STORIES
ST20231212_135552_I JUST DONT CARE,I JUST,DONT CARE
ST20231212_135553_SINCERITY IS SCARY,SINCERITY,IS SCARY
