SKU,Name1,Name2
ST20231212_162119_MAYBE CHRISTMAS PERHAPS MEANS A LITTLE BIT MORE,"MAYBE CHRISTMAS, PERHAPS,",MEANS A LITTLE BIT MORE
ST20231212_162120_IM SPEAKING IN RHYME,I'M SPEAKING,IN RHYME!
ST20231212_162121_FAITH IS BELIEVING IN THINGS WHEN COMMON SENSE TELLS YOU NOT TO,FAITH IS BELIEVING IN THINGS WHEN,COMMON SENSE TELLS YOU NOT TO
ST20231212_162122_AND THE USS HEART GREW THREE SIZES THAT DAY,AND THE US'S HEART GREW,THREE SIZES THAT DAY
ST20231212_162123_LET THINK OF SOMETHING HE HADNT BEFORE,LET THINK OF,SOMETHING HE HADN'T BEFORE
ST20231212_162124_EVERY WHO DOWN IN HERE LIKED CHRISTMAS A LOT,EVERY WHO DOWN IN HERE,LIKED CHRISTMAS A LOT
ST20231212_162125_MAX HELP ME IM FEELING,"MAX, HELP ME...",I'M FEELING!
ST20231212_162126_WHAT IF CHRISTMAS PERHAPS MEANS A LITTLE BIT MORE,"WHAT IF CHRISTMAS, PERHAPS,",MEANS A LITTLE BIT MORE
ST20231212_162127_WHY FOR FIFTY THREE YEARS IVE PUT UP WITH IT NOW,"WHY, FOR FIFTY-THREE YEARS",I'VE PUT UP WITH IT NOW!
ST20231212_162128_STINK STANK STUNK,"STINK,","STANK, STUNK!"
ST20231212_162129_WELCOME CHRISTMAS CHRISTMAS DAY,"WELCOME CHRISTMAS,",CHRISTMAS DAY
ST20231212_162130_WHAT IF CHRISTMAS HE THOUGHT DOESNT COME FROM A STORE,"WHAT IF CHRISTMAS, HE THOUGHT,",DOESN'T COME FROM A STORE
ST20231212_162131_YOURE A MEAN ONE,YOU'RE A,MEAN ONE
ST20231212_162132_MAYBE CHRISTMAS DOESNT COME FROM A STORE,MAYBE CHRISTMAS DOESN'T,COME FROM A STORE.
ST20231212_162133_ITS NOT WHATS UNDER THE CHRISTMAS TREE THAT MATTERS,IT'S NOT WHAT'S UNDER THE,CHRISTMAS TREE THAT MATTERS
ST20231212_162134_HE PUZZLED AND PUZZLED TILL HIS PUZZLER WAS SORE,HE PUZZLED AND PUZZLED,TILL HIS PUZZLER WAS SORE
ST20231212_162135_I MUST STOP THIS WHOLE THING,I MUST STOP THIS,WHOLE THING.
