SKU,Name1
ST20231214_111405_IF YOU HONK AT ME YOU OWE ME $20,YOU OWE ME $20
ST20231214_111406_IF YOU HONK AT ME YOU OWE ME $10,YOU OWE ME $10
ST20231214_111407_IF YOU HONK AT ME I WILL KILL MYSELF,I WILL KILL MYSELF!
ST20231214_111408_IF YOU HONK AT ME ILL ASSUME YOU ARE FLIRTING,I'LL ASSUME YOU ARE FLIRTING
ST20231214_111409_IF YOU HONK AT ME YOU ARE UGLY,YOU ARE UGLY!
ST20231214_111410_IF YOU HONK AT ME I WILL CRY,I WILL CRY
ST20231214_111411_IF YOU HONK AT ME I WILL KILL MYSELF,I WILL KILL MYSELF
ST20231214_111412_IF YOU HONK AT ME I WILL KISS YOU,I WILL KISS YOU
ST20231214_111413_IF YOU HONK AT ME I WILL KMS,I WILL KMS
ST20231214_111414_IF YOU HONK AT ME I WILL DWELL ON IT FOR WEEKS,I WILL DWELL ON IT FOR WEEKS
ST20231214_111415_IF YOU HONK AT ME I WILL DWELL ON IT,I WILL DWELL ON IT
ST20231214_111416_IF YOU HONK AT ME I WILL KISS YOU,I WILL KISS YOU
ST20231214_111417_IF YOU HONK AT ME YOU ARE A MISOGYNIST,YOU ARE A MISOGYNIST
