SKU,Name1
ST20231214_134626_DONT HONK AT ME I WILL CRY,I WILL CRY
ST20231214_134627_DONT HONK AT ME IM HAVIN A CRISIS,I'M HAVIN' A CRISIS
ST20231214_134628_DONT HONK AT ME IM SENSITIVE,I'M SENSITIVE
ST20231214_134629_DONT HONK AT ME IM POPPING MY PIMPLES,IM POPPING MY PIMPLES
ST20231214_134630_DONT HONK AT ME IDONT LIKE WHAT IM DOING EITHER,IDON'T LIKE WHAT I'M DOING EITHER
ST20231214_134631_DONT HONK AT ME IF YOU DONT EXIST,IF YOU DON'T EXIST
ST20231214_134632_DONT HONK AT ME MY BROTHER IN CHRIST,MY BROTHER IN CHRIST
ST20231214_134633_DONT HONK AT ME ILL FART,I'LL FART
ST20231214_134634_DONT HONK AT ME I HAVE ANXIETY,I HAVE ANXIETY
ST20231214_134635_DONT HONK AT ME MY TUMMY HURTS,MY TUMMY HURTS
ST20231214_134636_DONT HONK AT ME IM ANXIOUS,I'M ANXIOUS
ST20231214_134637_DONT HONK AT ME IM TRYING MY BEST,I'M TRYING MY BEST
ST20231214_134638_DONT HONK AT ME I AM FRAGILE,I AM FRAGILE
ST20231214_134639_DONT HONK AT ME IM CRYING ALREADY,I'M CRYING ALREADY
ST20231214_134640_DONT HONK AT ME IM EASILY FRIGHTENED,I'M EASILY FRIGHTENED
ST20231214_134641_DONT HONK AT ME IM DRIVING HOME FROM MY LOBOTOMY,I'M DRIVING HOME FROM MY LOBOTOMY
ST20231214_134642_DONT HONK AT ME IF YOU EXIST,IF YOU EXIST
ST20231214_134643_DONT HONK AT ME I WILL PANIC,I WILL PANIC
ST20231214_134644_DONT HONK AT ME IM PROBABLY ALREADY CRYING,I'M PROBABLY ALREADY CRYING
ST20231214_134645_DONT HONK AT ME I WILL SPILL MY BEER,I WILL SPILL MY BEER
ST20231214_134646_DONT HONK AT ME IM TRYING MY BEST,I'M TRYING MY BEST
ST20231214_134647_DONT HONK AT ME IM JUST A LITTLE GUY,I'M JUST A LITTLE GUY
ST20231214_134648_DONT HONK AT ME LOSER IM GOING SHOPPING,LOSER I'M GOING SHOPPING
