SKU,Name1,Name2
ST20231215_203339_I CANT I HAVE DANCE,"I CAN'T, I",HAVE DANCE
ST20231215_203340_HEROES GET REMEMBERED LEGENDS NEVER DIE,"HEROES GET REMEMBERED,",LEGENDS NEVER DIE
ST20231215_203341_YOU GOT A DOPE SOUL AND HELLA ETHICS,YOU GOT A DOPE SOUL,AND HELLA ETHICS
ST20231215_203342_TRUTH IS A MATTER OF THE IMAGINATION,TRUTH IS A MATTER OF,THE IMAGINATION
ST20231215_203343_BE THE ENERGY YOU WANT TO ATTRACT,BE THE ENERGY YOU,WANT TO ATTRACT
ST20231215_203344_AZURE DREAMS UNFOLD ON TAHOES GLISTENING CANVAS,AZURE DREAMS UNFOLD ON,TAHOE'S GLISTENING CANVAS
ST20231215_203345_LIFE GOES ON PINK,LIFE GOES,ON PINK
ST20231215_203346_KEEP ME IN YOUR HEART,KEEP ME IN,YOUR HEART
ST20231215_203347_ATTITUDE REFLECTS LEADERSHIP CAPTAIN,ATTITUDE REFLECTS,LEADERSHIP CAPTAIN
ST20231215_203348_DRIVER GETS THE FIRST PICK AT THE BUFFET,DRIVER GETS THE FIRST,PICK AT THE BUFFET
ST20231215_203349_FAST CARS AND FREEDOM,FAST CARS,AND FREEDOM
ST20231215_203350_NO TAKING PHOTOS WITHOUT PERMISSION,NO TAKING PHOTOS,WITHOUT PERMISSION
ST20231215_203351_BLESSED ARE THE CURIOUS,BLESSED ARE,THE CURIOUS
ST20231215_203352_I DONT TAKE THE PRESSURE I DRINK IT,I DON'T TAKE THE,PRESSURE I DRINK IT
ST20231215_203353_THE WITCH FOREVER LIVES,THE WITCH,FOREVER LIVES
ST20231215_203354_WE RISE BY LIFTING OTHERS,WE RISE BY,LIFTING OTHERS
ST20231215_203355_NEVER UNDERESTIMATE A GIRL WITH A HOCKEY STICK,NEVER UNDERESTIMATE A,GIRL WITH A HOCKEY STICK
ST20231215_203356_YOU IMPRINTED ON MY DAUGHTER,YOU IMPRINTED ON,MY DAUGHTER?
ST20231215_203357_REMEMBER YOUR ROOTS TRUST YOUR WINGS,"REMEMBER YOUR ROOTS,",TRUST YOUR WINGS
ST20231215_203358_IM ON ANNOYANCE AUTOPILOT,I'M ON,'ANNOYANCE AUTOPILOT'
ST20231215_203359_YOU ARE WHAT YOU CHOOSE TO BE,YOU ARE WHAT YOU,CHOOSE TO BE
ST20231215_203400_MEN WRITTEN BY WOMEN,MEN WRITTEN,BY WOMEN
ST20231215_203401_YOUR FEELINGS ARE VALID,YOUR FEELINGS,ARE VALID
ST20231215_203402_BE YOURSELF TRANS POSITIVITY,BE YOURSELF,TRANS POSITIVITY
ST20231215_203403_WANDERLUST AT HEART CRAVING THE OPEN ROAD,"WANDERLUST AT HEART,",CRAVING THE OPEN ROAD
ST20231215_203404_LIFE AS A WRITER,LIFE AS A,WRITER
ST20231215_203405_WILD HEARTS THRIVE WHERE THE OPEN ROAD UNFOLDS,WILD HEARTS THRIVE WHERE,THE OPEN ROAD UNFOLDS
ST20231215_203406_TOASTER CRUMBS OF SUNRISE VICTORY,"TOASTER, CRUMBS OF",SUNRISE VICTORY
ST20231215_203407_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
ST20231215_203408_WE DO BE VIBIN' DOE,WE DO BE,VIBIN' DOE
ST20231215_203409_SHUT YOUR FING FACE UNCLE FER,SHUT YOUR FING,"FACE, UNCLE FER."
ST20231215_203410_MOM I AM A RICH MAN,MOM I AM A,RICH MAN
ST20231215_203411_ITS THE PERFECT DAY FOR A TRAGICAL ROMANCE,IT'S THE PERFECT DAY,FOR A TRAGICAL ROMANCE
ST20231215_203412_IN MY DEFENSE I WAS LEFT UNSUPERVISED,IN MY DEFENSE I WAS,LEFT UNSUPERVISED
ST20231215_203413_DO IT WITH FEAR BUT DO IT,DO IT WITH FEAR,BUT DO IT.
ST20231215_203414_DONT WASTE YOUR POTENTIAL NEURON,DON'T WASTE YOUR,POTENTIAL NEURON
ST20231215_203415_I BECAME A WAREHOUSE WORKER FOR THE MONEY AND FAME,I BECAME A WAREHOUSE WORKER,FOR THE MONEY AND FAME
ST20231215_203416_DONT BE LIKE THE REST OF THEM DARLING,DON'T BE LIKE THE,REST OF THEM DARLING
ST20231215_203417_I THINK OF YOU,I THINK,OF YOU
ST20231215_203418_DONT TOUCH MY FABRIC SCISSORS,DON'T TOUCH MY,FABRIC SCISSORS!
