SKU,Name1,Name2
ST20231215_131906_JUST A BOY WHO LOVES RAMEN,JUST A BOY WHO,LOVES RAMEN
ST20231215_131907_JUST A BOY WHO LOVES SCHOOL BUSES,JUST A BOY WHO,LOVES SCHOOL BUSES
ST20231215_131908_JUST A BOY WHO LOVES SUNSHINE,JUST A BOY WHO,LOVES SUNSHINE
ST20231215_131909_JUST A BOY WHO LOVES SHRIMP,JUST A BOY WHO,LOVES SHRIMP
ST20231215_131910_JUST A BOY WHO LOVES BEARDED DRAGONS,JUST A BOY WHO, LOVESBEARDED DRAGONS
ST20231215_131911_JUST A BOY WHO LOVES TRACTORS,JUST A BOY WHO,LOVES TRACTORS
ST20231215_131912_JUST A BOY WHO LOVES MONSTER TRUCKS,JUST A BOY WHO,LOVES MONSTER TRUCKS
ST20231215_131913_JUST A BOY WHO LOVES DINOSAURS,JUST A BOY WHO,LOVES DINOSAURS
ST20231215_131914_JUST A BOY WHO LOVES LAWN MOWERS,JUST A BOY WHO,LOVES LAWN MOWERS
ST20231215_131915_JUST A BOY WHO LOVES DUCK,JUST A BOY WHO,LOVES DUCK
ST20231215_131916_JUST A BOY WHO LOVES CHICKEN,JUST A BOY WHO,LOVES CHICKEN
ST20231215_131917_JUST A BOY WHO LOVES GOAT,JUST A BOY WHO,LOVES GOAT
ST20231215_131918_JUST A BOY WHO LOVES CHAMELEONS,JUST A BOY WHO,LOVES CHAMELEONS
ST20231215_131919_JUST A BOY WHO LOVES CARS,JUST A BOY WHO,LOVES CARS
ST20231215_131920_JUST A BOY WHO LOVES PLANES,JUST A BOY WHO,LOVES PLANES
ST20231215_131921_JUST A BOY WHO LOVES HORSES,JUST A BOY WHO,LOVES HORSES
ST20231215_131922_JUST A BOY WHO LOVES LEMUR,JUST A BOY WHO,LOVES LEMUR
ST20231215_131923_JUST A BOY WHO LOVES BASEBALL,JUST A BOY WHO,LOVES BASEBALL
ST20231215_131924_JUST A BOY WHO LOVES DRAGONS,JUST A BOY WHO,LOVES DRAGONS
ST20231215_131925_JUST A BOY WHO LOVE CHESS,JUST A BOY WHO,LOVE CHESS
ST20231215_131926_JUST A BOY WHO LOVES WHALES,JUST A BOY WHO,LOVES WHALES
ST20231215_131927_JUST A BOY WHO LOVES MINING,JUST A BOY WHO,LOVES MINING
ST20231215_131928_JUST A BOY WHO LOVES WOLVES,JUST A BOY WHO,LOVES WOLVES
ST20231215_131929_JUST A BOY WHO LOVES MUSHROOMS,JUST A BOY WHO,LOVES MUSHROOMS
ST20231215_131930_JUST A BOY WHO LOVES ANIME AND SKETCHING,JUST A BOY WHO LOVES,ANIME AND SKETCHING
