SKU,Name1,Name2
ST20231216_225030_LIBRARIES THE MOST DEMOCRATIC THING,LIBRARIES THE MOST,DEMOCRATIC THING
ST20231216_225031_ROAMING FREE CHASING SUNSETS LIVING UNTAMED,"ROAMING FREE, CHASING","SUNSETS, LIVING UNTAMED"
ST20231216_225032_LOVE MAKES YOU BETTER,LOVE MAKES,YOU BETTER
ST20231216_225033_EMPOWERED WOMEN EMPOWER WOMEN,EMPOWERED WOMEN,EMPOWER WOMEN
ST20231216_225034_COURAGE IS NOT THE ABSENCE OF FEAR,COURAGE IS NOT THE,ABSENCE OF FEAR
ST20231216_225035_DRIVER GETS THE BEST VIEW,DRIVER GETS,THE BEST VIEW
ST20231216_225036_AND IN THE MORNING IM MAKIN WAFFLES,AND IN THE MORNING,I'M MAKIN' WAFFLES!
ST20231216_225037_I BECAME A DOG WALKER FOR THE MONEY AND FAME,I BECAME A DOG WALKER,FOR THE MONEY AND FAME
ST20231216_225038_DONT PANIC OK PANIC,DON'T PANIC!,OK.. PANIC
ST20231216_225039_BABY DONT GET GREEDY,"BABY, DON'T",GET GREEDY
ST20231216_225040_HAVE COURAGE BEE KIND,HAVE COURAGE,BEE KIND
ST20231216_225041_POSSUM POCKETS BRAKE WITH CARE,"POSSUM POCKETS,",BRAKE WITH CARE
ST20231216_225042_NO EXCUSES JUST RESULTS,NO EXCUSES,JUST RESULTS
ST20231216_225043_BUDDY THE ELF WHATS YOUR FAVORITE COLOR,BUDDY THE ELF WHAT'S,YOUR FAVORITE COLOR?
ST20231216_225044_THE FORCE IS STRONG WITH THIS ONE,THE FORCE IS,STRONG WITH THIS ONE
ST20231216_225045_YOU BOW TO NO ONE,YOU BOW TO,NO ONE
ST20231216_225046_GO WITH THE FLOW,GO WITH,THE FLOW
ST20231216_225047_LOVE IS BLIND AND LOVERS CANNOT SEE,LOVE IS BLIND AND,LOVERS CANNOT SEE
ST20231216_225048_LOVE GOD SERVE GOD,LOVE GOD,SERVE GOD
ST20231216_225049_ITS A BEAUTIFUL DAY TO SAVE LIVES,IT'S A BEAUTIFUL,DAY TO SAVE LIVES
ST20231216_225050_DONT STOP UNTIL YOURE PROUD,DON'T STOP UNTIL,YOU'RE PROUD
ST20231216_225051_NURSING IS A WORK OF HEART,NURSING IS A,WORK OF HEART.
ST20231216_225052_IM A PATIENCE MARATHONER,I'M A PATIENCE,MARATHONER
ST20231216_225053_AN APPEAL TO HEAVEN,AN APPEAL,TO HEAVEN
ST20231216_225054_DONT BE A DICK DICK,DON'T BE A,"DICK, DICK."
ST20231216_225055_I BECAME A STREET CLEANER FOR THE MONEY AND FAME,I BECAME A STREET CLEANER,FOR THE MONEY AND FAME
ST20231216_225056_IVE BEEN BUSY PROCRASTINATING ALL DAY,I'VE BEEN BUSY,PROCRASTINATING ALL DAY
ST20231216_225057_POUCH PATROL GENTLE ON THE GAS PEDAL,"POUCH PATROL, GENTLE",ON THE GAS PEDAL
ST20231216_225058_FEAR IS THE MIND KILLER,FEAR IS THE,MIND KILLER
ST20231216_225059_NAVIGATE UNCHARTED TERRITORIES AND WRITE YOUR OWN ADVENTURE,NAVIGATE UNCHARTED TERRITORIES,AND WRITE YOUR OWN ADVENTURE
ST20231216_225100_MY PATIENCE FILED FOR DIVORCE,MY PATIENCE,FILED FOR DIVORCE
ST20231216_225101_WHEN PEOPLE SAY IMPOSSIBLE THEY USUALLY MEAN IMPROBABLE,"WHEN PEOPLE SAY IMPOSSIBLE,",THEY USUALLY MEAN IMPROBABLE
ST20231216_225103_GUARDING TAHOES HEART A PROMISE TO NATURE,"GUARDING TAHOE'S HEART,",A PROMISE TO NATURE
ST20231216_225104_UNLEASH THE WILD WITHIN LET THE JOURNEY BEGIN,"UNLEASH THE WILD WITHIN,",LET THE JOURNEY BEGIN
ST20231216_225105_ADVENTURES BLOOM WHERE THE WILD SEEDS ARE PLANTED,ADVENTURES BLOOM WHERE THE,WILD SEEDS ARE PLANTED
ST20231216_225106_DONE IS BETTER THAN PERFECT,DONE IS BETTER,THAN PERFECT
ST20231216_225107_FUNNY NURSE STUDENT LIFE MOTIVATION,FUNNY NURSE STUDENT,LIFE MOTIVATION
ST20231216_225108_NO ARGUING ABOUT WHERE TO EAT,NO ARGUING ABOUT,WHERE TO EAT
ST20231216_225109_KNOWLEDGE IS LOVE AND LIGHT AND VISION,KNOWLEDGE IS LOVE AND,LIGHT AND VISION.
ST20231216_225110_IT ISNT FOR THE FEW,IT ISNT FOR,THE FEW
ST20231216_225111_HIT THE BRAKES POUCHES AT PLAY,"HIT THE BRAKES,",POUCHES AT PLAY!
ST20231216_225112_BESTIE PLEASE LET ME MERGE,BESTIE PLEASE,LET ME MERGE
ST20231216_225113_FOR THOSE WHO SEEK THE WILD BECOMES A SANCTUARY,"FOR THOSE WHO SEEK, THE",WILD BECOMES A SANCTUARY
ST20231216_225114_TOASTER BREAKFASTS DARK HORSE,"TOASTER,",BREAKFAST'S DARK HORSE
ST20231216_225115_WHAT LIKE IT'S HARD,WHAT? LIKE,IT'S HARD?
ST20231216_225116_THERE ARE BUT TWO PARTIES NOW,THERE ARE BUT,TWO PARTIES NOW
ST20231216_225117_TOASTER FASTER THAN YOU BUTTER BE,"TOASTER, FASTER",THAN YOU BUTTER BE
