SKU,Name1,Name2
ST20231216_093511_TAHOES SANCTUARY A HAVEN FOR THE SOUL,"TAHOE'S SANCTUARY, A",HAVEN FOR THE SOUL
ST20231216_093513_MONEY DOESNT BUY HAPPINESS,MONEY DOESNT,BUY HAPPINESS
ST20231216_093514_YOURE ON YOUR OWN KID,YOU'RE ON,YOUR OWN KID
ST20231216_093515_LOSING IS FOR LOSERS,LOSING IS,FOR LOSERS.
ST20231216_093516_TRAILBLAZING THROUGH LIFE FUELED BY WILD DREAMS,"TRAILBLAZING THROUGH LIFE,",FUELED BY WILD DREAMS
ST20231216_093517_THESE PRETZELS ARE MAKING ME THIRSTY,THESE PRETZELS ARE,MAKING ME THIRSTY!
ST20231216_093518_OH I'M NOT A DOCTOR,OH I'M NOT,A DOCTOR
ST20231216_093519_TRUE AMERICAN NEW GIRL,TRUE AMERICAN,NEW GIRL
ST20231216_093520_ADVENTURE IS OUT THERE,ADVENTURE IS,OUT THERE
ST20231216_093521_DONT BE A PRICK,DON'T BE A,PRICK
ST20231216_093522_EVEN DARKNESS MUST PASS,EVEN DARKNESS,MUST PASS
ST20231216_093523_MAKE MY COFFEE ICY AND MY BOOKS SPICY,MAKE MY COFFEE ICY,AND MY BOOKS SPICY
ST20231216_093524_I DIDNT GO THROUGH ALL THAT FOR NOTHING,I DIDN'T GO THROUGH,ALL THAT FOR NOTHING
ST20231216_093525_THE WAY YOU SPEAK MATTERS,THE WAY YOU,SPEAK MATTERS
ST20231216_093526_OUR DAY WILL COME,OUR DAY,WILL COME
ST20231216_093527_ANNOYANCE LEVEL OFF THE CHARTS,"ANNOYANCE LEVEL,",OFF THE CHARTS
ST20231216_093528_THE WORST PERSON IN THE WORLD,THE WORST PERSON,IN THE WORLD
ST20231216_093529_POUCH PIONEERS EASE OFF THE GAS,"POUCH PIONEERS,",EASE OFF THE GAS
ST20231216_093530_SAVE WATER DRINK WINE,SAVE WATER,DRINK WINE
ST20231216_093531_THERE SHOULD BE A THIRD OPTION,THERE SHOULD BE A,THIRD OPTION
ST20231216_093532_CHASING SUNSETS EMBRACING THE CALL OF THE WILD,"CHASING SUNSETS,",EMBRACING THE CALL OF THE WILD
ST20231216_093533_I READ BECAUSE PUNCHING PEOPLE IS FROWNED UPON,I READ BECAUSE PUNCHING,PEOPLE IS FROWNED UPON
ST20231216_093534_BRAKE FOR AMERICAS HOPPING WONDERS,BRAKE FOR AMERICA'S,HOPPING WONDERS
ST20231216_093535_YOURE NOT MY FRIEND BUDDY,YOU'RE NOT MY,"FRIEND, BUDDY!"
ST20231216_093536_WE'RE HERE FOR THE CULT STUFF,WE'RE HERE FOR,THE CULT STUFF
ST20231216_093537_BUT MY MOM SAYS I'M COOL,BUT MY MOM SAYS,I'M COOL
ST20231216_093538_DRIVE SAFE POUCHES ON THE LOOSE,"DRIVE SAFE,",POUCHES ON THE LOOSE!
ST20231216_093539_ALL OF YOUR WILDEST DREAMS,ALL OF YOUR,WILDEST DREAMS
ST20231216_093540_PRESERVING TAHOES MAGIC ONE RIPPLE AT A TIME,"PRESERVING TAHOE'S MAGIC,",ONE RIPPLE AT A TIME
ST20231216_093541_ANGER FROM INSIDE OUT,ANGER FROM,INSIDE OUT
ST20231216_093542_I BELIEVE IN THE FUTURE OF AGRICULTURE,I BELIEVE IN THE,FUTURE OF AGRICULTURE
ST20231216_093543_NO ARGUING ABOUT WHO CONTROLS THE AIR CONDITIONING,NO ARGUING ABOUT WHO,CONTROLS THE AIR CONDITIONING
ST20231216_093544_WE RISE BY LIFTING OTHERS,WE RISE BY,LIFTING OTHERS
ST20231216_093545_I BECAME A WINDOW CLEANER FOR THE MONEY AND FAME,I BECAME A WINDOW CLEANER,FOR THE MONEY AND FAME
ST20231216_093546_PLAY DUMB NOT THAT DUMB,PLAY DUMB! NOT,THAT DUMB!
ST20231216_093547_THEY HAVE A CAVE TROLL,THEY HAVE A,CAVE TROLL
ST20231216_093548_TAHOES SYMPHONY THE MUSIC OF PRISTINE SHORES,"TAHOE'S SYMPHONY, THE",MUSIC OF PRISTINE SHORES
ST20231216_093549_GUARDIANS OF TAHOE STEWARDS OF ITS SPLENDOR,"GUARDIANS OF TAHOE,",STEWARDS OF ITS SPLENDOR
ST20231216_093550_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST20231216_093551_BORN TO EXPLORE THRIVE IN THE GREAT UNKNOWN,"BORN TO EXPLORE, THRIVE",IN THE GREAT UNKNOWN
ST20231216_093552_NO FRIENDS BUT THE MOUNTAINS,NO FRIENDS BUT,THE MOUNTAINS
ST20231216_093554_I AM GRATEFUL FOR THE LITTLE THINGS,I AM GRATEFUL FOR,THE LITTLE THINGS
ST20231216_093555_ETERNAL BEAUTY TAHOES GIFT TO THE SIERRAS SOUL,"ETERNAL BEAUTY, TAHOE'S",GIFT TO THE SIERRA'S SOUL
ST20231216_093556_I'M PROBABLY ONLINE SHOPPING,I'M PROBABLY,ONLINE SHOPPING
ST20231216_093557_A DREAM IS A WISH YOUR HEART MAKES,A DREAM IS A WISH,YOUR HEART MAKES
ST20231216_093558_I MYSELF AM STRANGE AND UNUSUAL,"I, MYSELF, AM",STRANGE AND UNUSUAL.
ST20231216_093559_GOOD TIMES BAD TIMES,"GOOD TIMES,",BAD TIMES
ST20231216_093600_HARM REDUCTION SAVES LIVES,HARM REDUCTION,SAVES LIVES
ST20231216_093601_SMALL YOU ARE LIFT YOU MUST,SMALL YOU ARE,LIFT YOU MUST
ST20231216_093602_I WAS UNDER DURESS,I WAS UNDER,DURESS
ST20231216_093603_BE DONE IN LOVE,BE DONE,IN LOVE
ST20231216_093604_MORE THAN ONE WAY TO SPELL A WORD,MORE THAN ONE WAY,TO SPELL A WORD
ST20231216_093605_TOASTER BURNT RUBBER NOT TOAST,"TOASTER, BURNT","RUBBER, NOT TOAST"
ST20231216_093606_NO BRINGING SMELLY FOOD INTO THE CAR,NO BRINGING SMELLY,FOOD INTO THE CAR
ST20231216_093607_THE MAN WHO WOULD BE KING,THE MAN WHO,WOULD BE KING
ST20231216_093608_HERE WE GO AGAIN,HERE WE GO,AGAIN
