SKU,Name1,Name2
ST20231217_154259_DEFENDERS OF TAHOE WARRIORS FOR ITS ETERNAL PURITY,"DEFENDERS OF TAHOE,",WARRIORS FOR ITS ETERNAL PURITY
ST20231217_154300_THIS IS MY EMOTIONAL SUPPORT KINDLE,THIS IS MY,EMOTIONAL SUPPORT KINDLE
ST20231217_154301_EXPLORE THE WILDERNESS WHERE EVERY STEP IS A DISCOVERY,"EXPLORE THE WILDERNESS, WHERE",EVERY STEP IS A DISCOVERY
ST20231217_154302_LIVE TOGETHER DIE ALONE,"LIVE TOGETHER,",DIE ALONE
ST20231217_154303_ART IS ANYTHING YOU CAN GET AWAY WITH,ART IS ANYTHING YOU,CAN GET AWAY WITH
ST20231217_154304_YOU HAVE NO IDEA HOW HIGH I CAN FLY,YOU HAVE NO IDEA,HOW HIGH I CAN FLY
ST20231217_154305_DATA OR IT DIDNT HAPPEN,DATA OR IT,DIDNT HAPPEN
ST20231217_154306_I USE TO BE COOL,I USE TO,BE COOL
ST20231217_154307_MAY THE FORCE BE WITH YOU GRAPHICS,MAY THE FORCE BE,WITH YOU GRAPHICS
ST20231217_154308_THE SUMMER I TURNED PRETTY BOOK COVER,THE SUMMER I TURNED,PRETTY BOOK COVER
ST20231217_154309_REAL MEN DONT NEED INSTRUCTIONS,REAL MEN DON'T,NEED INSTRUCTIONS!
ST20231217_154310_COOL COOL COOL NO DOUBT NO DOUBT,"COOL COOL COOL, NO",DOUBT NO DOUBT
ST20231217_154311_MY CRIME IS THAT OF CURIOSITY,MY CRIME IS THAT,OF CURIOSITY
ST20231217_154312_CRUISE CONTROL FOR POSSUM POCKETS,CRUISE CONTROL FOR,POSSUM POCKETS
ST20231217_154313_I AM LITTLE HIGH MAINTENANCE,I AM LITTLE HIGH,MAINTENANCE
ST20231217_154314_THATS MESSED UP RIGHT,THAT'S MESSED,"UP, RIGHT?"
ST20231217_154315_LOOK AT THE SIZE OF HIS TESTICLES,LOOK AT THE SIZE OF,HIS TESTICLES!
ST20231217_154316_THIS IS ME BEING REASONABLE,THIS IS ME BEING,REASONABLE.
ST20231217_154317_I AM A MOM AGAINST VAPING,I AM A MOM,AGAINST VAPING
ST20231217_154318_WILD HEARTS FIND SOLACE IN THE GREAT OUTDOORS,WILD HEARTS FIND SOLACE,IN THE GREAT OUTDOORS
ST20231217_154319_VENTURING INTO THE WILD WHERE DREAMS BECOME REALITY,"VENTURING INTO THE WILD,",WHERE DREAMS BECOME REALITY
ST20231217_154320_NO REGRETS ONLY MEMORIES,NO REGRETS,ONLY MEMORIES
ST20231217_154321_CAMPING A PASSPORT TO THE LAND OF SERENITY AND DISCOVERY,"CAMPING, A PASSPORT TO THE",LAND OF SERENITY AND DISCOVERY
ST20231217_154322_DO YOU NEED TO SAVE YOUR GAME,DO YOU NEED TO,SAVE YOUR GAME ?
ST20231217_154323_I BECAME A FOOD SERVER FOR THE MONEY AND FAME,I BECAME A FOOD SERVER,FOR THE MONEY AND FAME
ST20231217_154324_CHOOSE JOY HAPPY POSITIVITY,CHOOSE JOY,HAPPY POSITIVITY
ST20231217_154325_SET THE WORLD ON FIRE,SET THE,WORLD ON FIRE
ST20231217_154327_EVERY STORM RUNS OUT OF RAIN,EVERY STORM RUNS,OUT OF RAIN
ST20231217_154328_NO EXCESSIVE USE OF EMOJIS IN GROUP MESSAGES,NO EXCESSIVE USE OF,EMOJIS IN GROUP MESSAGES
ST20231217_154329_WHAT WOULD LIFE BE WITHOUT BOOK CLUB,WHAT WOULD LIFE BE,WITHOUT BOOK CLUB
