SKU,Name1
ST20231222_122504_SORRY IM LATE IM JUST TOO LAZY,I'M JUST TOO LAZY
ST20231222_122505_SORRY IM LATE I TOOK THE RHOMBUS,I TOOK THE RHOMBUS
ST20231222_122506_IM LATE I SAW SUNFLOWERS,SUNFLOWERS
ST20231222_122507_SORRY IM LATE IM AFRAID TO BE ON TIME,I'M AFRAID TO BE ON TIME
ST20231222_122508_SORRY IM LATE I DIDNT WANNA COME,I DIDN'T WANNA COME
ST20231222_122509_SORRY IM LATE I WAS FEEDING MY STARTER,I WAS FEEDING MY STARTER
ST20231222_122510_SORRY IM LATE MY CAT WAS SITTING ON ME,MY CAT WAS SITTING ON ME
ST20231222_122511_SORRY IM LATE I SAW A ROCK,I SAW A ROCK
ST20231222_122512_SORRY IM LATE I SAW A DOG,I SAW A DOG
ST20231222_122513_SORRY IM LATE IM ALLERGIC TO AIR,I'M ALLERGIC TO AIR
ST20231222_122514_SORRY IM LATE I WAS READING,I WAS READING
ST20231222_122515_SORRY IM LATE I SAW A HUMAN,I SAW A HUMAN
ST20231222_122516_SORRY IM LATE IM ALLERGIC TO TIMELY ARRIVALS,I'M ALLERGIC TO TIMELY ARRIVALS
ST20231222_122517_SORRY IM LATE I SAW CAT,I SAW CAT
ST20231222_122518_SORRY IM LATE I SAW A SNAIL,I SAW A SNAIL
ST20231222_122519_SORRY IM LATE IM ONLY HUMAN,I'M ONLY HUMAN
ST20231222_122520_SORRY IM LATE MY CAT WAS BEING CUTE,MY CAT WAS BEING CUTE
ST20231222_122521_SORRY IM LATE I WAS SLEEPING,I WAS SLEEPING
ST20231222_122522_SORRY IM LATE I WAS ON A SIDE QUEST,I WAS ON A SIDE QUEST
ST20231222_122523_SORRY IM LATE I WAS LITERALLY JUST VIBING,I WAS LITERALLY JUST VIBING
ST20231222_122524_SORRY IM LATE I WAS MASTURBATING,I WAS MASTURBATING
ST20231222_122525_SORRY IM LATE I WAS GETTING COFFEE,I WAS GETTING COFFEE
ST20231222_122526_SORRY IM LATE I JUST REALLY DONT WANT TO BE HERE,I JUST REALLY DON'T WANT TO BE HERE
ST20231222_122527_SORRY IM LATE I GOT HERE AS SOON AS I WANTED TO,I GOT HERE AS SOON AS I WANTED TO
ST20231222_122528_SORRY IM LATE I LIED NOT SORRY AT ALL,"I LIED, NOT SORRY AT ALL"
ST20231222_122529_SORRY IM LATE I HAD TO POOP,I HAD TO POOP
ST20231222_122530_SORRY IM LATE I WAS WRIRRING SMUT,I WAS WRIRRING SMUT
ST20231222_122531_SORRY IM LATE I HAD TO RECHARGE ELECTRIC VEHICLE,I HAD TO RECHARGE ELECTRIC VEHICLE
ST20231222_122532_SORRY IM LATE BUT I LEFT LATE,BUT I LEFT LATE
ST20231222_122533_SORRY IM LATE I WAS PONDERING MY ORB,I WAS PONDERING MY ORB
ST20231222_122534_SORRY IM LATE MY CAT WAS SLEEPING ON ME,MY CAT WAS SLEEPING ON ME
ST20231222_122535_SORRY IM LATE I WAS STUCK IN THE BACKROOMS,I WAS STUCK IN THE BACKROOMS
ST20231222_122536_SORRY IM LATE I WAS WATCHING PAINT DRY,I WAS WATCHING PAINT DRY
ST20231222_122537_SORRY IM LATE I THOUGHT THIS SIDE QUEST WAS OPTIONAL,I THOUGHT THIS SIDE QUEST WAS OPTIONAL
ST20231222_122538_SORRY IM LATE I WAS GOBBLING GLIZZIES,I WAS GOBBLING GLIZZIES
ST20231222_122539_SORRY IM LATE I AM NOT A FAN OF GOING OUT,I AM NOT A FAN OF GOING OUT
ST20231222_122540_SORRY IM LATE MY CAR WAS CHARGING,MY CAR WAS CHARGING
ST20231222_122541_SORRY IM LATE I GOT LOST ON THE PATH OF LIFE,I GOT LOST ON THE PATH OF LIFE
ST20231222_122542_SORRY IM LATE HAVE TO GET TO A SAVE POINT,HAVE TO GET TO A SAVE POINT
ST20231222_122543_SORRY IM LATE I WAS SIDE QUESTING,I WAS SIDE QUESTING
ST20231222_122544_SORRY IM LATE I GOT HERE WHEN I WANTED TO,I GOT HERE WHEN I WANTED TO
ST20231222_122545_SORRY IM LATE I HAVE KIDS,I HAVE KIDS
ST20231222_122546_SORRY IM LATE I WAS ABDUCTED,I WAS ABDUCTED
