SKU,Name1,Name2
ST20231222_222833_THE WORLD IS BIG,THE WORLD,IS BIG
ST20231222_222834_YOU CAN NEVER HAVE TOO MANY HANDBAGS,YOU CAN NEVER HAVE,TOO MANY HANDBAGS
ST20231222_222835_YOU SHOULDNT LET POETS LIE TO YOU,YOU SHOULDN'T LET,POETS LIE TO YOU
ST20231222_222836_THIS IS NOT A MOMENT ITS THE MOVEMENT,THIS IS NOT A MOMENT,IT'S THE MOVEMENT
ST20231222_222837_DONT HONK AT ME IM HAVIN A CRISIS,DON'T HONK AT ME I'M,HAVIN' A CRISIS
ST20231222_222838_KILL EM WITH KINDNESS,KILL EM WITH,KINDNESS
ST20231222_222839_FLEECE NAVIDAD STAY WARM AND FUZZY,"FLEECE NAVIDAD, STAY",WARM AND FUZZY!
ST20231222_222840_WORLDS OKAYEST COACH,WORLD'S,OKAYEST COACH
ST20231222_222841_DATA OR IT DIDNT HAPPEN,DATA OR IT,DIDN'T HAPPEN
ST20231222_222842_FREE RIDES LEPRECHAUN CHAUFFEURS ON DUTY,"FREE RIDES, LEPRECHAUN",CHAUFFEURS ON DUTY
ST20231222_222843_THE VOICES IN MY HEAD,THE VOICES,IN MY HEAD
ST20231222_222844_MAY YOUR DAY BE AS THRILLING AS WATCHING PAINT DRY,MAY YOUR DAY BE AS,THRILLING AS WATCHING PAINT DRY
ST20231222_222845_I LOVE MY GAY DOG,I LOVE MY,GAY DOG
ST20231222_222846_GATHER ROUND FOR CHRISTMAS CHEER,GATHER 'ROUND FOR,CHRISTMAS CHEER!
ST20231222_222847_LONG LIVE ALL THE MAGIC,LONG LIVE ALL,THE MAGIC
ST20231222_222848_HI I DONT CARE THANKS,HI. I DON'T,CARE. THANKS
ST20231222_222849_I USED TO BE COOL,I USED TO,BE COOL
ST20231222_222850_IM A QUEEN AND A BIT MORE REFINED,I'M A QUEEN AND A,BIT MORE REFINED
ST20231222_222851_JUST A GIRL WHO LOVES DINOSAURS,JUST A GIRL WHO,LOVES DINOSAURS
ST20231222_222852_WHAT IS COLLEGE,WHAT IS,COLLEGE?
ST20231222_222853_JUST A BOY WHO LOVES CHICKENS,JUST A BOY WHO,LOVES CHICKENS
ST20231222_222854_CHASING SUNSETS EMBRACING THE CALL OF THE WILD,"CHASING SUNSETS,",EMBRACING THE CALL OF THE WILD
ST20231222_222856_POUCH PIONEERS EASE OFF THE GAS,"POUCH PIONEERS,",EASE OFF THE GAS
ST20231222_222857_NEW YEAR NEW PLAYLIST SAME QUESTIONABLE DECISIONS,"NEW YEAR, NEW PLAYLIST,",SAME QUESTIONABLE DECISIONS
ST20231222_222858_ITS A LOVE STORY,ITS A LOVE,STORY
ST20231222_222859_YOU CAN NEVER HAVE TOO MANY PAJAMAS,YOU CAN NEVER HAVE,TOO MANY PAJAMAS
ST20231222_222900_WORLDS OKAYEST OPERATOR,WORLD'S,OKAYEST OPERATOR
ST20231222_222901_WORLDS OKAYEST WAKEBOARDER,WORLD'S OKAYEST,WAKEBOARDER
ST20231222_222902_NEW YEAR NEW GYM MEMBERSHIP CARD COLLECTING DUST,"NEW YEAR, NEW GYM",MEMBERSHIP CARD COLLECTING DUST
ST20231222_222903_I RUN BECAUSE I REALLY LOVE BURRITOS,I RUN BECAUSE I,REALLY LOVE BURRITOS
ST20231222_222904_WORLDS OKAYEST THAUMATURGE,WORLD'S OKAYEST,THAUMATURGE
ST20231222_222905_WE RISE BY LIFTING OTHERS,WE RISE BY,LIFTING OTHERS
ST20231222_222906_YOU CAN NEVER HAVE TOO MANY GNOMES,YOU CAN NEVER HAVE,TOO MANY GNOMES
ST20231222_222907_NO MOURNERS NO FUNERALS,NO MOURNERS,NO FUNERALS
ST20231222_222908_WISHING YOU 12 MONTHS OF GOOD HAIR DAYS,WISHING YOU 12 MONTHS,OF GOOD HAIR DAYS
ST20231222_222909_YOU CAN NEVER HAVE TOO MANY BOOKS OR CATS,YOU CAN NEVER HAVE TOO,MANY BOOKS OR CATS
ST20231222_222910_PLEASE BE PATIENT IM A TERRIBLE DRIVER,PLEASE BE PATIENT I'M,A TERRIBLE DRIVER
ST20231222_222911_JUST A GIRL WHO LOVES ORCAS,JUST A GIRL WHO,LOVES ORCAS
ST20231222_222912_DO YOU KNOW WHAT I AM SAYING,DO YOU KNOW WHAT,I AM SAYING?
ST20231222_222913_YOU CAN NEVER HAVE TOO MANY BATS,YOU CAN NEVER HAVE,TOO MANY BATS
ST20231222_222914_JUST A GIRL WHO LOVES MINING,JUST A GIRL WHO,LOVES MINING
ST20231222_222915_GUARDIANS OF THE WILD STEWARDS OF OUR HERITAGE,"GUARDIANS OF THE WILD,",STEWARDS OF OUR HERITAGE
ST20231222_222916_ART IS LOVE MADE PUBLIC,ART IS LOVE,MADE PUBLIC
ST20231222_222917_JUST A BOY WHO LOVES BEARDED DRAGONS,JUST A BOY WHO LOVES,BEARDED DRAGONS
ST20231222_222918_GET YOUR SHIT TOGETHER,GET YOUR SHIT,TOGETHER
ST20231222_222919_GROW THROUGH WHAT YOU GO THROUGH,GROW THROUGH WHAT,YOU GO THROUGH
ST20231222_222920_STAY WILD AT HEART,STAY WILD,AT HEART
ST20231222_222921_WORLDS OKAYEST TEACHER,WORLD'S,OKAYEST TEACHER
