SKU,Name1,Name2
ST20231223_160235_DRIVER GETS THE FIRST SHOWER,DRIVER GETS THE,FIRST SHOWER
ST20231223_160236_DONT HONK AT ME IM SENSITIVE,DON'T HONK AT ME,I'M SENSITIVE
ST20231223_160237_STAY TRUE TO YOU,STAY TRUE,TO YOU
ST20231223_160238_GET IN LOSER WERE GOING SHOPPING,"GET IN LOSER, WE'RE",GOING SHOPPING
ST20231223_160239_I RUN BECAUSE I REALLY LIKE CAKE,I RUN BECAUSE I,REALLY LIKE CAKE
ST20231223_160240_BE SAVAGE NOT AVERAGE,"BE SAVAGE,",NOT AVERAGE
ST20231223_160241_WARMEST THOUGHTS AND BEST WISHES,WARMEST THOUGHTS,AND BEST WISHES
ST20231223_160242_I AM STILL STANDING,I AM STILL,STANDING
ST20231223_160243_I RUN BECAUSE I REALLY LIKE GUACAMOLE,I RUN BECAUSE I,REALLY LIKE GUACAMOLE
ST20231223_160244_WORLDS OKAYEST BRAWLER,WORLD'S,OKAYEST BRAWLER
ST20231223_160245_YOU CAN NEVER HAVE TOO MANY BEES,YOU CAN NEVER HAVE,TOO MANY BEES
ST20231223_160246_YOU ARE A HOT MESS,YOU ARE A,HOT MESS
ST20231223_160247_ELEVATOR MUSIC FREE RIDE FOR NOTES,"ELEVATOR MUSIC,",FREE RIDE FOR NOTES
ST20231223_160248_PLEASE BE PATIENT I AM THINKING,PLEASE BE PATIENT,I AM THINKING
ST20231223_160249_WRITE HARD AND CLEAR ABOUT WHAT HURTS,WRITE HARD AND CLEAR,ABOUT WHAT HURTS
ST20231223_160250_2 GOOD OL BOYS BEHIND THE WHEEL,2 GOOD OL BOYS,BEHIND THE WHEEL
ST20231223_160251_ADVENTURE IS OUT THERE,ADVENTURE IS,OUT THERE
ST20231223_160252_INSPIRATIONAL PURPOSE OF LIFE,"INSPIRATIONAL,",PURPOSE OF LIFE
ST20231223_160253_YOURE NOT MY SUPERVISOR,YOU'RE NOT MY,SUPERVISOR
ST20231223_160254_IN THE WILD FIND THE TRUE ESSENCE OF FREEDOM,"IN THE WILD, FIND THE",TRUE ESSENCE OF FREEDOM
ST20231223_160255_DONT HONK AT ME MY TUMMY HURTS,DON'T HONK AT ME,MY TUMMY HURTS
ST20231223_160256_JUST A BOY WHO LOVES HORSES,JUST A BOY WHO,LOVES HORSES
ST20231223_160257_GOTH PRIVILEGE RAINCLOUDS ALWAYS HOVER RENT-FREE,"GOTH PRIVILEGE, RAINCLOUDS","ALWAYS HOVER, RENT-FREE"
ST20231223_160258_NO BRINGING UP EMBARRASSING STORIES FROM THE PAST,NO BRINGING UP,EMBARRASSING STORIES FROM THE PAST
ST20231223_160259_WORLDS OKAYEST PLUMBER,WORLD'S,OKAYEST PLUMBER
ST20231223_160300_YOU CAN NEVER HAVE TOO MANY BUGLES,YOU CAN NEVER HAVE,TOO MANY BUGLES
ST20231223_160301_RUDOLPH APPROVED HAPPINESS FOR YOU THIS SEASON,RUDOLPH-APPROVED,HAPPINESS FOR YOU THIS SEASON!
ST20231223_160302_JUST A GIRL WHO LOVES CATS,JUST A GIRL WHO,LOVES CATS
ST20231223_160303_PLEASE BE PATIENT IAM A PHOTOGRAPHER,PLEASE BE PATIENT,I'AM A PHOTOGRAPHER!
ST20231223_160304_FIRST WORLD PROBLEMS,FIRST WORLD,PROBLEMS
ST20231223_160305_WORK HARD AND BE KIND,WORK HARD,AND BE KIND
ST20231223_160306_DONT MAKE ME USE MY OPERA VOICE,DON'T MAKE ME USE,MY OPERA VOICE
ST20231223_160307_THE BEST IS YET TO COME,THE BEST IS,YET TO COME
ST20231223_160308_DONT MAKE ME USE MY FAMILY VOICE,DON'T MAKE ME USE,MY FAMILY VOICE
ST20231223_160309_WHERE THE SIERRA WHISPERS AND TAHOE SPARKLES,WHERE THE SIERRA,WHISPERS AND TAHOE SPARKLES
ST20231223_160310_JUST A BOY WHO LOVES FOXES,JUST A BOY WHO,LOVES FOXES
ST20231223_160311_NO COMPLAINING ABOUT THE CHOICE OF RESTAURANT,NO COMPLAINING ABOUT THE,CHOICE OF RESTAURANT
ST20231223_160312_JUST A BOY WHO LOVES FIRE TRUCKS,JUST A BOY WHO,LOVES FIRE TRUCKS
ST20231223_160313_BEYOND BOUNDARIES CHASING THE SPIRIT OF FREEDOM,"BEYOND BOUNDARIES, CHASING",THE SPIRIT OF FREEDOM
ST20231223_160314_IT IS WHAT IT IS,IT IS WHAT,IT IS
ST20231223_160315_EMBRACE THE WILD RIDE FOR LIFE IS AN UNTAMED ADVENTURE,"EMBRACE THE WILD RIDE, FOR",LIFE IS AN UNTAMED ADVENTURE
ST20231223_160316_DONT MAKE ME USE MY PAROLE OFFICER VOICE,DON'T MAKE ME USE MY,PAROLE OFFICER VOICE
ST20231223_160317_BUT MY MOM SAYS IM COOL,BUT MY MOM,SAYS I'M COOL
ST20231223_160318_JUST A BOY WHO LOVES BUNNIES,JUST A BOY WHO,LOVES BUNNIES
ST20231223_160319_JUST A GIRL WHO LOVES TINY KOALAS,JUST A GIRL WHO,LOVES TINY KOALAS
ST20231223_160320_TOASTER SPEEDING TOWARDS DAWN,"TOASTER, SPEEDING",TOWARDS DAWN
ST20231223_160321_WHERE THE WILD THINGS ARE THATS WHERE ILL BE,WHERE THE WILD THINGS,"ARE, THAT'S WHERE I'LL BE"
ST20231223_160322_JUST A GIRL WHO LOVES TOUCANS,JUST A GIRL WHO,LOVES TOUCANS
ST20231223_160323_LET ME BE THAT I AM,LET ME BE,THAT I AM
ST20231223_160324_MAKE MY COFFEE ICY AND MY BOOKS SPICY,MAKE MY COFFEE ICY,AND MY BOOKS SPICY
ST20231223_160325_NOT ALL THAT WANDER ARE LOST,NOT ALL THAT,WANDER ARE LOST
ST20231223_160326_LIFE IS TOUGH BUT SO ARE YOU,LIFE IS TOUGH,BUT SO ARE YOU
ST20231223_160327_I DONT HATE YOU,I DON'T,HATE YOU
ST20231223_160328_IF NOT ME WHO IF NOT NOW WHEN,"IF NOT ME, WHO? IF","NOT NOW, WHEN?"
ST20231223_160329_WILDLIFE CONSERVATION WHERE HUMOR GOES EXTINCT,"WILDLIFE CONSERVATION,",WHERE HUMOR GOES EXTINCT
ST20231223_160330_NO ARGUING ABOUT WHERE TO SIT IN THE CAR,NO ARGUING ABOUT WHERE,TO SIT IN THE CAR
ST20231223_160331_FAITH IS GREATER THAN FEAR,FAITH IS,GREATER THAN FEAR
ST20231223_160332_DONT MAKE ME USE MY BOUNCER VOICE,DON'T MAKE ME USE,MY BOUNCER VOICE
ST20231223_160333_AUDITOR IN GOD WE TRUST ALL OTHERS WE AUDIT,AUDITOR IN GOD WE TRUST,ALL OTHERS WE AUDIT
ST20231223_160334_MY ERECTION PAYS THE BILLS,MY ERECTION,PAYS THE BILLS
ST20231223_160335_WORLDS OKAYEST TRANS PERSON,WORLD'S OKAYEST,TRANS PERSON
ST20231223_160336_SAVING NATURE BECAUSE EVEN TREES NEED APPLAUSE RIGHT,"SAVING NATURE, BECAUSE EVEN","TREES NEED APPLAUSE, RIGHT?"
ST20231223_160337_ZEN MORE LIKE ZZZZ,ZEN? MORE,LIKE ZZZZ
ST20231223_160339_IN THE PURSUIT OF FREEDOM AND ENDLESS HORIZONS,IN THE PURSUIT OF FREEDOM,AND ENDLESS HORIZONS
ST20231223_160340_NEVER TRUST A DUCK,NEVER TRUST,A DUCK
ST20231223_160341_CAN YOU AFFORD TO BE AN INDIVIDUAL,CAN YOU AFFORD TO,BE AN INDIVIDUAL?
ST20231223_160342_KEEP THE WILD IN WILDLIFE,KEEP THE WILD,IN WILDLIFE
ST20231223_160343_RESOLUTIONS ARE LIKE DIETS Â€“ THEY START TOMORROW,RESOLUTIONS ARE LIKE DIETS,Â€“ THEY START TOMORROW
ST20231223_160344_ASK ME ABOUT MY LOBOTOMY,ASK ME ABOUT,MY LOBOTOMY
ST20231223_160345_STOCKINGS STUFFED SANITY STUFFED TOO,"STOCKINGS STUFFED,","SANITY STUFFED, TOO"
ST20231223_160346_FREE RIDES SPONSORED BY UNICORNS,"FREE RIDES,",SPONSORED BY UNICORNS
ST20231223_160347_HE SLIPPED HIS TONGUE INTO MY MOUTH,HE SLIPPED HIS,TONGUE INTO MY MOUTH!
ST20231223_160348_ANYWAYS IM GONNA GO CRY IN THE BATHROOM,"ANYWAYS, I'M GONNA GO",CRY IN THE BATHROOM
ST20231223_160349_PRAY MORE WORRY LESS,PRAY MORE,WORRY LESS
ST20231223_160350_ITS WHAT WE DO,IT'S WHAT,WE DO
ST20231223_160351_RESOLUTIONS ARE OVERRATED BRING ON THE CHAOS,RESOLUTIONS ARE,OVERRATED. BRING ON THE CHAOS!
ST20231223_160352_PIZZA IS MY LOVE LANGUAGE,PIZZA IS MY,LOVE LANGUAGE
ST20231223_160353_EVERYTHING EVERYWHERE ALL AT ONCE,EVERYTHING,EVERYWHERE ALL AT ONCE
ST20231223_160354_YOU JUST GOT PASSED BY A PRETTY GIRL,YOU JUST GOT PASSED,BY A PRETTY GIRL
ST20231223_160355_WORLDS OKAYEST RESPIRATORY THERAPIST,WORLD'S OKAYEST,RESPIRATORY THERAPIST
ST20231223_160356_FLEXING LIKE MY WIFI SIGNAL,FLEXING LIKE MY,WI-FI SIGNAL
ST20231223_160357_I DONT CARE WHAT YOU THINK,I DON'T CARE,WHAT YOU THINK
ST20231223_160358_WELCOME TO THE SHIT SHOW,WELCOME TO THE,SHIT SHOW
ST20231223_160359_I HOPE SOMETHING GOOD HAPPENS TO YOU TODAY,I HOPE SOMETHING GOOD,HAPPENS TO YOU TODAY
ST20231223_160400_GOTHIC ELITE COFFIN SHOPPING NO PRICE NEGOTIATIONS NEEDED,"GOTHIC ELITE, COFFIN SHOPPING,",NO PRICE NEGOTIATIONS NEEDED
ST20231223_160401_TREAT PEOPLE WITH KINDNESS,TREAT PEOPLE,WITH KINDNESS
ST20231223_160402_LIFE GOES ON DAYS GET BRIGHTER,"LIFE GOES ON,",DAYS GET BRIGHTER
ST20231223_160403_YOUR FRIENDLY REMINDER TO GO OUTSIDE,YOUR FRIENDLY,REMINDER TO GO OUTSIDE!
ST20231223_160404_I RUN BECAUSE I REALLY LIKE HOT DOGS,I RUN BECAUSE I,REALLY LIKE HOT DOGS
ST20231223_160405_YOU CAN NEVER HAVE TOO MANY CACTUS,YOU CAN NEVER HAVE,TOO MANY CACTUS
ST20231223_160406_NEW YEAR NEW EXCUSES FOR BEING A HOT MESS,"NEW YEAR, NEW EXCUSES",FOR BEING A HOT MESS
ST20231223_160407_DONT HONK AT ME IM PROBABLY ALREADY CRYING,DON'T HONK AT ME I'M,PROBABLY ALREADY CRYING
ST20231223_160408_GOTHIC ELITE OUR TEARS STAIN REGULAR CLOTHES,"GOTHIC ELITE, OUR TEARS",STAIN REGULAR CLOTHES
ST20231223_160409_ALRIGHT DUDE GO TRIP OVER A KNIFE,"ALRIGHT DUDE, GO",TRIP OVER A KNIFE
ST20231223_160410_NEW YEAR NEW ME STILL BUFFERING,"NEW YEAR, NEW ME?",STILL BUFFERING..
ST20231223_160411_JUST A GIRL WHO LOVES FALL AND BOOKS,JUST A GIRL WHO,LOVES FALL AND BOOKS
ST20231223_160412_DRIVER GETS THE FIRST PICK AT THE BUFFET,DRIVER GETS THE FIRST,PICK AT THE BUFFET
ST20231223_160413_MAY YOUR RESOLUTIONS BE MORE SUCCESSFUL THAN MINE,MAY YOUR RESOLUTIONS BE,MORE SUCCESSFUL THAN MINE
ST20231223_160414_WISHING YOU A DAY AS DYNAMIC AS MY WIFI CONNECTION,WISHING YOU A DAY AS,DYNAMIC AS MY WI-FI CONNECTION
ST20231223_160415_YOU MAKE STRAY KIDS STAY,YOU MAKE STRAY,KIDS STAY
ST20231223_160416_WORLDS OKAYEST THERAPIST,WORLD'S,OKAYEST THERAPIST
ST20231223_160417_DONT MAKE ME USE MY HUSBAND VOICE,DON'T MAKE ME USE,MY HUSBAND VOICE
ST20231223_160418_IVE MADE A HUGE MISTAKE,I'VE MADE A,HUGE MISTAKE
ST20231223_160419_THICK THIGHS SAVE LIVES,THICK THIGHS,SAVE LIVES
ST20231223_160420_JUST A BOY WHO LOVES ELEPHANTS,JUST A BOY WHO,LOVES ELEPHANTS
ST20231223_160421_HANG ON LET ME OVERTHINK THIS,HANG ON. LET ME,OVERTHINK THIS.
ST20231223_160422_SERENE NOT IN THIS LIFETIME,SERENE? NOT IN,THIS LIFETIME
ST20231223_160423_ALWAYS IN MY HEART,ALWAYS IN,MY HEART
ST20231223_160424_DONT YOU PUT THAT EVIL ON ME,DON'T YOU PUT,THAT EVIL ON ME
ST20231223_160425_RIDES SO FREE EVEN GRAVITYS JEALOUS,"RIDES SO FREE, EVEN",GRAVITY'S JEALOUS
ST20231223_160426_YOU CAN NEVER HAVE TOO MANY SNOW GLOBES,YOU CAN NEVER HAVE,TOO MANY SNOW GLOBES
ST20231223_160427_LEASE BE PATIENT I AM 9 YEARS OLD,LEASE BE PATIENT I,AM 9 YEARS OLD
ST20231223_160428_BE FEARLESS IN THE PURSUIT OF YOUR PASSIONS,BE FEARLESS IN THE,PURSUIT OF YOUR PASSIONS
ST20231223_160429_ITS A GOOD DAY TO READ A BOOK,IT'S A GOOD DAY,TO READ A BOOK
ST20231223_160430_DONT TOUCH MY FABRIC SCISSORS,DON'T TOUCH MY,FABRIC SCISSORS!
ST20231223_160431_WHAT WOULD I DO WITHOUT MY BOOK CLUB,WHAT WOULD I DO,WITHOUT MY BOOK CLUB?
ST20231223_160432_I BECAME A WAITER/WAITRESS FOR THE MONEY AND FAME,I BECAME A WAITER/WAITRESS,FOR THE MONEY AND FAME
ST20231223_160433_ITS A BEAUTIFUL DAY TO SAVE LIVES,IT'S A BEAUTIFUL,DAY TO SAVE LIVES
ST20231223_160434_NEVER LET ANYBODY MAKE YOU FEEL ORDINARY,NEVER LET ANYBODY MAKE,YOU FEEL ORDINARY
ST20231223_160435_NOTHING TO LOSE BUT OUR CHAINS ROSES,NOTHING TO LOSE BUT,OUR CHAINS ROSES
ST20231223_160436_MAY YOUR DAY BE AS EXCITING AS WATCHING GRASS GROW,MAY YOUR DAY BE AS EXCITING,AS WATCHING GRASS GROW
ST20231223_160437_CHERISH THE WILD SECURE THE FUTURE,"CHERISH THE WILD,",SECURE THE FUTURE
