SKU,Name1,Name2
ST20231224_191248_MAY YOUR WI FI BE STRONG AND YOUR RESOLUTIONS WEAK,MAY YOUR WI-FI BE STRONG,AND YOUR RESOLUTIONS WEAK
ST20231224_191249_PROTECT OUR WILDLIFE PRESERVE OUR FUTURE,"PROTECT OUR WILDLIFE,",PRESERVE OUR FUTURE
ST20231224_191250_JUST A GIRL WHO LOVES ANIME AND SKETCHING,JUST A GIRL WHO LOVES,ANIME AND SKETCHING
ST20231224_191251_WORLDS OKAYEST DOCTOR,WORLD'S,OKAYEST DOCTOR
ST20231224_191252_EVERYONE WAS THINKING IT I JUST SAID IT,EVERYONE WAS THINKING,IT I JUST SAID IT
ST20231224_191253_SIERRA JEWEL TAHOES WATERS TELL STORIES,"SIERRA JEWEL, TAHOE'S",WATERS TELL STORIES
ST20231224_191254_WORLDS OKAYEST WELDER,WORLD'S,OKAYEST WELDER
ST20231224_191255_ELVES GONE WILD TOO MUCH EGGNOG,"ELVES GONE WILD,",TOO MUCH EGGNOG!
ST20231224_191256_YOU CAN NEVER HAVE TOO MANY PUPPIES,YOU CAN NEVER HAVE,TOO MANY PUPPIES
ST20231224_191257_I BECAME A CARNIVAL WORKER FOR THE MONEY AND FAME,I BECAME A CARNIVAL WORKER,FOR THE MONEY AND FAME
ST20231224_191258_WHATS MEANT TO BE WILL FIND A WAY,WHAT'S MEANT TO BE,WILL FIND A WAY
ST20231224_191259_IM RIGHT ON TOP OF THAT ROSE,IM RIGHT ON TOP,OF THAT ROSE
ST20231224_191300_EVERY TREE EVERY CREATURE WORTH FIGHTING FOR,"EVERY TREE, EVERY",CREATURE WORTH FIGHTING FOR
ST20231224_191301_MERRY CHRISTMAS TO YOU AND YOURS,MERRY CHRISTMAS TO,YOU AND YOURS!
ST20231224_191302_WORLDS OKAYEST VET TECH,WORLD'S,OKAYEST VET TECH
ST20231224_191303_DRIVE SAFE POUCHES ON THE LOOSE,"DRIVE SAFE,",POUCHES ON THE LOOSE!
