SKU,Name1,Name2
ST20231224_065809_THE WILD IS CALLING,THE WILD IS,CALLING
ST20231224_065810_MAIM YOU AFTER MY MEETING,MAIM YOU AFTER,MY MEETING
ST20231224_065811_JUST A BOY WHO LOVES MINING,JUST A BOY WHO,LOVES MINING
ST20231224_065812_ADVENTURE KNOWS NO LIMITS ITS THE PURSUIT OF THE LIMITLESS,ADVENTURE KNOWS NO LIMITS IT'S,THE PURSUIT OF THE LIMITLESS
ST20231224_065813_UNLEASH THE WILD WITHIN AND LET IT ROAM,UNLEASH THE WILD,"WITHIN, AND LET IT ROAM"
ST20231224_065814_365 NEW DAYS TO PROCRASTINATE AGAIN,365 NEW DAYS TO,PROCRASTINATE AGAIN
ST20231224_065815_SURVIVING PURELY OUT OF SPITE,SURVIVING PURELY,OUT OF SPITE
ST20231224_065816_WORLDS OKAYEST MINIATURE PAINTER,WORLD'S OKAYEST,MINIATURE PAINTER
ST20231224_065818_WORLDS OKAYEST CORRECTIONAL OFFICER,WORLD'S OKAYEST,CORRECTIONAL OFFICER
ST20231224_065819_DO WHAT YOU LOVE,DO WHAT,YOU LOVE
ST20231224_065820_DONT MAKE ME USE MY MECHANICAL ENGINEER VOICE,DON'T MAKE ME USE MY,MECHANICAL ENGINEER VOICE
ST20231224_065821_I RUN BECAUSE I LOVE CUPCAKES,I RUN BECAUSE I,LOVE CUPCAKES
ST20231224_065822_IN THE END WE ALL BECOME STORIES,"IN THE END, WE ALL",BECOME STORIES
ST20231224_065823_FREE RIDES SPONSORED BY LEPRECHAUNS LUCK,"FREE RIDES, SPONSORED",BY LEPRECHAUNS' LUCK
ST20231224_065824_DONT MAKE ME USE MY HUSKY VOICE,DON'T MAKE ME USE,MY HUSKY VOICE
ST20231224_065825_MOM I AM A RICH MAN,"MOM, I AM A",RICH MAN
ST20231224_065826_WORLDS OKAYEST ASSEMBLER,WORLD'S,OKAYEST ASSEMBLER
ST20231224_065827_PROTECTING BIODIVERSITY SECURING TOMORROW,PROTECTING,"BIODIVERSITY, SECURING TOMORROW"
ST20231224_065828_FOR THE LOVE OF THE WILD LETS TAKE A STAND,FOR THE LOVE OF THE,"WILD, LET'S TAKE A STAND"
ST20231224_065829_I WISH I COULD BUT I DONT WANT TO,"I WISH I COULD, BUT",I DON'T WANT TO
ST20231224_065830_RESOLUTIONS THINGS I PRETEND TO CONSIDER SERIOUSLY,"RESOLUTIONS, THINGS I",PRETEND TO CONSIDER SERIOUSLY
ST20231224_065831_DONT HONK AT ME I WILL PANIC,DON'T HONK AT ME,I WILL PANIC
ST20231224_065832_WERE ALL MAD HERE,WE'RE ALL,MAD HERE
ST20231224_065833_DONT HONK AT ME I AM FRAGILE,DON'T HONK AT ME,I AM FRAGILE
ST20231224_065834_SERENE STATE UNDER REPAIR,"SERENE STATE,",UNDER REPAIR
ST20231224_065835_STRAIGHT UP NOT HAVING A GOOD TIME RIGHT NOW,STRAIGHT UP NOT HAVING A,GOOD TIME RIGHT NOW.
ST20231224_065836_WORLDS OKAYEST ACCOUNTANT,WORLD'S OKAYEST,ACCOUNTANT
ST20231224_065837_DONT MAKE ME USE MY PERSONAL TRAINER VOICE,DON'T MAKE ME USE MY,PERSONAL TRAINER VOICE
ST20231224_065838_REALITY CHECK PATIENCE LOST,"REALITY CHECK,",PATIENCE LOST
