SKU,Name1,Name2
ST20231226_105919_IS IT BI IN HERE OR IS IT JUST ME,IS IT BI IN HERE,OR IS IT JUST ME
ST20231226_105920_I AM A LAWYER,I AM A,LAWYER
ST20231226_105921_I AM HERE FOR THE BOOS,I AM HERE FOR,THE BOOS
ST20231226_105922_WOAH ITS HALLOWEEN,WOAH IT'S,HALLOWEEN
ST20231226_105923_FEAR NOT FOR I AM HERE,FEAR NOT FOR,I AM HERE
ST20231226_105924_I AM HERE FOR THE BEER NOT YOU,I AM HERE FOR THE,BEER NOT YOU
ST20231226_105925_I AM NOT HERE FOR YOUR BS,I AM NOT HERE,FOR YOUR BS!
ST20231226_105926_GUESS WHAT I JUST ADDED YOU TO MY LIST,GUESS WHAT. I JUST,ADDED YOU TO MY LIST.
ST20231226_105927_I AM JUST HERE FOR THE CANDY,I AM JUST HERE,FOR THE CANDY
ST20231226_105928_I PAUSED MY GAME TO BE HERE,I PAUSED MY,GAME TO BE HERE
ST20231226_105929_I INTEND TO HAUNT YOU WHEN I DIE,I INTEND TO HAUNT,YOU WHEN I DIE
ST20231226_105930_GET READY FOR SOME HAUNTING,GET READY FOR,SOME HAUNTING
ST20231226_105931_I AM HERE BUT YOU ARE THERE LONG DISTANCE LOVE,I AM HERE BUT YOU ARE,THERE LONG DISTANCE LOVE
ST20231226_105932_HAVE A SCARY HALLOWEEN,HAVE A SCARY,HALLOWEEN
ST20231226_105933_ITS NOT EASY BEING MY WIFES ARM CANDY BUT HERE I AM NAILING IT,IT'S NOT EASY BEING MY WIFES ARM,CANDY BUT HERE I AM NAILING IT
ST20231226_105934_I WILL NOT KEEP CALM,I WILL NOT,KEEP CALM
ST20231226_105935_I AM NOT HERE FOR YOUR LOB,I AM NOT HERE,FOR YOUR LOB
ST20231226_105936_IM HERE LIVE IM NOT A CAT,"I'M HERE LIVE,",I'M NOT A CAT
ST20231226_105937_PLEASE DO NOT TALK TO ME I AM HERE FOR THE FOOD,PLEASE DO NOT TALK TO ME,I AM HERE FOR THE FOOD
ST20231226_105938_DO NOT RUSH ME I AM WAITING FOR LAST MINUTE,DO NOT RUSH ME I AM,WAITING FOR LAST MINUTE
ST20231226_105939_I AM NOT A MISTAKE,I AM NOT A,MISTAKE
ST20231226_105940_I AM HERE HERE I AM,I AM HERE,HERE I AM
ST20231226_105941_ITS NOT EASY HERE I AM NAILING IT,IT'S NOT EASY HERE,I AM NAILING IT
ST20231226_105942_BEWARE ITS HALLOWEEN,BEWARE IT'S,HALLOWEEN
ST20231226_105943_I DIE HAUNTING BEGINS,I DIE.,HAUNTING BEGINS.
ST20231226_105944_IM A WELDER IM HERE TO BUILD YOUR CRAP NOT TAKE ANY,I'M A WELDER I'M HERE TO,BUILD YOUR CRAP NOT TAKE ANY
ST20231226_105945_YOU ARE NOT ALONE,YOU ARE,NOT ALONE
ST20231226_105946_DO NOT FEAR I AM HERE,DO NOT FEAR,I AM HERE
ST20231226_105947_HERE COMES THE HALLOWEEN,HERE COMES THE,HALLOWEEN
ST20231226_105948_DO NOT DISTURB IM CURRENTLY VIBING,DO NOT DISTURB I'M,CURRENTLY VIBING
ST20231226_105949_IM HERE TO SAVE YOUR ASS NOT KISS IT,I'M HERE TO SAVE,YOUR ASS NOT KISS IT
ST20231226_105950_BRO I AM STRAIGHT UP NOT HAVING A GOOD TIME,BRO I AM STRAIGHT UP,NOT HAVING A GOOD TIME
ST20231226_105951_I AM NOT HERE TO GIVE UP,I AM NOT HERE,TO GIVE UP
ST20231226_105952_LET ME BE SCARY ITS HALLOWEEN TIME,LET ME BE SCARY,IT'S HALLOWEEN TIME
ST20231226_105953_I AM A BOOK DRAGON NOT A WORM,I AM A BOOK,DRAGON NOT A WORM
ST20231226_105954_I AM BY YOUR SIDE,I AM BY,YOUR SIDE
ST20231226_105955_DREAMING SOMETHING FISHY,DREAMING,SOMETHING FISHY
ST20231226_105956_I AM NOT HERE FOR SECOND PLACE,I AM NOT HERE FOR,SECOND PLACE!
