SKU,Name1,Name2
ST20231226_045530_JUST A GIRL WHO LOVES CAPYBARAS,JUST A GIRL WHO,LOVES CAPYBARAS
ST20231226_045531_MY EXECUTIVE DONT FUNCTION,MY EXECUTIVE,DON'T FUNCTION
ST20231226_045532_THOUGHTS ARE NOT FACTS,THOUGHTS ARE,NOT FACTS
ST20231226_045533_RUNNING ON CAFFEINE AND DRY SHAMPOO,RUNNING ON CAFFEINE,AND DRY SHAMPOO
ST20231226_045534_TOASTY FIRES AND WARM WISHES,TOASTY FIRES AND,WARM WISHES
ST20231226_045535_IM SILENTLY JUDGING YOUR WIRING,I'M SILENTLY,JUDGING YOUR WIRING
ST20231226_045536_NATURES TREASURES ARE NOT OURS TO PLUNDER,NATURE'S TREASURES ARE,NOT OURS TO PLUNDER
ST20231226_045537_CURRENT RELATIONSHIP DINNER PREPARED FOR TWO ATE BOTH,CURRENT RELATIONSHIP DINNER,PREPARED FOR TWO ATE BOTH
ST20231226_045538_YOURE GONNA NEED A BIGGER BOAT,YOU'RE GONNA NEED,A BIGGER BOAT
ST20231226_045539_DONT MAKE ME USE MY AMERICAN VOICE,DON'T MAKE ME USE,MY AMERICAN VOICE
ST20231226_045540_PLEASE BE PATIENT DRIVER WITH AUTISM,PLEASE BE PATIENT,DRIVER WITH AUTISM
ST20231226_045541_RESOLUTIONS IM FLUENT IN PROCRASTINATION THANK YOU,RESOLUTIONS? I'M FLUENT IN,"PROCRASTINATION, THANK YOU"
ST20231226_045542_I MIGHT BE WRONG BUT I DOUBT IT,I MIGHT BE WRONG,BUT I DOUBT IT
ST20231226_045543_NEW YEAR SAME PROBLEMS AT LEAST WERE CONSISTENT,"NEW YEAR, SAME PROBLEMS. AT",LEAST WE'RE CONSISTENT
ST20231226_045544_YOU CAN NEVER HAVE TOO MANY FRIENDS,YOU CAN NEVER HAVE,TOO MANY FRIENDS
ST20231226_045545_YUHHH GET INTO IT,YUHHH GET,INTO IT
ST20231226_045546_DIRECTION IS MORE IMPORTANT THAN SPEED,DIRECTION IS MORE,IMPORTANT THAN SPEED
ST20231226_045547_JUST A BOY WHO LOVES SUNSHINE,JUST A BOY WHO,LOVES SUNSHINE
ST20231226_045548_BRAKE FOR POSSUM POCKETS OF JOY,BRAKE FOR POSSUM,POCKETS OF JOY
ST20231226_045549_JUST A GIRL WHO LOVES RUGBY,JUST A GIRL WHO,LOVES RUGBY
ST20231226_045550_IM NOT LAZY IM IN ENERGY SAVING MODE,"I'M NOT LAZY, I'M IN",ENERGY-SAVING MODE
ST20231226_045551_WILDLIFE DEFENDERS EARTHS LAST JOKESTERS STANDING,"WILDLIFE DEFENDERS, EARTH'S",LAST JOKESTERS STANDING
ST20231226_045552_NATURES MASTERPIECE TAHOES WATERS A TRANQUIL WEAVE,"NATURE'S MASTERPIECE,",TAHOE'S WATERS A TRANQUIL WEAVE
ST20231226_045553_ITS ALL MADE UP,ITS ALL,MADE UP
ST20231226_045554_LONG IS THE ROAD SHORT IS THE LIFE,"LONG IS THE ROAD,",SHORT IS THE LIFE
ST20231226_045555_DONT LET THE HARD DAYS WIN,DON'T LET THE,HARD DAYS WIN.
ST20231226_045556_RESOLUTIONS THE TO DO LIST FOR THE FIRST WEEK,"RESOLUTIONS, THE TO-DO",LIST FOR THE FIRST WEEK
ST20231226_045557_JUST RUN YOUR OWN RACE,JUST RUN YOUR,OWN RACE
ST20231226_045558_BIODIVERSITY IS THE KEY TO A BALANCED PLANET,BIODIVERSITY IS THE KEY,TO A BALANCED PLANET
ST20231226_045559_YOU ALWAYS HAVE A SAY,YOU ALWAYS,HAVE A SAY
ST20231226_045600_WORLDS OKAYEST BARBARIAN,WORLD'S,OKAYEST BARBARIAN
ST20231226_045601_TOASTER BREAKFASTS SPEED DEMON,"TOASTER,",BREAKFAST'S SPEED DEMON
ST20231226_045602_IT COULD BE FUN THOUGH,IT COULD BE,FUN THOUGH!
ST20231226_045603_I JUST WANNA BE APPRECIATED,I JUST WANNA BE,APPRECIATED
ST20231226_045604_YOU IMPRINTED ON MY DAUGHTER,YOU IMPRINTED ON,MY DAUGHTER?
ST20231226_045605_PLEASE BE PATIENT DONT KNOW MY RIGHTS AND LEFTS,PLEASE BE PATIENT DON'T,KNOW MY RIGHTS AND LEFTS
ST20231226_045606_WORLDS OKAYEST CLIMBER,WORLD'S,OKAYEST CLIMBER
ST20231226_045607_WE RISE BY LIFTING OTHERS,WE RISE BY,LIFTING OTHERS
