SKU,Name1,Name2
ST20231226_223956_DECK THE HALLS WITH LOVE AND LAUGHTER,DECK THE HALLS WITH,LOVE AND LAUGHTER
ST20231226_223957_JUST A BOY WHO LOVES COWS,JUST A BOY WHO,LOVES COWS
ST20231226_223958_CHARIOT OF THE GODS FREE LIFTS,CHARIOT OF THE,"GODS, FREE LIFTS"
ST20231226_223959_SAVING THE PLANET ONE SARCASTIC REMARK AT A TIME,"SAVING THE PLANET, ONE",SARCASTIC REMARK AT A TIME
ST20231226_224000_WORLDS OKAYEST COUSIN,WORLD'S,OKAYEST COUSIN
ST20231226_224001_EVERY CREATURE A VITAL PART OF THE ECOSYSTEM,"EVERY CREATURE, A VITAL",PART OF THE ECOSYSTEM
ST20231226_224002_JUST A GIRL WHO LOVES ANIME AND RAMEN,JUST A GIRL WHO,LOVES ANIME AND RAMEN
ST20231226_224003_COURAGE IS WHEN WE FACE OUR FEARS,COURAGE IS WHEN WE,FACE OUR FEARS
ST20231226_224004_IM JUST GETTING STARTED DARLING,I'M JUST GETTING,"STARTED, DARLING"
ST20231226_224005_CAFFEINE AND SARCASM MY ONLY FILTERS,CAFFEINE AND,"SARCASM, MY ONLY FILTERS"
ST20231226_224006_JUST A GIRL WHO LOVES CELERY VEGETABLES,JUST A GIRL WHO LOVES,CELERY VEGETABLES
ST20231226_224007_IM NOT PARANOID IM A REALIST,"I'M NOT PARANOID,",I'M A REALIST
ST20231226_224008_NO TALKING DURING INTENSE MOVIE SCENES,NO TALKING DURING,INTENSE MOVIE SCENES
ST20231226_224009_NOW IS YOUR TIME TO BLOOM,NOW IS YOUR,TIME TO BLOOM
ST20231226_224010_WHAT ARE THEY PUTTING IN BANANAS THESE DAYS,WHAT ARE THEY PUTTING IN,BANANAS THESE DAYS?
ST20231226_224011_DONT MAKE ME USE MY REPORTER VOICE,DON'T MAKE ME USE,MY REPORTER VOICE
ST20231226_224013_WORLDS OKAYEST ROOMMATE,WORLD'S,OKAYEST ROOMMATE
ST20231226_224014_DONT HONK AT ME IM CRYING ALREADY,DON'T HONK AT ME,I'M CRYING ALREADY
ST20231226_224015_WORLDS OKAYEST AMBULANCE DRIVER,WORLD'S OKAYEST,AMBULANCE DRIVER
ST20231226_224016_EVERYTHING HAPPENS FOR A REASON,EVERYTHING,HAPPENS FOR A REASON
ST20231226_224017_DONT MAKE ME USE MY CRABBY MOMMY POWERS,DON'T MAKE ME USE MY,CRABBY MOMMY POWERS
ST20231226_224018_YOU CAN NEVER HAVE TOO MANY ROCKS,YOU CAN NEVER HAVE,TOO MANY ROCKS
ST20231226_224019_JUST A GIRL WHO LIKES CAVAPOOS,JUST A GIRL WHO,LIKES CAVAPOOS
ST20231226_224020_WORLDS OKAYEST BAKER,WORLD'S,OKAYEST BAKER
ST20231226_224021_I LEARNED SOMETHING TODAY,I LEARNED,SOMETHING TODAY.
ST20231226_224022_ITS A BEAUTIFUL DAY IN THE NEIGHBORHOOD,IT'S A BEAUTIFUL DAY,IN THE NEIGHBORHOOD
ST20231226_224023_GOD IS WITHIN HER SHE WILL NOT FALL,"GOD IS WITHIN HER,",SHE WILL NOT FALL
ST20231226_224024_MY CRIME IS THAT OF CURIOSITY,MY CRIME IS THAT,OF CURIOSITY
ST20231226_224025_JUST A GIRL WHO LOVES CHEESE,JUST A GIRL WHO,LOVES CHEESE
ST20231226_224026_I GO THAT I HAVE TO LEAVE,I GO THAT I,HAVE TO LEAVE
ST20231226_224027_MY SOUL DELIGHTETH IN THE SCRIPTURES,MY SOUL DELIGHTETH,IN THE SCRIPTURES
ST20231226_224028_NAPPING IS A SPORT AND IM AN ATHLETE,"NAPPING IS A SPORT,",AND I'M AN ATHLETE
ST20231226_224029_PLEASE BE PATIENT I AM HARD HEARING,PLEASE BE PATIENT I,AM HARD HEARING
ST20231226_224030_PEOPLE ARE PARTICULARLY STUPID TODAYS,PEOPLE ARE,PARTICULARLY STUPID TODAYS
ST20231226_224031_YOUR BEAUTY NEVER REALLY SCARED ME,YOUR BEAUTY NEVER,REALLY SCARED ME
ST20231226_224032_FESTIVE MOMENTS CHERISH THE LOVE,"FESTIVE MOMENTS,",CHERISH THE LOVE
ST20231226_224033_THRIVING IN THE WILDERNESS OF LIFES GRAND EXPEDITION,THRIVING IN THE WILDERNESS,OF LIFE'S GRAND EXPEDITION
ST20231226_224034_NO COMPLAINING ABOUT THE CHOICE OF MUSIC,NO COMPLAINING ABOUT,THE CHOICE OF MUSIC
ST20231226_224035_CRASH LANDING ON YOU INSPIRED,CRASH LANDING ON,YOU INSPIRED
ST20231226_224036_MAY THE FOREST BE WITH YOU,MAY THE FOREST,BE WITH YOU
ST20231226_224037_THE LIBRARY IS A WILDERNESS OF BOOKS,THE LIBRARY IS A,WILDERNESS OF BOOKS
ST20231226_224038_WORLDS OKAYEST MINER,WORLD'S,OKAYEST MINER
ST20231226_224039_I LOVE YOU HAVE A GOOD CHRISTMAS,I LOVE YOU HAVE A,GOOD CHRISTMAS
ST20231226_224040_THIS IS SO BOOORING,THIS IS SO,BOOORING!
ST20231226_224041_PLEASE BE PATIENT WITH THE BARTENDER,PLEASE BE PATIENT,WITH THE BARTENDER
ST20231226_224042_VAQUITA PLEA ACT DECISIVELY PRESERVE THEIR OCEANIC HAVEN,"VAQUITA PLEA, ACT DECISIVELY,",PRESERVE THEIR OCEANIC HAVEN
ST20231226_224043_NO SKIPPING TURNS FOR NAVIGATION,NO SKIPPING TURNS,FOR NAVIGATION
ST20231226_224044_I LIKE FLY FISHING AND MAYBE 3 PEOPLE,I LIKE FLY FISHING,AND MAYBE 3 PEOPLE
ST20231226_224045_WHY WOULD YOU LIE TO ME,WHY WOULD YOU,LIE TO ME
ST20231226_224046_THAT'S MY FACE SIR,THAT'S MY,"FACE, SIR!"
ST20231226_224047_GET IN GOOD TROUBLE,GET IN GOOD,TROUBLE
ST20231226_224048_NO TAKING OVER THE DRIVERS PLAYLIST,NO TAKING OVER THE,DRIVER'S PLAYLIST
ST20231226_224049_TIDINGS OF COMFORT AND JOY,TIDINGS OF,COMFORT AND JOY!
ST20231226_224050_DONT MAKE ME USE MY MARKETING MANAGER VOICE,DON'T MAKE ME USE MY,MARKETING MANAGER VOICE
ST20231226_224051_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
ST20231226_224052_JUST A GIRL WHO LOVES OWLS,JUST A GIRL WHO,LOVES OWLS
ST20231226_224053_I AM GRATEFUL FOR THE LITTLE THINGS,I AM GRATEFUL FOR,THE LITTLE THINGS
ST20231226_224054_WE SEE EACH OTHER,WE SEE EACH,OTHER!
ST20231226_224055_WORLDS OKAYEST AUNT,WORLD'S,OKAYEST AUNT
ST20231226_224056_ITS FULL OF SECRETS,IT'S FULL OF,SECRETS
ST20231226_224057_WOMEN DONT OWE YOU SHIT,WOMEN DON'T,OWE YOU SHIT
ST20231226_224058_PLEASE DONT HONK IM SENSITIVE,"PLEASE DON'T HONK,",I'M SENSITIVE
ST20231226_224059_NO ONE IS ALONE,NO ONE IS,ALONE
ST20231226_224100_PLEASE BE PATIENT IM BUFFERING,PLEASE BE PATIENT,I'M BUFFERING
ST20231226_224101_DONT MAKE ME USE MY GROUNDSKEEPER VOICE,DON'T MAKE ME USE MY,GROUNDSKEEPER VOICE
ST20231226_224102_RESOLUTIONS ARE LIKE CATS THEY IGNORE YOU ALL YEAR,"RESOLUTIONS ARE LIKE CATS,",THEY IGNORE YOU ALL YEAR
ST20231226_224103_GOTHIC PERKS BAT SIGNALS ARE OUR TEXT MESSAGES,"GOTHIC PERKS, BAT SIGNALS",ARE OUR TEXT MESSAGES
ST20231226_224104_ARE YOU NEW HERE,ARE YOU,NEW HERE
ST20231226_224105_NEW YEAR NEW ME JUST KIDDING SAME CHAOS,"NEW YEAR, NEW ME... JUST","KIDDING, SAME CHAOS"
ST20231226_224106_JUST A GIRL WHO LOVES TRAVELING,JUST A GIRL WHO,LOVES TRAVELING
ST20231226_224107_GOD IS GREATER THAN YOUR HIGHS AND LOWS,GOD IS GREATER THAN,YOUR HIGHS AND LOWS
ST20231226_224108_CONSERVATION ECHOES IN TAHOES CRYSTAL WAVES,CONSERVATION ECHOES IN,TAHOE'S CRYSTAL WAVES
ST20231226_224109_SLOW DOWN POUCHES ON THE MOVE,"SLOW DOWN,",POUCHES ON THE MOVE
ST20231226_224110_A VERY RISKY GAMBLE,A VERY,RISKY GAMBLE
ST20231226_224111_I WILL INCITE CHAOS,I WILL,INCITE CHAOS
ST20231226_224112_DONT MAKE ME USE MY FOOTBALL DAD VOICE,DON'T MAKE ME USE MY,FOOTBALL DAD VOICE
ST20231226_224113_DONT MAKE ME USE MY THEATRE VOICE,DON'T MAKE ME USE,MY THEATRE VOICE
ST20231226_224114_SMALL YOU ARE LIFT YOU MUST,SMALL YOU ARE,LIFT YOU MUST
ST20231226_224115_LIFE IS THE BUBBLES,LIFE IS THE,BUBBLES
ST20231226_224116_SAY THAT TO MY FACE,SAY THAT TO,MY FACE
ST20231226_224117_OH HONESTLY DONT YOU TWO READ,"OH, HONESTLY,",DON'T YOU TWO READ?
ST20231226_224118_CRUISE CONTROL FOR AMERICAS POUCH POSSE,CRUISE CONTROL FOR,AMERICA'S POUCH POSSE
ST20231226_224119_I RUN BECAUSE I REALLY LIKE PIZZA,I RUN BECAUSE I,REALLY LIKE PIZZA
ST20231226_224120_DONT MAKE ME USE MY NURSE MANAGER VOICE,DON'T MAKE ME USE MY,NURSE MANAGER VOICE
ST20231226_224121_MAY YOUR WI FI BE STRONG AND YOUR COFFEE STRONGER,MAY YOUR WI-FI BE STRONG,AND YOUR COFFEE STRONGER
ST20231226_224122_BORN WITH WINGS SOARING IN THE SKIES OF EXPLORATION,"BORN WITH WINGS, SOARING IN",THE SKIES OF EXPLORATION
ST20231226_224123_I WOULD RATHER LOSE THIS ENTIRE WAR,I WOULD RATHER LOSE,THIS ENTIRE WAR
ST20231226_224124_PLEASE BE PATIENT GAMER DRIVER,PLEASE BE PATIENT,GAMER DRIVER
ST20231226_224125_JUST A GIRL WHO LOVES CHESS,JUST A GIRL WHO,LOVES CHESS
ST20231226_224126_SHE IS THE MAN,SHE IS,THE MAN
ST20231226_224127_NO ARGUING ABOUT THE VOLUME OF THE TV,NO ARGUING ABOUT THE,VOLUME OF THE TV
ST20231226_224128_I BECAME A DISHWASHER FOR THE MONEY AND FAME,I BECAME A DISHWASHER,FOR THE MONEY AND FAME
ST20231226_224129_MAY YOUR DAY BE AS SATISFYING AS UNSALTED POPCORN,MAY YOUR DAY BE AS,SATISFYING AS UNSALTED POPCORN
ST20231226_224130_VENTURE BOLDLY INTO THE UNTAMED CANVAS OF LIFE,VENTURE BOLDLY INTO THE,UNTAMED CANVAS OF LIFE
ST20231226_224131_GIRL TAKE YOUR ATTENDANCE,GIRL TAKE YOUR,ATTENDANCE
ST20231226_224132_HIT THE BRAKES POUCHES IN MOTION,"HIT THE BRAKES,",POUCHES IN MOTION
ST20231226_224133_PROTECT THE GEM CHERISH THE TAHOE GLEAM,"PROTECT THE GEM,",CHERISH THE TAHOE GLEAM
ST20231226_224134_JOKES FOR A CAUSE SAVING ANIMALS ONE LAUGH AT A TIME,"JOKES FOR A CAUSE, SAVING","ANIMALS, ONE LAUGH AT A TIME"
ST20231226_224135_WILDLIFE DEFENDERS EARTHS UNINTENTIONAL JOKESTERS CONFIRMED,"WILDLIFE DEFENDERS, EARTH'S","UNINTENTIONAL JOKESTERS, CONFIRMED"
ST20231226_224137_REMEMBER WHY YOU STARTED,REMEMBER WHY,YOU STARTED
ST20231226_224138_PRESERVING NATURE ONE SPECIES AT A TIME,"PRESERVING NATURE, ONE",SPECIES AT A TIME
ST20231226_224139_CONSERVE TODAY THRIVE TOMORROW,"CONSERVE TODAY,",THRIVE TOMORROW
ST20231226_224140_WELCOME CHRISTMAS CHRISTMAS DAY,"WELCOME CHRISTMAS,",CHRISTMAS DAY
ST20231226_224141_WORLDS OKAYEST SINGER,WORLD'S,OKAYEST SINGER
ST20231226_224142_LOVE HAS NOT LET YOU GO,LOVE HAS NOT,LET YOU GO
ST20231226_224143_WERE ALL BORN NAKED,WE'RE ALL,BORN NAKED!
ST20231226_224144_FREE RIDES BIGFOOTS COMMUTE CONVENIENCE,"FREE RIDES, BIGFOOT'S",COMMUTE CONVENIENCE
ST20231226_224145_YOU JUST GOT PASSED BY A TRANS WOMAN,YOU JUST GOT PASSED,BY A TRANS WOMAN
ST20231226_224146_DO NO HARM TAKE NO SHIT,"DO NO HARM,",TAKE NO SHIT
ST20231226_224147_RESOLUTIONS ARE FOR THE AMBITIOUS PASS,RESOLUTIONS ARE FOR,THE AMBITIOUS. PASS
