SKU,Name1,Name2
ST20231227_195725_THE MOUNTAINS ARE CALLING,THE MOUNTAINS,ARE CALLING
ST20231227_195726_UNDERESTIMATE ME THATLL BE FUN,"UNDERESTIMATE ME,",THAT'LL BE FUN!
ST20231227_195727_ALL PEOPLE ARE BORN AS ORIGINALS,ALL PEOPLE ARE,BORN AS ORIGINALS
ST20231227_195728_JUST A GIRL WHO LOVES SNAILS,JUST A GIRL WHO,LOVES SNAILS
ST20231227_195729_I BECAME A WAREHOUSE WORKER FOR THE MONEY AND FAME,I BECAME A WAREHOUSE WORKER,FOR THE MONEY AND FAME
ST20231227_195731_PLEASE BE PATIENT WE ARE UNDERSTAFFED,PLEASE BE PATIENT WE,ARE UNDERSTAFFED
ST20231227_195732_I RUN BECAUSE I REALLY LIKE DONUTS,I RUN BECAUSE I,REALLY LIKE DONUTS
ST20231227_195733_WORLDS OKAYEST DAUGHTER,WORLD'S,OKAYEST DAUGHTER
ST20231227_195734_PEACE LEFT THE BUILDING,PEACE LEFT,THE BUILDING
ST20231227_195735_ASSUMING DIRECT CONTROL,ASSUMING,DIRECT CONTROL
ST20231227_195736_TOGETHER WE ARE UNLIMITED,TOGETHER WE,ARE UNLIMITED
ST20231227_195737_WISHING YOU MAGICAL HOLIDAY MEMORIES,WISHING YOU MAGICAL,HOLIDAY MEMORIES
ST20231227_195738_JUST A GIRL WHO READS SMUTTY BOOKS,JUST A GIRL WHO,READS SMUTTY BOOKS
ST20231227_195739_SHE BELIEVED SHE COULD SO SHE DID,SHE BELIEVED SHE,COULD SO SHE DID
ST20231227_195740_CTRL+Z CANT FIX MY LIFE,CTRL+Z CAN'T,FIX MY LIFE
ST20231227_195741_WILDLIFE BELONGS IN THE WILD,WILDLIFE BELONGS,IN THE WILD
ST20231227_195742_MAY YOUR RESOLUTIONS LAST LONGER THAN YOUR PHONE BATTERY,MAY YOUR RESOLUTIONS LAST,LONGER THAN YOUR PHONE BATTERY
ST20231227_195743_DONT MAKE ME USE MY SOCCER MOM VOICE,DON'T MAKE ME USE MY,SOCCER MOM VOICE
ST20231227_195744_TAHOES POETRY WRITTEN ON EVERY RIPPLES DANCE,"TAHOE'S POETRY, WRITTEN",ON EVERY RIPPLE'S DANCE
ST20231227_195745_COOL COOL COOL NO DOUBT NO DOUBT,"COOL COOL COOL, NO",DOUBT NO DOUBT
ST20231227_195746_I RUN BECAUSE I REALLY LIKE COFFEE,I RUN BECAUSE I,REALLY LIKE COFFEE
ST20231227_195747_SHE IS THE DARKNESS,SHE IS THE,DARKNESS
ST20231227_195748_NO ARGUING ABOUT THE ROUTE,NO ARGUING,ABOUT THE ROUTE
ST20231227_195749_MAY YOUR MEMES BE DANK AND YOUR RESOLUTIONS NONEXISTENT,MAY YOUR MEMES BE DANK AND,YOUR RESOLUTIONS NONEXISTENT
ST20231227_195750_JUST A BOY WHO LOVES DRAGONS,JUST A BOY WHO,LOVES DRAGONS
ST20231227_195751_PEACE WAS NEVER AN OPTION,PEACE WAS,NEVER AN OPTION
ST20231227_195752_GET COMFORTABLE BEING UNCOMFORTABLE,GET COMFORTABLE,BEING UNCOMFORTABLE
ST20231227_195753_IF YOU SEE ME HIT THE CURD MIND YOUR BUSINESS,IF YOU SEE ME HIT THE,CURD MIND YOUR BUSINESS
ST20231227_195754_IM NOT ARGUING IM JUST EXPLAINING WHY IM RIGHT,"I'M NOT ARGUING, I'M JUST",EXPLAINING WHY I'M RIGHT
ST20231227_195755_YOU CAN NEVER HAVE TOO MANY GIGS,YOU CAN NEVER HAVE,TOO MANY GIGS
ST20231227_195756_MAN I LOVE FROGS,MAN I LOVE,FROGS
ST20231227_195757_YOU CAN NEVER HAVE TOO MANY INSTRUMENTS,YOU CAN NEVER HAVE,TOO MANY INSTRUMENTS
ST20231227_195758_YOU CANT SCARE ME I RESCUE CATTLE DOGS,YOU CAN'T SCARE ME I,RESCUE CATTLE DOGS
ST20231227_195759_JUST A GIRL WHO LOVES KOALAS,JUST A GIRL WHO,LOVES KOALAS
ST20231227_195800_DONT MAKE ME USE MY HOCKEY MOM VOICE,DON'T MAKE ME USE MY,HOCKEY MOM VOICE
ST20231227_195801_EXPLORING THE UNKNOWN WHERE WILD DREAMS COME ALIVE,"EXPLORING THE UNKNOWN,",WHERE WILD DREAMS COME ALIVE
ST20231227_195802_JUST A GIRL WHO LOVES UNICORNS AND MONSTER TRUCKS,JUST A GIRL WHO LOVES,UNICORNS AND MONSTER TRUCKS
ST20231227_195803_MAYBE MAYBE NOT MAYBE F*** YOURSELF,"MAYBE, MAYBE NOT,",MAYBE F*** YOURSELF.
ST20231227_195804_LIFE IS AN EPIC QUEST SEEK THE EXTRAORDINARY IN EVERY MOMENT,LIFE IS AN EPIC QUEST-SEEK THE,EXTRAORDINARY IN EVERY MOMENT
ST20231227_195805_WILDFLOWERS DONT CARE WHERE THEY GROW,WILDFLOWERS DON'T,CARE WHERE THEY GROW
ST20231227_195806_CONSERVING NATURE BECAUSE TREES NEED AN AUDIENCE RIGHT,"CONSERVING NATURE, BECAUSE","TREES NEED AN AUDIENCE, RIGHT?"
ST20231227_195807_JUST A GIRL WHO LOVES OTTERS,JUST A GIRL WHO,LOVES OTTERS
ST20231227_195808_YOU TOOK MY JOB,YOU TOOK,MY JOB!
ST20231227_195809_FESTIVE JOY TO SLEIGH THE BLUES AWAY,FESTIVE JOY TO,SLEIGH THE BLUES AWAY!
ST20231227_195810_DONT MAKE ME USE MY DAUGHTER VOICE,DON'T MAKE ME USE,MY DAUGHTER VOICE
ST20231227_195811_LIFE IS FULL OF IMPORTANT CHOICES,LIFE IS FULL OF,IMPORTANT CHOICES
ST20231227_195812_I KNOW YOU'RE OBSESSED WITH ME,I KNOW YOU'RE,OBSESSED WITH ME
ST20231227_195813_CRIES IN A COOL WAY,CRIES IN A,COOL WAY
ST20231227_195814_FROSTY DAYS COZY NIGHTS AHEAD,"FROSTY DAYS, COZY",NIGHTS AHEAD
ST20231227_195815_ALL YOU NEED IS TO BELIEVE IN YOURSELF,ALL YOU NEED IS TO,BELIEVE IN YOURSELF
ST20231227_195816_JUST A GIRL WHO LOVES ANIME DRAWING,JUST A GIRL WHO,LOVES ANIME DRAWING
ST20231227_195817_WORLDS OKAYEST JOURNALIST,WORLD'S OKAYEST,JOURNALIST
ST20231227_195818_WORLDS OKAYEST CLERIC,WORLD'S,OKAYEST CLERIC
ST20231227_195819_REAL MEN DONT NEED INSTRUCTIONS,REAL MEN DON'T,NEED INSTRUCTIONS!
ST20231227_195820_WORLDS OKAYEST MONK,WORLD'S,OKAYEST MONK
ST20231227_195821_2024 THE YEAR MY SNACKS MULTIPLY,"2024, THE YEAR MY",SNACKS MULTIPLY
ST20231227_195822_BE A VOICE FOR THOSE WHO CANNOT SPEAK,BE A VOICE FOR THOSE,WHO CANNOT SPEAK
ST20231227_195823_YOURE EXACTLY WHERE YOU NEED TO BE,YOU'RE EXACTLY,WHERE YOU NEED TO BE
ST20231227_195824_IM NOT A CONTROL FREAK BUT YOU SHOULD DO IT MY WAY,"I'M NOT A CONTROL FREAK, BUT",YOU SHOULD DO IT MY WAY
ST20231227_195825_I DONT CARE WHAT YOU THINK OF ME,I DON'T CARE WHAT,YOU THINK OF ME
ST20231227_195826_JUST A GIRL WHO LOVES SHEEP,JUST A GIRL WHO,LOVES SHEEP
ST20231227_195827_I GOT 99 PROBLEMS,I GOT 99,PROBLEMS
ST20231227_195828_ALL OF YOUR WILDEST DREAMS,ALL OF YOUR,WILDEST DREAMS
ST20231227_195829_AND THE USS HEART GREW THREE SIZES THAT DAY,AND THE US'S HEART GREW,THREE SIZES THAT DAY
ST20231227_195830_MY SENSE OF HUMOR IS AS DRY AS MY SHAMPOO,MY SENSE OF HUMOR IS,AS DRY AS MY SHAMPOO
ST20231227_195831_IM HUNGRY,I'M,HUNGRY
ST20231227_195832_CONSERVATIONISTS SERIOUS ABOUT SAVING HILARIOUS ABOUT IT,"CONSERVATIONISTS, SERIOUS ABOUT","SAVING, HILARIOUS ABOUT IT"
ST20231227_195833_PUT YOUR TRUST IN THE LORD,PUT YOUR TRUST,IN THE LORD
ST20231227_195834_THE LORD LOVES EFFORT,THE LORD,LOVES EFFORT
ST20231227_195835_JUST A GIRL WHO LOVES SNAKES,JUST A GIRL WHO,LOVES SNAKES
ST20231227_195836_SLEIGH QUEEN SLAY THE SEASON,"SLEIGH QUEEN,",SLAY THE SEASON!
ST20231227_195837_TELL YOUR CAT I SAID PSPSPSPS,TELL YOUR CAT I,SAID PSPSPSPS
ST20231227_195838_EXERCISE MAKES ME HAPPY,EXERCISE,MAKES ME HAPPY
