SKU,Name1,Name2
ST20231229_100854_THE TRASH WITCH,THE TRASH,WITCH
ST20231229_100855_FAKING MY OWN DEATH,FAKING MY,OWN DEATH
ST20231229_100856_PLEASE GO AWAY,PLEASE, GO AWAY
ST20231229_100857_POSITIVE BELIEVES YOU CAN DO THE THING,POSITIVE BELIEVES YOU,CAN DO THE THING
ST20231229_100858_YEAH I AM GAY,YEAH I,AM GAY
ST20231229_100859_OMG DO I DIE,OMG DO, I DIE
ST20231229_100900_PLEASE BE GENTLE I AM BABY,PLEASE BE,GENTLE I AM BABY
ST20231229_100901_POSSUMS NEED LOVE TOO,POSSUMS NEED,LOVE TOO
ST20231229_100902_GET IN LOSER WERE GOING DUMPSTER DIVING,"GET IN LOSER, WE'RE",GOING DUMPSTER DIVING
ST20231229_100903_ADOPT A CAT,ADOPT,A CAT
ST20231229_100904_I CANNOT LIVE LAUGH LOVE IN THESE CONDITIONS,I CANNOT LIVE LAUGH LOVE,IN THESE CONDITIONS
ST20231229_100905_LISTEN TO FOLK,LISTEN, TO FOLK
ST20231229_100906_SUPPORT YOUR LOCAL STREET CATS,SUPPORT YOUR,LOCAL STREET CATS
ST20231229_100907_I HEAR YOU LIKE BAD BOYS IM BAD AT EVERYTHING,I HEAR YOU LIKE BAD BOYS,I'M BAD AT EVERYTHING
ST20231229_100908_BELIEVE IN YOURSELF,BELIEVE IN,YOURSELF
ST20231229_100909_I MAY BE CRINGE BUT I AM FREE,"I MAY BE CRINGE,",BUT I AM FREE
ST20231229_100910_CAN I HIT YOUR VAPE,CAN I HIT,YOUR VAPE?
ST20231229_100911_DONT TOUCH MY TRASH,DONT TOUCH,MY TRASH
ST20231229_100912_LIVE LAUGH LOVE,LIVE,LAUGH LOVE
ST20231229_100913_EAT TRASH BE FREE,EAT TRASH,BE FREE
ST20231229_100914_EAT THE RICH,EAT THE,RICH
ST20231229_100915_LIVE UGLY FAKE YOUR DEATH EAT TRASH GET HIT BY A CAR,LIVE UGLY FAKE YOUR DEATH,EAT TRASH GET HIT BY A CAR
ST20231229_100916_LIVE UGLY FAKE YOUR DEATH,LIVE UGLY FAKE,YOUR DEATH
ST20231229_100917_EAT TRASH GET HIT BY A CAR,EAT TRASH GET,HIT BY A CAR
ST20231229_100918_I COME FROM TOP OF THE MOUNTAIN BABY,I COME FROM TOP OF,THE MOUNTAIN BABY!
ST20231229_100919_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20231229_100920_I'M NOT LIKE OTHER GIRLS I'M WORSE,I'M NOT LIKE OTHER,GIRLS I'M WORSE
ST20231229_100921_LIVE FAST EAT TRASH,LIVE FAST,EAT TRASH
ST20231229_100922_IM NOT LIKE OTHER GIRLS IM A BOY,I'M NOT LIKE OTHER,"GIRLS, I'M A BOY"
ST20231229_100923_YOUVE YEED YOUR LAST HAW,YOU'VE YEE'D,YOUR LAST HAW
ST20231229_100924_I IS VERY STRESSED,I IS VERY,STRESSED
ST20231229_100925_I DO NOT THINK THEREFORE I AM NOT SPACE,I DO NOT THINK,THEREFORE I AM NOT SPACE
ST20231229_100926_GIVE ME CHAOS OR GIVE ME DEATH,GIVE ME CHAOS OR,GIVE ME DEATH
ST20231229_100927_LETS EAT TRASH GET HIT BY A CAR,LET'S EAT TRASH,GET HIT BY A CAR
ST20231229_100928_I WILL BITE YOUR ANKLES,I WILL BITE,YOUR ANKLES
ST20231229_100929_FAKING MY SILLY LITTLE DEATH TO AVOID MY SILLY LITTLE TASKS,FAKING MY SILLY LITTLE DEATH TO,AVOID MY SILLY LITTLE TASKS
ST20231229_100930_GET IN LOSER WERE GOING INSANE,"GET IN LOSER,",WE'RE GOING INSANE
ST20231229_100931_FEED ME TRASH,FEED ME,TRASH
ST20231229_100932_ITS TRASH CAN NOT TRASH CANNOT,"IT'S TRASH CAN,",NOT TRASH CANNOT
ST20231229_100933_ALL I WANT ARE SNUGGLES BUT ALL I GET ARE STRUGGLES,ALL I WANT ARE SNUGGLES BUT,ALL I GET ARE STRUGGLES
ST20231229_100934_THIS IS GOING INSANE,THIS IS,GOING INSANE
ST20231229_100935_POSSUM IS PRO TAX FRAUD,POSSUM IS PRO,TAX FRAUD
ST20231229_100936_HE GOT PLACES TO GO,HE GOT,PLACES TO GO
ST20231229_100937_I AM GOOD KITTY,I AM GOOD,KITTY
ST20231229_100938_I HAVE MADE MANY MISTAKES,I HAVE MADE,MANY MISTAKES
ST20231229_100939_I HAVE GIRL BOSSED TOO CLOSE TO THE SUN,I HAVE GIRL-BOSSED,TOO CLOSE TO THE SUN
ST20231229_100940_LIVE FAST EAT TRASH SCREAM AT OWN ASS,"LIVE FAST, EAT TRASH,",SCREAM AT OWN ASS.
ST20231229_100941_I AM HAVING A CRISIS,I AM HAVING,A CRISIS
ST20231229_100942_THE MORE THE MERRIER,THE MORE THE,MERRIER
ST20231229_100944_HE IS BEAUTIFUL,HE IS,BEAUTIFUL
ST20231229_100945_COMMIT TAX FRAUD,COMMIT TAX,FRAUD
ST20231229_100946_GET IN LOSER WERE GOING INSANE,"GET IN LOSER,",WE'RE GOING INSANE
ST20231229_100947_TRASH CAN CRITTERS,TRASH CAN,CRITTERS
ST20231229_100948_I CAN SHOW YOU SOME TRASH,I CAN SHOW YOU,SOME TRASH
ST20231229_100949_FAKE IT TILL YOU MAKE IT,FAKE IT TILL,YOU MAKE IT
ST20231229_100950_KNOW YOUR WILDLIFE,KNOW YOUR,WILDLIFE
