SKU,Name1,Name2
ST20231230_230719_VALENTINE DETECTIVE AGENCY,VALENTINE,DETECTIVE AGENCY
ST20231230_230720_I LOVE MY AWESOME GIRLFRIEND,I LOVE MY,AWESOME GIRLFRIEND
ST20231230_230721_STAY THERE ILL GET YOU A TOWEL,STAY THERE I'LL,GET YOU A TOWEL
ST20231230_230722_I LOVE YOU MORE,I LOVE,YOU MORE
ST20231230_230723_I'M STILL NOT SICK OF YOU,I'M STILL NOT,SICK OF YOU
ST20231230_230724_I LOVE MY GIRLFRIEND,I LOVE MY,GIRLFRIEND
ST20231230_230725_YOU TAKE MY BREATH AWAY,YOU TAKE MY,BREATH AWAY
ST20231230_230726_I CHOO CHOO CHOOSE YOU,I CHOO CHOO,CHOOSE YOU
ST20231230_230727_I LOVE MY HOT WIFE,I LOVE MY,HOT WIFE
ST20231230_230728_I ONLY HAVE EYES FOR YOU,I ONLY HAVE,EYES FOR YOU
ST20231230_230729_BETTER TOGETHER,BETTER,TOGETHER
ST20231230_230730_CAN YOU BE MY DUO,CAN YOU BE,MY DUO?
ST20231230_230731_I LIKE YOU A LOTL,I LIKE YOU,A LOTL
ST20231230_230732_I LOVE YOU,I LOVE,YOU
ST20231230_230733_LOVE ISNT GOING ANYWHERE,LOVE ISN'T,GOING ANYWHERE
ST20231230_230734_I LOVE MY GIRLFRIEND,I LOVE MY,GIRLFRIEND
