SKU,Name1,Name2
ST20240101_180020_VALENTINE DETECTIVE AGENCY,VALENTINE,DETECTIVE AGENCY
ST20240101_180021_I LOVE MY AWESOME GIRLFRIEND,I LOVE MY,AWESOME GIRLFRIEND
ST20240101_180022_STAY THERE ILL GET YOU A TOWEL,STAY THERE I'LL,GET YOU A TOWEL
ST20240101_180023_I LOVE YOU MORE,I LOVE,YOU MORE
ST20240101_180024_I'M STILL NOT SICK OF YOU,I'M STILL NOT,SICK OF YOU
ST20240101_180025_I LOVE MY GIRLFRIEND,I LOVE MY,GIRLFRIEND
ST20240101_180026_YOU TAKE MY BREATH AWAY,YOU TAKE MY,BREATH AWAY
ST20240101_180027_I CHOO CHOO CHOOSE YOU,I CHOO CHOO,CHOOSE YOU
ST20240101_180028_I LOVE MY HOT WIFE,I LOVE MY,HOT WIFE
ST20240101_180029_I ONLY HAVE EYES FOR YOU,I ONLY HAVE,EYES FOR YOU
ST20240101_180030_BETTER TOGETHER,BETTER,TOGETHER
ST20240101_180031_CAN YOU BE MY DUO,CAN YOU BE,MY DUO?
ST20240101_180032_I LIKE YOU A LOTL,I LIKE YOU,A LOTL
ST20240101_180033_I LOVE YOU,I LOVE,YOU
ST20240101_180034_LOVE ISNT GOING ANYWHERE,LOVE ISN'T,GOING ANYWHERE
ST20240101_180035_I LOVE MY GIRLFRIEND,I LOVE MY,GIRLFRIEND
