SKU,Name1,Name2
ST20240101_184402_THE TRASH WITCH,THE TRASH,WITCH
ST20240101_184403_FAKING MY OWN DEATH,FAKING MY,OWN DEATH
ST20240101_184404_PLEASE GO AWAY,PLEASE,GO AWAY
ST20240101_184405_POSITIVE BELIEVES YOU CAN DO THE THING,POSITIVE BELIEVES YOU,CAN DO THE THING
ST20240101_184406_YEAH I AM GAY,YEAH I,AM GAY
ST20240101_184407_OMG DO I DIE,OMG DO,I DIE
ST20240101_184408_PLEASE BE GENTLE I AM BABY,PLEASE BE,GENTLE I AM BABY
ST20240101_184409_POSSUMS NEED LOVE TOO,POSSUMS NEED,LOVE TOO
ST20240101_184410_GET IN LOSER WERE GOING DUMPSTER DIVING,"GET IN LOSER, WE'RE",GOING DUMPSTER DIVING
ST20240101_184411_ADOPT A CAT,ADOPT,A CAT
ST20240101_184412_I CANNOT LIVE LAUGH LOVE IN THESE CONDITIONS,I CANNOT LIVE LAUGH LOVE,IN THESE CONDITIONS
ST20240101_184413_LISTEN TO FOLK,LISTEN, TO FOLK
ST20240101_184414_SUPPORT YOUR LOCAL STREET CATS,SUPPORT YOUR,LOCAL STREET CATS
ST20240101_184415_I HEAR YOU LIKE BAD BOYS IM BAD AT EVERYTHING,I HEAR YOU LIKE BAD BOYS,I'M BAD AT EVERYTHING
ST20240101_184416_BELIEVE IN YOURSELF,BELIEVE IN,YOURSELF
ST20240101_184417_I MAY BE CRINGE BUT I AM FREE,"I MAY BE CRINGE,",BUT I AM FREE
ST20240101_184418_CAN I HIT YOUR VAPE,CAN I HIT,YOUR VAPE?
ST20240101_184419_DONT TOUCH MY TRASH,DONT TOUCH,MY TRASH
ST20240101_184420_LIVE LAUGH LOVE,LIVE,LAUGH LOVE
ST20240101_184421_EAT TRASH BE FREE,EAT TRASH,BE FREE
ST20240101_184422_EAT THE RICH,EAT THE,RICH
ST20240101_184423_LIVE UGLY FAKE YOUR DEATH EAT TRASH GET HIT BY A CAR,LIVE UGLY FAKE YOUR DEATH,EAT TRASH GET HIT BY A CAR
ST20240101_184424_LIVE UGLY FAKE YOUR DEATH,LIVE UGLY FAKE,YOUR DEATH
ST20240101_184426_EAT TRASH GET HIT BY A CAR,EAT TRASH GET,HIT BY A CAR
ST20240101_184427_I COME FROM TOP OF THE MOUNTAIN BABY,I COME FROM TOP OF,THE MOUNTAIN BABY!
ST20240101_184428_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240101_184429_I'M NOT LIKE OTHER GIRLS I'M WORSE,I'M NOT LIKE OTHER,GIRLS I'M WORSE
ST20240101_184430_LIVE FAST EAT TRASH,LIVE FAST,EAT TRASH
ST20240101_184431_IM NOT LIKE OTHER GIRLS IM A BOY,I'M NOT LIKE OTHER,"GIRLS, I'M A BOY"
ST20240101_184432_YOUVE YEED YOUR LAST HAW,YOU'VE YEE'D,YOUR LAST HAW
ST20240101_184433_I IS VERY STRESSED,I IS VERY,STRESSED
ST20240101_184434_I DO NOT THINK THEREFORE I AM NOT SPACE,I DO NOT THINK,THEREFORE I AM NOT SPACE
ST20240101_184435_GIVE ME CHAOS OR GIVE ME DEATH,GIVE ME CHAOS OR,GIVE ME DEATH
ST20240101_184436_LETS EAT TRASH GET HIT BY A CAR,LET'S EAT TRASH,GET HIT BY A CAR
ST20240101_184437_I WILL BITE YOUR ANKLES,I WILL BITE,YOUR ANKLES
ST20240101_184438_FAKING MY SILLY LITTLE DEATH TO AVOID MY SILLY LITTLE TASKS,FAKING MY SILLY LITTLE DEATH TO,AVOID MY SILLY LITTLE TASKS
ST20240101_184439_GET IN LOSER WERE GOING INSANE,"GET IN LOSER,",WE'RE GOING INSANE
ST20240101_184440_FEED ME TRASH,FEED ME,TRASH
ST20240101_184441_ITS TRASH CAN NOT TRASH CANNOT,"IT'S TRASH CAN,",NOT TRASH CANNOT
ST20240101_184442_ALL I WANT ARE SNUGGLES BUT ALL I GET ARE STRUGGLES,ALL I WANT ARE SNUGGLES BUT,ALL I GET ARE STRUGGLES
ST20240101_184443_THIS IS GOING INSANE,THIS IS,GOING INSANE
ST20240101_184444_POSSUM IS PRO TAX FRAUD,POSSUM IS PRO,TAX FRAUD
ST20240101_184445_HE GOT PLACES TO GO,HE GOT,PLACES TO GO
ST20240101_184446_I AM GOOD KITTY,I AM GOOD,KITTY
ST20240101_184447_I HAVE MADE MANY MISTAKES,I HAVE MADE,MANY MISTAKES
ST20240101_184448_I HAVE GIRL BOSSED TOO CLOSE TO THE SUN,I HAVE GIRL-BOSSED,TOO CLOSE TO THE SUN
ST20240101_184449_LIVE FAST EAT TRASH SCREAM AT OWN ASS,"LIVE FAST, EAT TRASH,",SCREAM AT OWN ASS.
ST20240101_184450_I AM HAVING A CRISIS,I AM HAVING,A CRISIS
ST20240101_184451_THE MORE THE MERRIER,THE MORE THE,MERRIER
ST20240101_184452_HE IS BEAUTIFUL,HE IS,BEAUTIFUL
ST20240101_184453_COMMIT TAX FRAUD,COMMIT TAX,FRAUD
ST20240101_184454_GET IN LOSER WERE GOING INSANE,"GET IN LOSER,",WE'RE GOING INSANE
ST20240101_184455_TRASH CAN CRITTERS,TRASH CAN,CRITTERS
ST20240101_184456_I CAN SHOW YOU SOME TRASH,I CAN SHOW YOU,SOME TRASH
ST20240101_184457_FAKE IT TILL YOU MAKE IT,FAKE IT TILL,YOU MAKE IT
ST20240101_184458_KNOW YOUR WILDLIFE,KNOW YOUR,WILDLIFE
