SKU,Name1
ST20240102_092246_DONT FOLLOW ME I DO STUPID THINGS,I DO STUPID THINGS
ST20240102_092247_DONT FOLLOW ME IM LOST TOO,I'M LOST TOO
ST20240102_092248_DONT FOLLOW ME YOU WONT MAKE IT,YOU WON'T MAKE IT
ST20240102_092249_DONT FOLLOW ME FOLLOW JESUS,FOLLOW JESUS
ST20240102_092252_DONT FOLLOW ME IM A STARFISH,I'M A STARFISH
ST20240102_092253_DONT FOLLOW ME FOLLOW MY IG,FOLLOW MY IG
ST20240102_092254_DONT FOLLOW ME I RUN INTO TREES,I RUN INTO TREES
ST20240102_092255_DONT FOLLOW ME IM PROBABLY LOST,I'M PROBABLY LOST
ST20240102_092256_DONT FOLLOW ME IM ALSO LOST,I'M ALSO LOST
ST20240102_092257_DONT FOLLOW ME I DO CRAZY THINGS,I DO CRAZY THINGS
ST20240102_092258_DONT FOLLOW ME YOULL GET STUCK,YOU'LL GET STUCK
ST20240102_092259_DONT FOLLOW ME GOT FAKE LIPS,GOT FAKE LIPS
ST20240102_092300_DONT FOLLOW ME I WANT TO BE ALONE,I WANT TO BE ALONE!
ST20240102_092301_DONT FOLLOW ME I DO STUPID SHIT,I DO STUPID SHIT
ST20240102_092302_DONT FOLLOW ME I AM NOT TREND,I AM NOT TREND
ST20240102_092303_DONT FOLLOW ME IM ABOUT TO DO A BUNCH OF STUPID,I'M ABOUT TO DO A BUNCH OF STUPID
ST20240102_092304_DONT FOLLOW ME I ALWAYS DO STUPID STUFF,I ALWAYS DO STUPID STUFF.
ST20240102_092305_DONT FOLLOW ME YOU DONT LOVE ME,YOU DON'T LOVE ME
ST20240102_092306_DONT FOLLOW ME I HAVE NO IDEA WHERE IM GOING,I HAVE NO IDEA WHERE I'M GOING!
