SKU,Name1,Name2
ST20240106_133347_SORRY IM LATE IM JUST TOO LAZY,SORRY I'M LATE.,I'M JUST TOO LAZY
ST20240106_133348_SORRY IM LATE I TOOK THE RHOMBUS,SORRY I'M LATE I,TOOK THE RHOMBUS
ST20240106_133349_IM LATE I SAW SUNFLOWERS,I'M LATE I SAW,SUNFLOWERS
ST20240106_133350_SORRY IM LATE IM AFRAID TO BE ON TIME,SORRY I'M LATE I'M,AFRAID TO BE ON TIME
ST20240106_133351_SORRY IM LATE I DIDNT WANNA COME,SORRY I'M LATE I,DIDN'T WANNA COME
ST20240106_133352_SORRY IM LATE MY CAT WAS SITTING ON ME,SORRY I'M LATE MY CAT,WAS SITTING ON ME
ST20240106_133353_SORRY IM LATE I SAW A ROCK,SORRY I'M LATE,I SAW A ROCK
ST20240106_133354_SORRY IM LATE I SAW A DOG,SORRY I'M LATE,I SAW A DOG
ST20240106_133355_SORRY IM LATE IM ALLERGIC TO AIR,SORRY I'M LATE I'M,ALLERGIC TO AIR
ST20240106_133356_SORRY IM LATE I WAS READING,SORRY I'M LATE I,WAS READING
ST20240106_133357_SORRY IM LATE I SAW A HUMAN,SORRY I'M LATE I,SAW A HUMAN
ST20240106_133358_SORRY IM LATE IM ALLERGIC TO TIMELY ARRIVALS,SORRY I'M LATE I'M,ALLERGIC TO TIMELY ARRIVALS
ST20240106_133359_SORRY IM LATE I SAW CAT,SORRY I'M LATE,I SAW CAT
ST20240106_133400_SORRY IM LATE I SAW A SNAIL,SORRY I'M LATE I,SAW A SNAIL
ST20240106_133401_SORRY IM LATE IM ONLY HUMAN,SORRY I'M LATE,I'M ONLY HUMAN
ST20240106_133402_SORRY IM LATE MY CAT WAS BEING CUTE,SORRY I'M LATE MY,CAT WAS BEING CUTE
ST20240106_133403_SORRY IM LATE I WAS SLEEPING,SORRY I'M LATE I,WAS SLEEPING
ST20240106_133404_SORRY IM LATE I WAS ON A SIDE QUEST,SORRY I'M LATE I WAS,ON A SIDE QUEST
ST20240106_133405_SORRY IM LATE I WAS LITERALLY JUST VIBING,SORRY I'M LATE I WAS,LITERALLY JUST VIBING
ST20240106_133406_SORRY IM LATE I WAS GETTING COFFEE,SORRY I'M LATE I,WAS GETTING COFFEE
ST20240106_133407_SORRY IM LATE I JUST REALLY DONT WANT TO BE HERE,SORRY I'M LATE I JUST,REALLY DON'T WANT TO BE HERE
ST20240106_133408_SORRY IM LATE I GOT HERE AS SOON AS I WANTED TO,SORRY I'M LATE I GOT HERE,AS SOON AS I WANTED TO
ST20240106_133409_SORRY IM LATE I LIED NOT SORRY AT ALL,SORRY I'M LATE I,"LIED, NOT SORRY AT ALL"
ST20240106_133410_SORRY IM LATE I HAD TO POOP,SORRY I'M LATE I,HAD TO POOP
ST20240106_133411_SORRY IM LATE I WAS WRIRRING SMUT,SORRY I'M LATE I,WAS WRIRRING SMUT
ST20240106_133412_SORRY IM LATE I HAD TO RECHARGE ELECTRIC VEHICLE,SORRY I'M LATE I HAD TO,RECHARGE ELECTRIC VEHICLE
ST20240106_133413_SORRY IM LATE BUT I LEFT LATE,SORRY I'M LATE,BUT I LEFT LATE
ST20240106_133414_SORRY IM LATE I WAS PONDERING MY ORB,SORRY I'M LATE I WAS,PONDERING MY ORB
ST20240106_133415_SORRY IM LATE MY CAT WAS SLEEPING ON ME,SORRY I'M LATE MY CAT,WAS SLEEPING ON ME
ST20240106_133416_SORRY IM LATE I WAS STUCK IN THE BACKROOMS,SORRY I'M LATE I WAS,STUCK IN THE BACKROOMS
ST20240106_133417_SORRY IM LATE I WAS WATCHING PAINT DRY,SORRY I'M LATE I WAS,WATCHING PAINT DRY
ST20240106_133418_SORRY IM LATE I THOUGHT THIS SIDE QUEST WAS OPTIONAL,SORRY I'M LATE I THOUGHT,THIS SIDE QUEST WAS OPTIONAL
ST20240106_133419_SORRY IM LATE I AM NOT A FAN OF GOING OUT,SORRY I'M LATE I AM NOT,A FAN OF GOING OUT
ST20240106_133420_SORRY IM LATE MY CAR WAS CHARGING,SORRY I'M LATE MY,CAR WAS CHARGING
ST20240106_133421_SORRY IM LATE I GOT LOST ON THE PATH OF LIFE,SORRY I'M LATE I GOT,LOST ON THE PATH OF LIFE
ST20240106_133422_SORRY IM LATE HAVE TO GET TO A SAVE POINT,SORRY I'M LATE HAVE TO,GET TO A SAVE POINT
ST20240106_133423_SORRY IM LATE I WAS SIDE QUESTING,SORRY I'M LATE I,WAS SIDE QUESTING
ST20240106_133424_SORRY IM LATE I GOT HERE WHEN I WANTED TO,SORRY I'M LATE I GOT,HERE WHEN I WANTED TO
ST20240106_133425_SORRY IM LATE I HAVE KIDS,SORRY I'M LATE,I HAVE KIDS
ST20240106_133426_SORRY IM LATE I WAS ABDUCTED,SORRY I'M LATE I,WAS ABDUCTED
ST20240106_133427_THE TRASH WITCH,THE TRASH,WITCH
