SKU,Name1,Name2
ST20240108_222402_DONT LET THE PIGEON DRIVE THE BUS,DON'T LET THE,PIGEON DRIVE THE BUS!
ST20240108_222403_DONT LET THE PIGEON FINISH THIS ACTIVITY BOOK,DON'T LET THE PIGEON,FINISH THIS ACTIVITY BOOK!
ST20240108_222404_THE DUCKLING GETS A COOKIE,THE DUCKLING,GETS A COOKIE!?
ST20240108_222405_DONT LET THE PIGEON DRIVE THE SLEIGH,DON'T LET THE PIGEON,DRIVE THE SLEIGH!
ST20240108_222406_DONT LET THE PIGEON STAY UP LATE,DON'T LET THE,PIGEON STAY UP LATE!
ST20240108_222407_HEY CAN I DRIVE THE BUS,"HEY, CAN I",DRIVE THE BUS?
ST20240108_222408_LET DRIVE THE BUS,LET DRIVE,THE BUS!
ST20240108_222409_DONT LET THE PIGEON RUN THIS AAP,DON'T LET THE,PIGEON RUN THIS AAP!
ST20240108_222410_DONT LET THE PIGEON TEACH THE CLASS,DON'T LET THE PIGEON,TEACH THE CLASS!
ST20240108_222411_THE PIGEON FINDS A HOT DOG,THE PIGEON,FINDS A HOT DOG!
ST20240108_222412_THE PIGEON WANTS A PUPPY,THE PIGEON,WANTS A PUPPY!
ST20240108_222413_DONT LET THE PIGEON DRIVE THE ROCKET SHIP,DON'T LET THE PIGEON,DRIVE THE ROCKET SHIP!
ST20240108_222414_I THOUGHT HED NEVER LEAVE,I THOUGHT HE'D,NEVER LEAVE
ST20240108_222415_THE PIGEON HAVE GO TO GO SCHOOL,THE PIGEON HAVE GO,TO GO SCHOOL!
ST20240108_222416_DONT LET THE PIGEON TOUCH THE PAPER CUTTER,DON'T LET THE PIGEON,TOUCH THE PAPER CUTTER
ST20240108_222417_DONT LET THE PIGEON QUESTION THE RULESS,DON'T LET THE PIGEON,QUESTION THE RULESS!
ST20240108_222418_DONT LET THE PIGEON RUN STORY TINE,DON'T LET THE PIGEON,RUN STORY TINE!
ST20240108_222419_DONT LET THE PIGEON SCRIBBLE IN ART CLASS,DON'T LET THE PIGEON,SCRIBBLE IN ART CLASS!
ST20240108_222420_DONT LET THE PIGEON RULE THE WORLD,DON'T LET THE PIGEON,RULE THE WORLD!
ST20240108_222421_DONT LET THE PIGEON GET TOO CLOSE,DON'T LET THE,PIGEON GET TOO CLOSE
