SKU,Name1,Name2
ST20240109_055154_TOASTER SPEEDING TOWARDS DAWN,"TOASTER, SPEEDING",TOWARDS DAWN
ST20240109_055155_RESOLUTIONS IM FLUENT IN PROCRASTINATION THANK YOU,RESOLUTIONS? I'M FLUENT IN,"PROCRASTINATION, THANK YOU"
ST20240109_055156_I CAN DO THIS ALL DAY,I CAN DO,THIS ALL DAY
ST20240109_055157_DONT MAKE ME USE MY CRABBY MOMMY POWERS,DON'T MAKE ME USE MY,CRABBY MOMMY POWERS
ST20240109_055158_I BECAME A WAITER WAITRESS FOR THE MONEY AND FAME,I BECAME A WAITER/WAITRESS,FOR THE MONEY AND FAME
ST20240109_055159_BEWARE ITS HALLOWEEN,BEWARE IT'S,HALLOWEEN
ST20240109_055200_WORLDS OKAYEST AMBULANCE DRIVER,WORLD'S OKAYEST,AMBULANCE DRIVER
ST20240109_055201_WELL FUCK ME GENTLY WITH A CHAINSAW,WELL FUCK ME GENTLY,WITH A CHAINSAW
ST20240109_055202_DONT TOUCH MY PLANNER,DON'T TOUCH,MY PLANNER!
ST20240109_055203_MY SUPERPOWER IS OVERTHINKING,MY SUPERPOWER IS,OVERTHINKING
ST20240109_055204_YOU ARE ENOUGH JUST AS YOU ARE,YOU ARE ENOUGH,JUST AS YOU ARE
ST20240109_055205_TOASTER FASTER THAN CAFFEINE DREAMS,"TOASTER, FASTER THAN",CAFFEINE DREAMS
ST20240109_055206_A WOMANS PLACE IS IN A LAB,A WOMAN'S PLACE,IS IN A LAB
ST20240109_055207_YOU NEVER KNOW HOW STRONG YOU ARE,YOU NEVER KNOW HOW,STRONG YOU ARE
ST20240109_055208_YOUR EXISTENCE IS ESSENTIALLY IRRELEVANT,YOUR EXISTENCE IS,ESSENTIALLY IRRELEVANT
ST20240109_055209_GO AHEAD MAKE MY DAY,"GO AHEAD,",MAKE MY DAY
ST20240109_055210_DOWN THE RESEARCH RABBIT HOLE,DOWN THE,RESEARCH RABBIT HOLE
