SKU,Name1,Name2
ST20240112_072628_SORRY I WASNT LISTENING I WAS THINKING ABOUT CARS,SORRY I WASN'T LISTENING I,WAS THINKING ABOUT CARS
ST20240112_072629_THIS IS SO METAPHORICAL,THIS IS SO,METAPHORICAL
ST20240112_072630_SOUNDS GAY IM IN,SOUNDS GAY,IM IN
ST20240112_072631_DONT MAKE ME USE MY HUMAN RESOURCE VOICE,DON'T MAKE ME USE MY,HUMAN RESOURCE VOICE
ST20240112_072632_ENERGY FLOWS WHERE INTENTION GOES,ENERGY FLOWS WHERE,INTENTION GOES
ST20240112_072633_DONT BELIEVE EVERYTHING YOU THINK,DON'T BELIEVE,EVERYTHING YOU THINK.
ST20240112_072634_NEW YEAR NEW EXCUSES FOR BEING LAZY,"NEW YEAR, NEW",EXCUSES FOR BEING LAZY
ST20240112_072635_ART IS ANYTHING YOU CAN GET AWAY WITH,ART IS ANYTHING YOU,CAN GET AWAY WITH
ST20240112_072636_A HEARTS A HEAVY BURDEN,A HEARTS A,HEAVY BURDEN
ST20240112_072637_HONK IF YOU SEE DEAD PEOPLE,HONK IF YOU SEE,DEAD PEOPLE
ST20240112_072638_DEFEND THE WILD EMBRACE THE RESPONSIBILITY,"DEFEND THE WILD,",EMBRACE THE RESPONSIBILITY
ST20240112_072639_IN THE WILD FIND THE TRUE ESSENCE OF FREEDOM,"IN THE WILD, FIND THE",TRUE ESSENCE OF FREEDOM
ST20240112_072640_CONSERVATIONISTS WHERE EVEN THE LIONS CRACK A SMILE,"CONSERVATIONISTS, WHERE EVEN",THE LIONS CRACK A SMILE
ST20240112_072641_IM NOT MADE OF EYES,I'M NOT MADE,OF EYES
ST20240112_072642_WISHING YOU A DAY AS EXCITING AS A STALE DONUT,WISHING YOU A DAY AS,EXCITING AS A STALE DONUT
ST20240112_072643_JUST A GIRL WHO LOVES RINGETTE AND CATS,JUST A GIRL WHO LOVES,RINGETTE AND CATS
ST20240112_072644_YOU CAN NEVER HAVE TOO MANY RC PLANES,YOU CAN NEVER HAVE,TOO MANY RC PLANES
ST20240112_072645_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240112_072646_FIRE RED YOU DO NOT YIELD,FIRE RED YOU,DO NOT YIELD
