SKU,Name1,Name2
ST20240113_061424_MAJESTIC TAHOE WHERE NATURE PAINTS ITS CANVAS,"MAJESTIC TAHOE, WHERE",NATURE PAINTS ITS CANVAS
ST20240113_061425_DONT MAKE ME USE MY LIFEGUARD VOICE,DON'T MAKE ME USE MY,LIFEGUARD VOICE!
ST20240113_061426_HOLLY JOLLY WISHES TO YOU,"HOLLY, JOLLY",WISHES TO YOU
ST20240113_061427_PRESERVE TAHOES CHARM LET IT BE A BEACON,"PRESERVE TAHOE'S CHARM,",LET IT BE A BEACON
ST20240113_061428_YOU ARE MORE THAN YOUR BODY,YOU ARE MORE,THAN YOUR BODY
ST20240113_061429_YOU ARE DEPRIVING SOME VILLAGE OF THEIR IDIOT,YOU ARE DEPRIVING SOME,VILLAGE OF THEIR IDIOT
ST20240113_061430_TALK TO ME GOOSE,TALK TO,"ME, GOOSE"
ST20240113_061431_DRIVER GETS THE MOST LEGROOM,DRIVER GETS THE,MOST LEGROOM
ST20240113_061432_RACE TIP TOASTER TAKES SHORTCUTS,"RACE TIP, TOASTER",TAKES SHORTCUTS
ST20240113_061433_PRESERVE THE JEWEL CHERISH TAHOES TIMELESS GLOW,"PRESERVE THE JEWEL,",CHERISH TAHOE'S TIMELESS GLOW
ST20240113_061434_DONT HONK AT ME IM PROBABLY ALREADY CRYING,DON'T HONK AT ME I'M,PROBABLY ALREADY CRYING
ST20240113_061435_FLEECE NAVIDAD STAY WARM AND FUZZY,"FLEECE NAVIDAD, STAY",WARM AND FUZZY!
ST20240113_061436_IT ENDS WITH US,IT ENDS,WITH US
ST20240113_061437_YOU IMPRINTED ON MY DAUGHTER,YOU IMPRINTED ON,MY DAUGHTER?
ST20240113_061438_MAY YOUR DAY BE AS SMOOTH AS A SANDPAPER HANDSHAKE,MAY YOUR DAY BE AS SMOOTH,AS A SANDPAPER HANDSHAKE
ST20240113_061439_HE WAS LIKE A FATHER TO ME,HE WAS LIKE A,FATHER TO ME
ST20240113_061440_CHERISH THE WILD NURTURE THE FUTURE,"CHERISH THE WILD,",NURTURE THE FUTURE
ST20240113_061441_YOUR SECRET IS SAFE WITH MY INDIFFERENCE,YOUR SECRET IS SAFE,WITH MY INDIFFERENCE
ST20240113_061442_MAX HELP ME IM FEELING,"MAX, HELP ME...",I'M FEELING!
ST20240113_061443_I RUN BECAUSE I LIKE ICE CREAM,I RUN BECAUSE I,LIKE ICE CREAM
ST20240113_061444_SILLY GOOSE ON THE LOOSE,SILLY GOOSE ON,THE LOOSE!
ST20240113_061445_DO YOU LIKE FISH STICKS JOKE,DO YOU LIKE FISH,STICKS JOKE
ST20240113_061446_THERE IS A DEFIANCE IN BEING A DREAMER,THERE IS A DEFIANCE,IN BEING A DREAMER
ST20240113_061447_TOASTER BEATS TRAFFIC NOT BREAD,"TOASTER, BEATS","TRAFFIC, NOT BREAD"
ST20240113_061448_NO YOUR OTHER LEFT SIDE,NO YOUR OTHER,LEFT SIDE
ST20240113_061449_HONK IF YOU LOVE DILFS,HONK IF YOU,LOVE DILFS
ST20240113_061450_I WANT TO RIDE MY BICYCLE,I WANT TO RIDE,MY BICYCLE
ST20240113_061451_DONT HONK AT ME IDONT LIKE WHAT IM DOING EITHER,DON'T HONK AT ME IDON'T,LIKE WHAT I'M DOING EITHER
ST20240113_061452_DONT TREAD ON ME,DONT TREAD,ON ME
ST20240113_061453_MAKE TODAY YOUR BITCH,MAKE TODAY,YOUR BITCH
ST20240113_061454_NO COMPLAINING ABOUT THE SNACKS,NO COMPLAINING,ABOUT THE SNACKS
ST20240113_061455_ITS THAT TIME AGAIN,IT'S THAT,TIME AGAIN!
ST20240113_061456_CHARIOT OF THE GODS FREE LIFTS,CHARIOT OF THE,"GODS, FREE LIFTS"
ST20240113_061457_NEVER MEMORIZE SOMETHING THAT YOU CAN LOOK UP,NEVER MEMORIZE SOMETHING,THAT YOU CAN LOOK UP
ST20240113_061458_DO YOU LIKE FISH STICKS,DO YOU LIKE,FISH STICKS?
ST20240113_061459_THE BOY SAW THE COMET,THE BOY SAW,THE COMET
ST20240113_061500_DONT MAKE ME USE MY RECEPTIONIST VOICE,DON'T MAKE ME USE MY,RECEPTIONIST VOICE
ST20240113_061501_I LITERALLY HAVE NO IDEA WHO I AM,I LITERALLY HAVE,NO IDEA WHO I AM
ST20240113_061502_2 GOOD OL BOYS BEHIND THE WHEEL,2 GOOD OL BOYS,BEHIND THE WHEEL
ST20240113_061503_GUARDIANS OF CLARITY TAHOES ETERNAL KEEPERS,"GUARDIANS OF CLARITY,",TAHOE'S ETERNAL KEEPERS
ST20240113_061504_NOBODY MAKES ME BLEED MY OWN BLOOD,NOBODY MAKES ME,BLEED MY OWN BLOOD
ST20240113_061505_DRIVER GETS THE LAST WORD IN AN ARGUMENT,DRIVER GETS THE LAST,WORD IN AN ARGUMENT
ST20240113_061506_LOVE IS NEVER WASTED,LOVE IS,NEVER WASTED
ST20240113_061507_YOU CAN NEVER HAVE TOO MANY BATS,YOU CAN NEVER HAVE,TOO MANY BATS
ST20240113_061508_HEALTHCARE IS A HUMAN RIGHT,HEALTHCARE IS A,HUMAN RIGHT
ST20240113_061509_NATURES PLAYGROUND WHERE THE WILD ROAM,"NATURE'S PLAYGROUND,",WHERE THE WILD ROAM
ST20240113_061510_YOURE SUCH A NERD,YOU'RE SUCH,A NERD
ST20240113_061511_THE WORLD IS BIG,THE WORLD,IS BIG
ST20240113_061512_WORLDS OKAYEST VET TECH,WORLD'S,OKAYEST VET TECH
ST20240113_061513_NERVES SILENT PROTEST ONGOING,NERVE'S SILENT,PROTEST ONGOING
ST20240113_061514_HONK IF YOURE ALIVE,HONK IF,YOU'RE ALIVE
ST20240113_061515_NO COMPLAINING ABOUT THE WEATHER,NO COMPLAINING,ABOUT THE WEATHER
ST20240113_061516_FROM BLOOD AND ASH,FROM BLOOD,AND ASH
ST20240113_061517_IF YOU HONK AT ME I WILL KISS YOU,IF YOU HONK AT ME,I WILL KISS YOU
ST20240113_061518_AUDITOR IN GOD WE TRUST ALL OTHERS WE AUDIT,AUDITOR IN GOD WE TRUST,ALL OTHERS WE AUDIT
ST20240113_061519_THE TRASH WITCH,THE TRASH,WITCH
ST20240113_061520_I HATE STUPID PEOPLE,I HATE,STUPID PEOPLE
ST20240113_061521_MADNESS TAKES ITS TOLL,MADNESS TAKES,ITS TOLL
ST20240113_061522_JUST A BOY WHO LOVES WOLVES,JUST A BOY WHO,LOVES WOLVES
ST20240113_061523_PRESERVE TAHOES MAGIC LET IT RIPPLE THROUGH TIME,"PRESERVE TAHOE'S MAGIC, LET",IT RIPPLE THROUGH TIME
ST20240113_061524_ITS A GOOD DAY TO READ A BOOK,IT'S A GOOD DAY,TO READ A BOOK
ST20240113_061525_OH SHIT THAT IS FRESH,"OH SHIT, THAT",IS FRESH
ST20240113_061526_KNOW YOUR OWN HAPPINESS,KNOW YOUR OWN,HAPPINESS
ST20240113_061528_YOU CAN'T TAKE LOVED AWAY,YOU CAN'T,TAKE LOVED AWAY
ST20240113_061529_JUST A BOY WHO LOVES ELEPHANTS,JUST A BOY WHO,LOVES ELEPHANTS
ST20240113_061530_MARSUPIAL XING BRAKE FOR JOY,"MARSUPIAL XING,",BRAKE FOR JOY
ST20240113_061531_I DONT APPRECIATE YOUR LACK OF SARCASM,I DON'T APPRECIATE,YOUR LACK OF SARCASM
ST20240113_061532_I BECAME A SECURITY OFFICER FOR THE MONEY AND FAME,I BECAME A SECURITY OFFICER,FOR THE MONEY AND FAME
ST20240113_061533_YOU CAN NEVER HAVE TOO MANY TRACTORS,YOU CAN NEVER HAVE,TOO MANY TRACTORS
ST20240113_061534_KNOW YOUR WILDLIFE,KNOW YOUR,WILDLIFE
ST20240113_061535_DONT MAKE ME USE MY MECHANICAL ENGINEER VOICE,DON'T MAKE ME USE MY,MECHANICAL ENGINEER VOICE
ST20240113_061536_TOASTER OUTRUNNING BREAKFAST BLUES,"TOASTER, OUTRUNNING",BREAKFAST BLUES
ST20240113_061537_THERE ARE GIANTS IN THE SKY,THERE ARE,GIANTS IN THE SKY
ST20240113_061538_TO KILL A MOCKING BIRD,TO KILL A,MOCKING BIRD
ST20240113_061539_SINCERITY IS SCARY,SINCERITY,IS SCARY
ST20240113_061540_HOPE ANCHORS THE SOUL,HOPE ANCHORS,THE SOUL
ST20240113_061541_QUIT PLAYING WITH YOUR DINGHY,QUIT PLAYING,WITH YOUR DINGHY
ST20240113_061542_JUST A GIRL WHO LOVES SUNSHINE AND TACOS,JUST A GIRL WHO LOVES,SUNSHINE AND TACOS
ST20240113_061543_MAY YOUR NETFLIX ACCOUNT OUTLAST YOUR RESOLUTIONS,MAY YOUR NETFLIX ACCOUNT,OUTLAST YOUR RESOLUTIONS
ST20240113_061544_WHAT YOU THINK YOU BECOME,WHAT YOU THINK,YOU BECOME
ST20240113_061545_I RUN BECAUSE I LIKE CAKE,I RUN BECAUSE,I LIKE CAKE
ST20240113_061546_IM FULL OF FUN FACTS,I'M FULL OF,FUN FACTS
ST20240113_061547_DONT MAKE ME USE MY CAPTAIN VOICE,DON'T MAKE ME USE,MY CAPTAIN VOICE
ST20240113_061548_COURAGE DEAR HEART,COURAGE,DEAR HEART
ST20240113_061549_ILL BE IN MY BEDROOM,I'LL BE IN,MY BEDROOM
ST20240113_061550_THE REST IS SILENCE,THE REST IS,SILENCE
ST20240113_061551_YOU CAN NEVER HAVE TOO MANY GONGS,YOU CAN NEVER HAVE,TOO MANY GONGS
ST20240113_061552_SUPPORT YOUR LOCAL STREET CATS,SUPPORT YOUR,LOCAL STREET CATS
ST20240113_061553_RIDING FREE THE FLOOR IS LAVA,"RIDING FREE, THE",FLOOR IS LAVA
ST20240113_061554_AINT NO THING LIKE ME EXCEPT ME,AIN'T NO THING,"LIKE ME, EXCEPT ME"
ST20240113_061555_HONK IF YOU LOVE GOATS,HONK IF YOU,LOVE GOATS
ST20240113_061556_IM NOT LAZY IM IN ENERGYSAVING MODE,I'M NOT LAZY; I'M IN,ENERGY-SAVING MODE
ST20240113_061557_DONT INTERRUPT ME WHILE IM INTERRUPTING,DON'T INTERRUPT ME,WHILE I'M INTERRUPTING
ST20240113_061558_PLEASE BE PATIENT I AM NOT A GOOD DRIVER,PLEASE BE PATIENT I AM,NOT A GOOD DRIVER
ST20240113_061559_LAST WORDS OF A SHOOTING STAR,LAST WORDS OF A,SHOOTING STAR
ST20240113_061600_I CAN SHOW YOU SOME TRASH,I CAN SHOW YOU,SOME TRASH
ST20240113_061601_THIS PAIN WOULDNT BE FOR EVERMORE,THIS PAIN WOULDN'T,BE FOR EVERMORE
ST20240113_061602_DONT HAVE A CRAP ATTACK,DON'T HAVE A,CRAP ATTACK
ST20240113_061603_I RUN BECAUSE IT MESSES WITH A CALCULATOR,I RUN BECAUSE IT,MESSES WITH A CALCULATOR
ST20240113_061604_NO ARGUING ABOUT WHO DRIVES FIRST,NO ARGUING ABOUT,WHO DRIVES FIRST
ST20240113_061605_WE LOVE RAINY DAYS DONT WE BABY,"WE LOVE RAINY DAYS,",DON'T WE BABY?
ST20240113_061606_DONT STEAL THE GOVERNMENT HATES COMPETITION,DON'T STEAL THE,GOVERNMENT HATES COMPETITION
ST20240113_061607_OH YOURE A VILLAIN ALRIGHT JUST NOT A SUPER ONE,"OH, YOU'RE A VILLAIN,",ALRIGHT! JUST NOT A SUPER ONE
ST20240113_061608_CAN I PET YOUR DOG,CAN I PET,YOUR DOG?
ST20240113_061609_DEFENDERS OF TAHOE WARRIORS FOR ITS PURITY,"DEFENDERS OF TAHOE,",WARRIORS FOR ITS PURITY
ST20240113_061610_IM SILENTLY CORRECTING YOUR GRAMMAR,IM SILENTLY,CORRECTING YOUR GRAMMAR
ST20240113_061611_DO YOU GUYS EVER THINK ABOUT DYING,DO YOU GUYS EVER,THINK ABOUT DYING?
ST20240113_061612_HELL WAS FULL SO I CAME BACK,HELL WAS FULL SO,I CAME BACK
ST20240113_061613_DONT FOLLOW ME YOULL GET STUCK,DON'T FOLLOW ME,YOU'LL GET STUCK
ST20240113_061614_GROW THROUGH WHAT YOU GO THROUGH,GROW THROUGH WHAT,YOU GO THROUGH
ST20240113_061615_THE STARS INCLINE US THEY DO NOT BIND US,"THE STARS INCLINE US,",THEY DO NOT BIND US
ST20240113_061616_YOU CAN NEVER HAVE TOO MANY CAMERAS,YOU CAN NEVER HAVE,TOO MANY CAMERAS
ST20240113_061617_I AM A CERTIFIED AMATEUR PSYCHOLOGIST,I AM A CERTIFIED,AMATEUR PSYCHOLOGIST
ST20240113_061618_WORLDS OKAYEST TRANS PERSON,WORLD'S OKAYEST,TRANS PERSON
ST20240113_061619_DONT MAKE ME USE MY FATHER VOICE,DON'T MAKE ME USE,MY FATHER VOICE
ST20240113_061620_IT NEVER HURTS TO KEEP LOOKING FOR SUNSHINE,IT NEVER HURTS TO KEEP,LOOKING FOR SUNSHINE
ST20240113_061621_EMBRACING THE WILD SIDE OF THE OPEN WORLD,EMBRACING THE WILD,SIDE OF THE OPEN WORLD
ST20240113_061622_HERE FOR A GOOD TIME NOT A LONG TIME,HERE FOR A GOOD,"TIME, NOT A LONG TIME"
ST20240113_061623_SANTA DEFINE GOOD ASKING FOR A FRIEND,"SANTA, DEFINE 'GOOD.'",ASKING FOR A FRIEND
ST20240113_061624_ITS ME HI IM THE TEACHER ITS ME,"IT'S ME, HI, I'M THE",TEACHER IT'S ME
ST20240113_061625_365 NEW DAYS TO PROCRASTINATE AGAIN,365 NEW DAYS TO,PROCRASTINATE AGAIN
ST20240113_061626_SLOW AND STEADY WINS THE CONSERVATION RACE,SLOW AND STEADY WINS,THE CONSERVATION RACE
ST20240113_061627_I RUN BECAUSE I LIKE BOBA,I RUN BECAUSE,I LIKE BOBA
ST20240113_061628_YOU'RE DONE YOU ARE DONE,YOU'RE DONE,YOU ARE DONE
ST20240113_061629_WORLDS OKAYEST MAILMAN,WORLD'S,OKAYEST MAILMAN
ST20240113_061630_BOOBIES MAKE ME SMILE FUNNY,BOOBIES MAKE ME,SMILE FUNNY
ST20240113_061631_HONK IF YOU LOVE BUGS,HONK IF YOU,LOVE BUGS
ST20240113_061632_SIT DOWN YOURE ROCKING THE BOAT,SIT DOWN YOU'RE,ROCKING THE BOAT!
ST20240113_061633_THE LIBRARY IS A WILDERNESS OF BOOKS,THE LIBRARY IS A,WILDERNESS OF BOOKS
ST20240113_061634_YOURE NOT MY FRIEND BUDDY,YOU'RE NOT MY,"FRIEND, BUDDY!"
ST20240113_061635_IM THE OLDEST CHILD,I'M THE,OLDEST CHILD
ST20240113_061636_STILL LEARNING HOW TO LOVE,STILL LEARNING,HOW TO LOVE
ST20240113_061637_ONLY MUSIC CAN SAVE US,ONLY MUSIC,CAN SAVE US!
ST20240113_061638_BORN TO BE WILDE,BORN TO BE,WILDE
ST20240113_061639_I AWARD YOU NO POINTS,I AWARD YOU,NO POINTS
ST20240113_061640_START EACH DAY WITH A GRATEFUL HEART,START EACH DAY WITH,A GRATEFUL HEART
ST20240113_061641_HONK IF YOU LOVE WEIRDOS,HONK IF YOU,LOVE WEIRDOS
ST20240113_061642_GOTTA GO SCREAM INTO THE VOID,GOTTA GO SCREAM,INTO THE VOID
ST20240113_061644_ITS COMING RIGHT FOR US,IT'S COMING,RIGHT FOR US!
ST20240113_061645_CLING TO WHAT IS GOOD,CLING TO,WHAT IS GOOD
ST20240113_061646_NEW YEAR NEW ME JUST KIDDING SAME MESS,"NEW YEAR, NEW ME...","JUST KIDDING, SAME MESS"
ST20240113_061647_WORLDS OKAYEST SWIMMER,WORLD'S,OKAYEST SWIMMER
ST20240113_061648_MARSUPIAL XING EASE OFF THE GAS,"MARSUPIAL XING,",EASE OFF THE GAS
ST20240113_061649_WORLDS OKAYEST MECHANIC,WORLD'S,OKAYEST MECHANIC
ST20240113_061650_YOU CAN NEVER HAVE TOO MANY BANJOS,YOU CAN NEVER HAVE,TOO MANY BANJOS
ST20240113_061651_DRIVING IS SO SCARY,DRIVING IS,SO SCARY
ST20240113_061652_IM NOT LAZY IM IN ENERGYSAVING MODE,"I'M NOT LAZY, I'M IN",ENERGY-SAVING MODE
