SKU,Name1,Name2
ST20240113_175903_IF IT MAKES YOU HAPPY KEEP IT PRIVATE,IF IT MAKES YOU,HAPPY KEEP IT PRIVATE
ST20240113_175904_SMILE IF YOU WANNA BREED,SMILE IF YOU,WANNA BREED
ST20240113_175905_IF YOU HAVE AN ISSUE GET A TISSUE,IF YOU HAVE AN,ISSUE GET A TISSUE
ST20240113_175907_I WANT 69 WITH YOU,I WANT 69,WITH YOU
ST20240113_175908_IF YOU CAN READ THIS YOU ARE IN FART RANGE,IF YOU CAN READ THIS,YOU ARE IN FART RANGE
ST20240113_175909_SMILE IF YOU EAT BOOTY,SMILE IF YOU,EAT BOOTY
ST20240113_175910_ASK ME TO MAKE YOU SMILE IF YOURE HAVING A PANIC ATTACK,ASK ME TO MAKE YOU SMILE IF,YOU'RE HAVING A PANIC ATTACK
ST20240113_175911_SMILE IF YOU DO,SMILE IF,YOU DO
ST20240113_175912_IF YOU SEE A FRIEND WITHOUT A SMILE GIVE THEM ONE OF YOURS,IF YOU SEE A FRIEND WITHOUT A,SMILE GIVE THEM ONE OF YOURS
ST20240113_175913_LOVE TILL THE END,LOVE TILL,THE END
ST20240113_175914_SMILE IF YOU ARE HORNY,SMILE IF YOU,ARE HORNY
ST20240113_175915_SMILE IF YOU CAN,"SMILE, IF",YOU CAN
ST20240113_175916_IF YOU LIKE ME JUST SMILE,IF YOU LIKE ME,JUST SMILE
ST20240113_175917_ITS OKAY IF YOU DONT LIKE BADMINTON,IT'S OKAY IF YOU,DON'T LIKE BADMINTON
ST20240113_175918_WOULD YOU LOVE ME IF I WAS A WORM,WOULD YOU LOVE ME,IF I WAS A WORM?
ST20240113_175919_IF YOURE HAPPY & YOU KNOW IT CLAP YOUR OH,IF YOU'RE HAPPY & YOU,"KNOW IT, CLAP YOUR OH"
ST20240113_175920_SMILE IF YOU ARE DEAD INSIDE PESSIMISMUS,SMILE IF YOU ARE DEAD,INSIDE PESSIMISMUS
ST20240113_175921_SMILE NO MATTER WHAT,SMILE NO,MATTER WHAT
ST20240113_175922_SMILE IF YOU WOULD DO ME,SMILE IF YOU,WOULD DO ME
ST20240113_175923_SMILE IF YOU LOVE JESUS,SMILE IF YOU,LOVE JESUS
ST20240113_175924_IF YOU WANT TO BE HAPPY,IF YOU WANT,TO BE HAPPY
ST20240113_175925_IF YOU ARE NOT LIVING ON THE EDGE YOU ARE TAKING UP TOO MUCH ROOM,"IF YOU ARE NOT LIVING ON THE EDGE,",YOU ARE TAKING UP TOO MUCH ROOM
ST20240113_175926_NO HAIR DONT CARE,NO HAIR,DON'T CARE
ST20240113_175927_IF YOU ARE READING THISBELIEVE IN YOURSELF,IF YOU ARE READING,THIS...BELIEVE IN YOURSELF
ST20240113_175928_SMILE IF YOURE DEAD INSIDE,SMILE IF YOU'RE,DEAD INSIDE
ST20240113_175929_SMILE IF YOU LOVE DOGS,SMILE IF YOU,LOVE DOGS
ST20240113_175930_IF YOU WANT YOUR WIFE TO TREAT YOU LIKE A KING START TREATING HER LIKE A QUEEN,IF YOU WANT YOUR WIFE TO TREAT YOU LIKE A,"KING, START TREATING HER LIKE A QUEEN"
ST20240113_175931_IF YOU QUIT ONCE IT BECOMES A HABIT DON'T QUIT,IF YOU QUIT ONCE IT BECOMES,A HABIT. DON'T QUIT.
ST20240113_175932_SMILE IF YOU LOVE HOCKEY,SMILE IF YOU,LOVE HOCKEY
ST20240113_175933_IF LIFE IS NOT SMILING AT YOU GIVE IT A GOOD TICKLE,IF LIFE IS NOT SMILING AT,YOU GIVE IT A GOOD TICKLE
ST20240113_175934_KEEP SMILING AND EVERYTHING WILL BE FINE,KEEP SMILING AND,EVERYTHING WILL BE FINE
ST20240113_175935_ITS OK IF YOU FALL APART SOMETIMES,IT'S OK IF YOU FALL,APART SOMETIMES
ST20240113_175936_IF YOU CAN DREAM IT YOU CAN ACHIVE IT,IF YOU CAN DREAM IT,YOU CAN ACHIVE IT
ST20240113_175937_DONT YOU THINK IF I WAS WRONG I WOULD KNOW IT,DONT YOU THINK IF I WAS,WRONG I WOULD KNOW IT!
ST20240113_175938_IF YOU BUY IT FROM ANYONE ELSE IT HAS BEEN STOLEN FROM ME,"IF YOU BUY IT FROM ANYONE ELSE,",IT HAS BEEN STOLEN FROM ME
ST20240113_175939_SMILE IF YOU WANT ME,SMILE IF YOU,WANT ME
ST20240113_175940_IF YOU HUG ME I WILL HUG YOU BACK,IF YOU HUG ME I,WILL HUG YOU BACK
ST20240113_175941_IF THEY CAN LAUGH AT YOU THEY CAN BELIEVE IN YOU,"IF THEY CAN LAUGH AT YOU,",THEY CAN BELIEVE IN YOU
ST20240113_175942_SMILE EVEN IF YOU ARE BROKEN,SMILE EVEN IF,YOU ARE BROKEN
ST20240113_175943_SPEAK YOUR MIND EVEN IF YOUR VOICE SHAKES,SPEAK YOUR MIND EVEN,IF YOUR VOICE SHAKES
ST20240113_175944_SMILE IF IN LOVE,SMILE IF,IN LOVE
ST20240113_175945_IF YOU CANT HANDLE FIRE STAY OUT IM FIREPROOF,IF YOU CANT HANDLE FIRE,STAY OUT I'M FIREPROOF
ST20240113_175946_IF YOU SEE SOMEONE WITHOUT SMILE GIVE THEM YOURS,IF YOU SEE SOMEONE WITHOUT,SMILE GIVE THEM YOURS
ST20240113_175947_ID PICK YOU,I'D PICK,YOU
ST20240113_175948_BE MINE FOR LOVERS,BE MINE FOR,LOVERS
ST20240113_175949_AN APPLE A DAY KEEPS THE DOCTOR AWAY,AN APPLE A DAY KEEPS,THE DOCTOR AWAY
ST20240113_175950_IF YOU LAUGH BLESSINGS WILL COME YOUR WAY,"IF YOU LAUGH, BLESSINGS",WILL COME YOUR WAY
ST20240113_175951_WHEN YOU SMILE AT ME THE SUN COMES UP,"WHEN YOU SMILE AT ME,",THE SUN COMES UP
ST20240113_175952_I WILL SMILE AT YOU IF YOU SMILE AT ME,I WILL SMILE AT YOU,IF YOU SMILE AT ME
ST20240113_175953_IF YOU SEE ME SMILING YOU KNOW SOMETHING IS NOT RIGHT,IF YOU SEE ME SMILING YOU,KNOW SOMETHING IS NOT RIGHT
ST20240113_175954_IF IVE EVER OFFENDED YOU IM SORRY,IF I'VE EVER,OFFENDED YOU I'M SORRY
ST20240113_175955_YOUD SMILE TOO IF YOU JUST GOT LAID,YOU'D SMILE TOO IF,YOU JUST GOT LAID!
ST20240113_175956_IF YOU NEVER TRY YOULL NEVER KNOW,"IF YOU NEVER TRY,",YOU'LL NEVER KNOW
ST20240113_175957_SMILE IF YOU ARE NOT WEARING A DIAPER,SMILE IF YOU ARE NOT,WEARING A DIAPER
ST20240113_175958_SMILE IF YOU WANT TO QUARANTINE & CHILL,SMILE IF YOU WANT TO,QUARANTINE & CHILL
ST20240113_175959_IF YOU DONT LIKE ME REMEMBER THAT ITS MIND OVER MATTER,IF YOU DON'T LIKE ME REMEMBER,THAT IT'S MIND OVER MATTER
ST20240113_180000_YOU ONLY LIVE ONCE BUT IF YOU DO IT RIGHT ONCE IS ENOUGH,YOU ONLY LIVE ONCE. BUT IF YOU,"DO IT RIGHT, ONCE IS ENOUGH."
ST20240113_180001_IF YOU STAY POSITIVE IN A NEGATIVE SITUATION YOU WIN,IF YOU STAY POSITIVE IN A,"NEGATIVE SITUATION, YOU WIN."
ST20240113_180002_HONK IF YOURE HAPPY,HONK IF,YOU'RE HAPPY
ST20240113_180003_CATCH ME IF YOU CAN,CATCH ME IF,YOU CAN
ST20240113_180004_IF HAPPINESS COULD BE PROGRAMMEDIT WOULD BE GOOD,IF HAPPINESS COULD BE,"PROGRAMMED,IT WOULD BE GOOD"
ST20240113_180005_SMILE IS A GIFT YOU DO,SMILE IS A,GIFT YOU DO
ST20240113_180006_SMILE IF YOU LOVE NUTS,SMILE IF YOU,LOVE NUTS
ST20240113_180007_IF YOU ARE TOO BUSY TO LAUGH YOU ARE TOO BUSY,IF YOU ARE TOO BUSY TO,"LAUGH, YOU ARE TOO BUSY"
ST20240113_180008_IF YOU DONT LIKE ME YOU SHOULD GET TESTED,IF YOU DON'T LIKE ME,YOU SHOULD GET TESTED
ST20240113_180009_LETS ALL SMILE,LET'S ALL,SMILE
ST20240113_180010_BLINK IF YOU WANT ME,BLINK IF YOU,WANT ME
ST20240113_180011_SMILE IF YOU ARE GAY,SMILE IF YOU,ARE GAY
ST20240113_180012_IF YOU SEE SOMEONE WITHOUT A SMILE SHARE YOURS,IF YOU SEE SOMEONE,WITHOUT A SMILE SHARE YOURS
ST20240113_180013_SMILE IF YOU WANT TO TALK ABOUT HISTORY,SMILE IF YOU WANT TO,TALK ABOUT HISTORY
ST20240113_180014_SMILE IF YOU THINK IM CUTE,"SMILE, IF YOU",THINK I'M CUTE
ST20240113_180015_SMILE IF YOU PEED A LITTLE,SMILE IF YOU,PEED A LITTLE
ST20240113_180017_IF YOU GONNA BE DUMB THEN YOU GOTTA BE TOUGH,IF YOU GONNA BE DUMB,THEN YOU GOTTA BE TOUGH
ST20240113_180018_IF I WASNT IMPORTANT THEN WHY WOULD YOU WASTE ALL YOUR POISON,IF I WASN'T IMPORTANT THEN WHY,WOULD YOU WASTE ALL YOUR POISON
ST20240113_180019_IF YOU HAVE ONLY ONE SMILE IN YOU GIVE IT TO THE PEOPLE YOU LOVE,IF YOU HAVE ONLY ONE SMILE IN YOU,GIVE IT TO THE PEOPLE YOU LOVE
ST20240113_180020_SMILE IF YOU THINK I AM CUTE,SMILE IF YOU,THINK I AM CUTE
ST20240113_180021_IF YOU ARE READING THIS YOU ARE BEAUTIFUL,IF YOU ARE READING,THIS YOU ARE BEAUTIFUL
ST20240113_180022_IF YOU FALL ILL BE THERE,"IF YOU FALL,",I'LL BE THERE
ST20240113_180023_IF YOU LOVE SOMEONE DONT THINK TWICE,IF YOU LOVE SOMEONE,DON'T THINK TWICE
ST20240113_180024_YOUD DRINK TOO IF YOU WERE AN ORTHODONTIST,YOU'D DRINK TOO IF YOU,WERE AN ORTHODONTIST
ST20240113_180025_IF YOU LOVE SOMETHING LET IT GO FREE,IF YOU LOVE,SOMETHING LET IT GO FREE
ST20240113_180026_BE PATIENT THINGS WILL GET BETTER SMILE IF YOU AGREE,BE PATIENT THINGS WILL GET,BETTER SMILE IF YOU AGREE
ST20240113_180027_IF YOU WANT LIFE SMILE,IF YOU WANT,"LIFE, SMILE"
ST20240113_180028_IF YOU LIKE ME THEN RAISE YOUR HAND IF NOT THEN RAISE YOUR STANDARD,"IF YOU LIKE ME, THEN RAISE YOUR HAND,",IF NOT THEN RAISE YOUR STANDARD.
ST20240113_180029_IF YOU THINK IM CRAZY YOU SHOULD MEET MY CAT,"IF YOU THINK I'M CRAZY,",YOU SHOULD MEET MY CAT
ST20240113_180030_WHAT IF YOU WANT BAG,WHAT IF YOU,WANT BAG :)
ST20240113_180031_IF YOURE HAPPY AND YOU KNOW IT ITS YOUR CAT,IF YOU'RE HAPPY AND YOU,"KNOW IT, IT'S YOUR CAT"
ST20240113_180032_SMILE IF YOU WANT ME TO LUCK YOU,SMILE IF YOU WANT,ME TO LUCK YOU
ST20240113_180033_IF YOU ARE LOOKING FOR A SIGN THIS IS IT,IF YOU ARE LOOKING FOR,"A SIGN, THIS IS IT."
ST20240113_180034_IF YOU DIDNT SEE SOMETHING GOOD TODAY JUST SMILE YOU SAW ME,IF YOU DIDN'T SEE SOMETHING GOOD,"TODAY, JUST SMILE YOU SAW ME."
ST20240113_180035_IF I DONT MAKE YOU SMILE IT MAY BE TIME TO SEE A DOCTOR,IF I DON'T MAKE YOU SMILE IT,MAY BE TIME TO SEE A DOCTOR
ST20240113_180036_IF YOU SEE THIS YOU ARE TOO CLOSE,IF YOU SEE THIS,YOU ARE TOO CLOSE
ST20240113_180037_ITS OK IF YOU DONT LIKE ME,IT'S OK IF YOU,DON'T LIKE ME
ST20240113_180038_IF LIFE GIVES YOU LEMONS MAKE LEMONADE,IF LIFE GIVES YOU,"LEMONS, MAKE LEMONADE"
ST20240113_180039_DO YOU LIKE WHAT YOU VOTE,DO YOU LIKE,WHAT YOU VOTE?
ST20240113_180040_SMILE IF YOU ARE FRIENDLY,SMILE IF YOU,ARE FRIENDLY
ST20240113_180041_OPEN YOUR MOUTH AND SMILE AS IF YOU WANT TO SAY,OPEN YOUR MOUTH AND SMILE,AS IF YOU WANT TO SAY
