SKU,Name1,Name2
ST20240115_064125_NO TALKING ABOUT DIETS,NO TALKING,ABOUT DIETS
ST20240115_064126_IM NOT JUST SURE IM HIV POSITIVE,"I'M NOT JUST SURE,",I'M HIV POSITIVE.
ST20240115_064127_NO ARGUING ABOUT WHO CONTROLS THE REMOTE,NO ARGUING ABOUT WHO,CONTROLS THE REMOTE
ST20240115_064128_LET THEM EAT CAKE,LET THEM,EAT CAKE
ST20240115_064129_JUST A GIRL WHO LOVES PICKLEBALL,JUST A GIRL WHO,LOVES PICKLEBALL
ST20240115_064130_THINK OUTSIDE NO BOX REQUIRED,"THINK OUTSIDE, NO",BOX REQUIRED
ST20240115_064131_LONG IS THE ROAD SHORT IS THE LIFE,"LONG IS THE ROAD,",SHORT IS THE LIFE
ST20240115_064132_YOUVE YEED YOUR LAST HAW,YOU'VE YEE'D,YOUR LAST HAW
ST20240115_064133_PLEASE BE PATIENT I HAVE SELECTIVE MUTISM,PLEASE BE PATIENT I,HAVE SELECTIVE MUTISM
ST20240115_064134_CONSERVATIONISTS SERIOUS ABOUT SAVING HILARIOUS ABOUT IT,"CONSERVATIONISTS, SERIOUS ABOUT","SAVING, HILARIOUS ABOUT IT"
ST20240115_064135_GODDAMN ITS GOOD TO BE A GHOST HUNTER,"GODDAMN, IT'S GOOD TO",BE A GHOST HUNTER
ST20240115_064136_YOU SIT ON A THRONE OF LIES,YOU SIT ON A,THRONE OF LIES!
ST20240115_064137_NEW YEAR NEW CALENDAR SAME QUESTIONABLE DECISIONS,"NEW YEAR, NEW CALENDAR.",SAME QUESTIONABLE DECISIONS
ST20240115_064138_GREAT IS YOUR FAITHFULNESS,GREAT IS YOUR,FAITHFULNESS
ST20240115_064139_I NEED COFFEE IN AN IV,I NEED COFFEE,IN AN I.V
ST20240115_064140_TAP THE BRAKES FOR POUCH PERFECTION,TAP THE BRAKES FOR,POUCH PERFECTION
ST20240115_064141_LET THE SEA SET YOU FREE,LET THE SEA,SET YOU FREE
ST20240115_064142_WORLDS OKAYEST ARCHAEOLOGIST,WORLD'S OKAYEST,ARCHAEOLOGIST
ST20240115_064143_GAVE ME COOKIE GOT YOU COOKIE,GAVE ME COOKIE,GOT YOU COOKIE
ST20240115_064144_RACE TIP TOASTER KNOWS SHORTCUTS,"RACE TIP, TOASTER",KNOWS SHORTCUTS
ST20240115_064145_BLAZE TRAILS AND CREATE ADVENTURES WORTH SHARING,BLAZE TRAILS AND CREATE,ADVENTURES WORTH SHARING
ST20240115_064146_DONT HONK AT ME IM SENSITIVE,DON'T HONK AT ME,I'M SENSITIVE
ST20240115_064147_PLEASE NOTICE WHEN YOU ARE HAPPY,PLEASE NOTICE WHEN,YOU ARE HAPPY
ST20240115_064148_SHES LIKE BEING BATHED IN SUNLIGHT,SHE'S LIKE BEING,BATHED IN SUNLIGHT
ST20240115_064149_VALENTINE DETECTIVE AGENCY,VALENTINE,DETECTIVE AGENCY
ST20240115_064150_JUST A GIRL WHO LOVES COOKIES,JUST A GIRL WHO,LOVES COOKIES
ST20240115_064151_LOVE IT IF WE MADE IT,LOVE IT IF,WE MADE IT
ST20240115_064152_SPEAK SOFTLY AND CARRY A BIG STICK,SPEAK SOFTLY AND,CARRY A BIG STICK
ST20240115_064153_PRESERVING PARADISE TAHOE FOREVER,PRESERVING,"PARADISE, TAHOE FOREVER"
ST20240115_064154_JUST A BOY WHO LOVES EXCAVATORS,JUST A BOY WHO,LOVES EXCAVATORS
ST20240115_064155_SORRY I HAVE TO GO PRACTICE,SORRY I HAVE TO,GO PRACTICE
ST20240115_064156_JUST A GIRL WHO LOVES MINING,JUST A GIRL WHO,LOVES MINING
ST20240115_064157_BRAKE FOR THE JOY OF MARSUPIALS,BRAKE FOR THE JOY,OF MARSUPIALS
ST20240115_064158_THOSE ARE NOT TICKS THEYRE HIS NIPPLES,"THOSE ARE NOT TICKS,",THEYRE HIS NIPPLES!
ST20240115_064159_HOPE YOUR DAY IS AS RIVETING AS A POWERPOINT PRESENTATION,HOPE YOUR DAY IS AS RIVETING,AS A POWERPOINT PRESENTATION
ST20240115_064200_THIS COULD HAVE BEEN AN EMAIL,THIS COULD HAVE,BEEN AN EMAIL
ST20240115_064201_I AM INIMITABLE I AM AN ORIGINAL,"I AM INIMITABLE, I",AM AN ORIGINAL
ST20240115_064202_BE STRONG AND COURAGEOUS,BE STRONG AND,COURAGEOUS
ST20240115_064203_YOU CAN NEVER HAVE TOO MANY HORSES,YOU CAN NEVER HAVE,TOO MANY HORSES
ST20240115_064204_ITS THE PERFECT DAY FOR A TRAGICAL ROMANCE,IT'S THE PERFECT DAY,FOR A TRAGICAL ROMANCE
ST20240115_064205_HONK IF YOU FART HARD,HONK IF YOU,FART HARD
ST20240115_064206_I CANT IMAGINE A WORLD WITHOUT LITERATURE,I CAN'T IMAGINE A WORLD,WITHOUT LITERATURE
ST20240115_064207_JUST A GIRL WHO LOVES HYENAS,JUST A GIRL WHO,LOVES HYENAS
ST20240115_064208_JUST A GIRL WHO LOVES TURTLES,JUST A GIRL WHO,LOVES TURTLES
ST20240115_064209_BORN WITH A COMPASS GUIDED BY THE WINDS OF ADVENTURE,"BORN WITH A COMPASS, GUIDED",BY THE WINDS OF ADVENTURE
ST20240115_064210_JUST A GIRL WHO LOVES JOURNALING,JUST A GIRL WHO,LOVES JOURNALING
ST20240115_064211_HONK AT THE MOON,HONK AT,THE MOON
ST20240115_064212_LIFE IS TOUGH BUT SO ARE YOU,LIFE IS TOUGH,BUT SO ARE YOU
