SKU,Name1,Name2
ST20240117_174512_DONT MAKE ME USE MY CRABBY MOMMY POWERS,DON'T MAKE ME USE MY,CRABBY MOMMY POWERS
ST20240117_174513_I BECAME A WAITER/WAITRESS FOR THE MONEY AND FAME,I BECAME A WAITER/WAITRESS,FOR THE MONEY AND FAME
ST20240117_174514_BEWARE ITS HALLOWEEN,BEWARE IT'S,HALLOWEEN
ST20240117_174515_WORLDS OKAYEST AMBULANCE DRIVER,WORLD'S OKAYEST,AMBULANCE DRIVER
ST20240117_174516_WELL FUCK ME GENTLY WITH A CHAINSAW,WELL FUCK ME GENTLY,WITH A CHAINSAW
ST20240117_174517_DONT TOUCH MY PLANNER,DON'T TOUCH,MY PLANNER!
ST20240117_174518_MY SUPERPOWER IS OVERTHINKING,MY SUPERPOWER IS,OVERTHINKING
ST20240117_174520_YOU ARE ENOUGH JUST AS YOU ARE,YOU ARE ENOUGH,JUST AS YOU ARE
ST20240117_174521_TOASTER FASTER THAN CAFFEINE DREAMS,"TOASTER, FASTER THAN",CAFFEINE DREAMS
ST20240117_174522_A WOMANS PLACE IS IN A LAB,A WOMAN'S PLACE,IS IN A LAB
ST20240117_174523_YOU NEVER KNOW HOW STRONG YOU ARE,YOU NEVER KNOW HOW,STRONG YOU ARE
ST20240117_174524_YOUR EXISTENCE IS ESSENTIALLY IRRELEVANT,YOUR EXISTENCE IS,ESSENTIALLY IRRELEVANT
ST20240117_174525_GO AHEAD MAKE MY DAY,"GO AHEAD,",MAKE MY DAY
ST20240117_174526_DOWN THE RESEARCH RABBIT HOLE,DOWN THE,RESEARCH RABBIT HOLE
ST20240117_174527_LIBRARIES THE MOST DEMOCRATIC THING,LIBRARIES THE MOST,DEMOCRATIC THING
ST20240117_174528_BIODIVERSITY IS THE KEY TO A BALANCED PLANET,BIODIVERSITY IS THE KEY,TO A BALANCED PLANET
ST20240117_174529_NURTURE YOUR INNER GARDEN,NURTURE YOUR,INNER GARDEN
ST20240117_174530_POSITIVE BELIEVES YOU CAN DO THE THING,POSITIVE BELIEVES YOU,CAN DO THE THING
ST20240117_174531_JUST A GIRL WHO LOVES BIRDS,JUST A GIRL WHO,LOVES BIRDS
ST20240117_174532_CHASING SUNSETS EMBRACING THE CALL OF THE WILD,"CHASING SUNSETS,",EMBRACING THE CALL OF THE WILD
ST20240117_174533_I AM NOT HERE FOR DRAMA,I AM NOT HERE,FOR DRAMA
ST20240117_174534_FOLLOW YOUR STUPID FLUFFING DREAMS,FOLLOW YOUR STUPID,FLUFFING DREAMS
ST20240117_174535_SORRY IM LATE I SAW A ROCK,SORRY I'M LATE,I SAW A ROCK
ST20240117_174536_MAY YOUR RESOLUTIONS BE MORE BELIEVABLE THAN MINE,MAY YOUR RESOLUTIONS BE,MORE BELIEVABLE THAN MINE
ST20240117_174537_I LOVE YOU SAY IT BACK,I LOVE YOU,SAY IT BACK
ST20240117_174538_ITS FINE IM FINE EVERYTHING IS FINE,"IT'S FINE, I'M FINE,",EVERYTHING IS FINE
