SKU,Name1,Name2
ST20240118_210045_IM CONFUSED BABY IN A TOPLESS BAR,I'M CONFUSED BABY,IN A TOPLESS BAR
ST20240118_210046_DONT ASK TO BORROW MY TOOL AND I WONT ASK BORROW YOUR GIRLFRIEND,DON'T ASK TO BORROW MY TOOL AND I,WON'T ASK BORROW YOUR GIRLFRIEND
ST20240118_210047_I AM MY BROTHERS KEEPER,I AM MY,BROTHERS KEEPER
ST20240118_210048_ONLY YOU CAN PREVENT WORK BEATINGS,ONLY YOU CAN,PREVENT WORK BEATINGS
ST20240118_210049_REAMS DONT WORK UNLESS YOU DO,REAMS DON'T WORK,UNLESS YOU DO
ST20240118_210050_YOU ARE LOVED NO MATTER HOW YOU FEEL,YOU ARE LOVED NO,MATTER HOW YOU FEEL
ST20240118_210051_WHAT YOU EGG HE STABS HIM,WHAT YOU EGG?,HE STABS HIM.
ST20240118_210052_BE CURIOUS NOT JUDGMENTAL,BE CURIOUS NOT,JUDGMENTAL
ST20240118_210054_QUIET THE MIND AND THE SOUL WILL SPEAK,QUIET THE MIND AND,THE SOUL WILL SPEAK
ST20240118_210055_FIND JOY IN THE JOURNEY,FIND JOY IN,THE JOURNEY
ST20240118_210056_LIVE EVERY MOMENTLAUGH EVERY DAYLOVE BEYOND WORDS,"LIVE EVERY MOMENT,LAUGH","EVERY DAY,LOVE BEYOND WORDS"
ST20240118_210057_TOGETHER WE CAN DREAM BELIEVE LEAD ACHIEVE,TOGETHER WE CAN DREAM,BELIEVE LEAD ACHIEVE
ST20240118_210058_IN A WORLD WHERE YOU CAN BE ANYTHING BE KIND,IN A WORLD WHERE YOU CAN,BE ANYTHING BE KIND
ST20240118_210059_BE THE PERSION YOU WANT TO WORK WITH,BE THE PERSION YOU,WANT TO WORK WITH
ST20240118_210100_MAY YOU HAVE THE CONFIDENCE OF A MEDIOCRE,MAY YOU HAVE THE,CONFIDENCE OF A MEDIOCRE
ST20240118_210101_DONT STOP UNTIL YOURE PROUD,DON'T STOP UNTIL,YOU'RE PROUD
ST20240118_210102_YOUR ONLY LIMIT IS YOU,YOUR ONLY,LIMIT IS YOU
ST20240118_210103_EVERY FAMILY HAS A STORY WELCOME TO OURS,EVERY FAMILY HAS A,STORY. WELCOME TO OURS
ST20240118_210104_YOU NEVER FAIL UNTIL YOU STOP TRYING,YOU NEVER FAIL UNTIL,YOU STOP TRYING
ST20240118_210105_TREAT YOUR SELF,TREAT,YOUR SELF
ST20240118_210106_TASTE AND SEE THAT THE LORD IS GOOD,TASTE AND SEE THAT,THE LORD IS GOOD
ST20240118_210107_WE CANT CONTROL THE WINDS BUT WE CAN ADJUST OUR SAILS,WE CAN'T CONTROL THE WINDS,BUT WE CAN ADJUST OUR SAILS
ST20240118_210108_BE KIND OF A BITCH,BE KIND OF,A BITCH
ST20240118_210110_GIVE IT TO GOD AND GO TO SLEEP,GIVE IT TO GOD,AND GO TO SLEEP
ST20240118_210111_I AM A BAD INFLUENCE BUT FUN,I AM A BAD,INFLUENCE BUT FUN
ST20240118_210112_I DONT GIVE A DUCK,I DON'T GIVE,A DUCK!!
ST20240118_210113_LIFE IS A JOURNEY ENJOY IT,LIFE IS A,JOURNEY ENJOY IT
