SKU,Name1,Name2
ST20240120_193756_ENGLISH IS IMPORTANT BUT GEOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT GEOGRAPHY IS IMPORTANTER
ST20240120_193757_ENGLISH IS IMPORTANT BUT CHEMISTRY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT CHEMISTRY IS IMPORTANTER
ST20240120_193758_ENGLISH IS IMPORTANT BUT MATH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MATH IS IMPORTANTER
ST20240120_193759_ENGLISH IS IMPORTANT BUT PHYSICS IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PHYSICS IS IMPORTANTER
ST20240120_193800_ENGLISH IS IMPORTANT BUT ENGINEERING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ENGINEERING IS IMPORTANTER
ST20240120_193801_ENGLISH IS IMPORTANT BUT GAMING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT GAMING IS IMPORTANTER
ST20240120_193802_ENGLISH IS IMPORTANT BUT SCIENCE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SCIENCE IS IMPORTANTER
ST20240120_193804_ENGLISH IS IMPORTANT BUT HISTORY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT HISTORY IS IMPORTANTER
ST20240120_193805_ENGLISH IS IMPORTANT BUT SLEEP IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SLEEP IS IMPORTANTER
ST20240120_193806_ENGLISH IS IMPORTANT BUT WRITING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT WRITING IS IMPORTANTER
ST20240120_193807_ENGLISH IS IMPORTANT BUT PAINTING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PAINTING IS IMPORTANTER
ST20240120_193808_ENGLISH IS IMPORTANT BUT FARMING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT FARMING IS IMPORTANTER
ST20240120_193809_ENGLISH IS IMPORTANT BUT PHOTOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PHOTOGRAPHY IS IMPORTANTER
ST20240120_193810_ENGLISH IS IMPORTANT BUT SKIING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SKIING IS IMPORTANTER
ST20240120_193811_ENGLISH IS IMPORTANT BUT INSTRUMENTAL MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT INSTRUMENTAL MUSIC IS IMPORTANTER
ST20240120_193812_ENGLISH IS IMPORTANT BUT MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MUSIC IS IMPORTANTER
ST20240120_193813_ENGLISH IS IMPORTANT BUT ASTRONOMY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ASTRONOMY IS IMPORTANTER
ST20240120_193814_ENGLISH IS IMPORTANT BUT HEALTH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT HEALTH IS IMPORTANTER
ST20240120_193815_ENGLISH IS IMPORTANT BUT DANCE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT DANCE IS IMPORTANTER
ST20240120_193816_ENGLISH IS IMPORTANT BUT PE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PE IS IMPORTANTER
ST20240120_193817_ENGLISH IS IMPORTANT BUT CHEMICAL ENGINEERING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT CHEMICAL ENGINEERING IS IMPORTANTER
ST20240120_193818_ENGLISH IS IMPORTANT BUT COMEDY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT COMEDY IS IMPORTANTER
ST20240120_193819_ENGLISH IS IMPORTANT BUT ART IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ART IS IMPORTANTER
ST20240120_193820_ENGLISH IS IMPORTANT BUT ECONOMIE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ECONOMIE IS IMPORTANTER
ST20240120_193821_ENGLISH IS IMPORTANT BUT PHILOSOPHY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PHILOSOPHY IS IMPORTANTER
ST20240120_193822_ENGLISH IS IMPORTANT BUT EATING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT EATING IS IMPORTANTER
ST20240120_193823_ENGLISH IS IMPORTANT BUT SPANISH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SPANISH IS IMPORTANTER
ST20240120_193824_ENGLISH IS IMPORTANT BUT COFFEE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT COFFEE IS IMPORTANTER
ST20240120_193825_ENGLISH IS IMPORTANT BUT ROBOTICS IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ROBOTICS IS IMPORTANTER
ST20240120_193826_ENGLISH IS IMPORTANT BUT PSYCHOLOGY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PSYCHOLOGY IS IMPORTANTER
ST20240120_193827_ENGLISH IS IMPORTANT BUT BUSINESS STUDIES IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT BUSINESS STUDIES IS IMPORTANTER
ST20240120_193828_ENGLISH IS IMPORTANT BUT NUTRITION IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT NUTRITION IS IMPORTANTER
ST20240120_193829_ENGLISH IS IMPORTANT BUT MEDICINE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MEDICINE IS IMPORTANTER
ST20240120_193830_ENGLISH IS IMPORTANT BUT ECONOMICS IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ECONOMICS IS IMPORTANTER
ST20240120_193831_ENGLISH IS IMPORTANT BUT MINDSET IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MINDSET IS IMPORTANTER
ST20240120_193832_ENGLISH IS IMPORTANT BUT COOKING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT COOKING IS IMPORTANTER
ST20240120_193833_ENGLISH IS IMPORTANT BUT PLUMBING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PLUMBING IS IMPORTANTER
ST20240120_193834_ENGLISH IS IMPORTANT BUT DESIGN AND TECHNOLOGY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT DESIGN AND TECHNOLOGY IS IMPORTANTER
ST20240120_193835_ENGLISH IS IMPORTANT BUT FINANCE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT FINANCE IS IMPORTANTER
ST20240120_193836_ENGLISH IS IMPORTANT BUT RECYCLING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT RECYCLING IS IMPORTANTER
ST20240120_193837_ENGLISH IS IMPORTANT BUT DRAWING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT DRAWING IS IMPORTANTER
ST20240120_193838_ENGLISH IS IMPORTANT BUT SLOTH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SLOTH IS IMPORTANTER
ST20240120_193839_ENGLISH IS IMPORTANT BUT BIOLOGY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT BIOLOGY IS IMPORTANTER
