SKU,Name1,Name2
ST20240120_220617_ENGLISH IS IMPORTANT BUT GEOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT GEOGRAPHY IS IMPORTANTER
ST20240120_220618_ENGLISH IS IMPORTANT BUT CHEMISTRY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT CHEMISTRY IS IMPORTANTER
ST20240120_220619_ENGLISH IS IMPORTANT BUT MATH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MATH IS IMPORTANTER
ST20240120_220620_ENGLISH IS IMPORTANT BUT PHYSICS IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PHYSICS IS IMPORTANTER
ST20240120_220621_ENGLISH IS IMPORTANT BUT ENGINEERING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ENGINEERING IS IMPORTANTER
ST20240120_220622_ENGLISH IS IMPORTANT BUT GAMING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT GAMING IS IMPORTANTER
ST20240120_220623_ENGLISH IS IMPORTANT BUT SCIENCE IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SCIENCE IS IMPORTANTER
ST20240120_220624_ENGLISH IS IMPORTANT BUT HISTORY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT HISTORY IS IMPORTANTER
ST20240120_220625_ENGLISH IS IMPORTANT BUT SLEEP IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SLEEP IS IMPORTANTER
ST20240120_220626_ENGLISH IS IMPORTANT BUT WRITING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT WRITING IS IMPORTANTER
ST20240120_220627_ENGLISH IS IMPORTANT BUT PAINTING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PAINTING IS IMPORTANTER
ST20240120_220628_ENGLISH IS IMPORTANT BUT FARMING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT FARMING IS IMPORTANTER
ST20240120_220629_ENGLISH IS IMPORTANT BUT PHOTOGRAPHY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT PHOTOGRAPHY IS IMPORTANTER
ST20240120_220630_ENGLISH IS IMPORTANT BUT SKIING IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT SKIING IS IMPORTANTER
ST20240120_220631_ENGLISH IS IMPORTANT BUT INSTRUMENTAL MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT INSTRUMENTAL MUSIC IS IMPORTANTER
ST20240120_220632_ENGLISH IS IMPORTANT BUT MUSIC IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT MUSIC IS IMPORTANTER
ST20240120_220633_ENGLISH IS IMPORTANT BUT ASTRONOMY IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT ASTRONOMY IS IMPORTANTER
ST20240120_220634_ENGLISH IS IMPORTANT BUT HEALTH IS IMPORTANTER,ENGLISH IS IMPORTANT,BUT HEALTH IS IMPORTANTER
