SKU,Name1,Name2
ST20240121_174748_I AM NOT A COPY I AM NOT A CTRL+C CTRL+V,"I AM NOT A COPY, I AM",NOT A CTRL+C CTRL+V
ST20240121_174749_I AM NOT A HOARDER,I AM NOT A,HOARDER
ST20240121_174750_I AM NOT OLD I AM A CLASSIC,I AM NOT OLD I,AM A CLASSIC
ST20240121_174751_NO THIS IS NOT A BIT I AM IN CHARACTER,"NO, THIS IS NOT A BIT",I AM IN CHARACTER
ST20240121_174752_I AM HERE LIVE I AM NOT A CAT,I AM HERE LIVE I,AM NOT A CAT
ST20240121_174753_I AM A FREE I AM NOT MAN A NUMBER,I AM A FREE! I AM,NOT MAN! A NUMBER!
ST20240121_174754_I AM NOT A HERO NOT A LEGEN I AM A VETERAN,I AM NOT A HERO NOT A,LEGEN I AM A VETERAN
ST20240121_174755_I AM NOT A GEEK,I AM NOT,A GEEK
ST20240121_174756_I AM A MEME NOT AN INFLUENCER,I AM A MEME NOT,AN INFLUENCER
ST20240121_174757_I AM NOT A GOD I AM JUST A MAN,"I AM NOT A GOD, I",AM JUST A MAN
ST20240121_174758_I AM NOT A NUMBER,I AM NOT A,NUMBER
ST20240121_174759_I AM NOT A JOURNALIST,I AM NOT A,JOURNALIST
ST20240121_174800_IF ITS NOT A BOEING I AM NOT GOING,IF ITS NOT A,"BOEING, I AM NOT GOING"
ST20240121_174801_IM NOT LIKE A BOSS I AM THE BOSS,I'M NOT LIKE A,BOSS I AM THE BOSS
ST20240121_174802_IM NOT SUPERSTITIOUS BUT I AM A LITTLE STITIOUS,"I'M NOT SUPERSTITIOUS, BUT",I AM A LITTLE STITIOUS
ST20240121_174803_I AM NOT A MERRY MAN,I AM NOT A,MERRY MAN
ST20240121_174804_WHY IM NOT A REPUBLICAN IM NOT A TRAITOR,WHY I'M NOT A,REPUBLICAN I'M NOT A TRAITOR
ST20240121_174805_IM NOT A PSYCHOPATH IM A HIGHFUNCTIONING SOCIOPATH,"I'M NOT A PSYCHOPATH, I'M A",HIGH-FUNCTIONING SOCIOPATH
ST20240121_174806_I AM A WOMAN NOT A WOMB,I AM A WOMAN,NOT A WOMB
ST20240121_174807_I AM A DESIGNER NOT A FUCKING SCREWDRIVER,I AM A DESIGNER NOT A,FUCKING SCREWDRIVER
ST20240121_174808_IM NOT OLD IM CLASSIC,I'M NOT OLD,I'M CLASSIC
ST20240121_174809_IM A GAMER I EARN MONEY,I'M A GAMER I,EARN MONEY
ST20240121_174810_I AM NOT A MORNING PERSON,I AM NOT A,MORNING PERSON
ST20240121_174811_I AM NOT A ROBOT CAPTCHA PROOF,I AM NOT A ROBOT,CAPTCHA PROOF
ST20240121_174812_IM BASICALLY A ROBOT,I'M,BASICALLY A ROBOT
ST20240121_174813_I AM NOT MOST WOMEN,I AM NOT,MOST WOMEN
ST20240121_174814_I AM FIRE NOT A FLOWER,I AM FIRE NOT,A FLOWER
ST20240121_174815_I AM CAN NOT KEEP CLAM I AM HAVING A BABY,I AM CAN NOT KEEP CLAM,I AM HAVING A BABY
ST20240121_174816_I AM NOT YELLING I AM A LUNCH LADY WE JUST TALK LOUD,I AM NOT YELLING I AM A,LUNCH LADY WE JUST TALK LOUD
ST20240121_174817_I AM NOT A STEREOTYPE,I AM NOT A,STEREOTYPE
ST20240121_174818_I AM NOT A CROOK BY TODAYS STANDARDS,I AM NOT A CROOK BY,TODAY'S STANDARDS
ST20240121_174819_NOT ONLY A GRANDPA I AM A GREAT GRANDPA,NOT ONLY A GRANDPA I,AM A GREAT GRANDPA
ST20240121_174820_IM A GAMER I EARN MONEY IM NOT UNEMPLOYED,"I'M A GAMER, I EARN","MONEY, I'M NOT UNEMPLOYED"
ST20240121_174821_I AM NOT A BITCH I AM A TELLER OF UNPOPULAR TRUTHS,"I AM NOT A BITCH, I AM A",TELLER OF UNPOPULAR TRUTHS
ST20240121_174822_I AM NOT A CHEF,I AM NOT,A CHEF
ST20240121_174823_I HAVE NO DESIRE TO HARM ANYONE I AM NOT CARRYING A WEAPON,I HAVE NO DESIRE TO HARM ANYONE,I AM NOT CARRYING A WEAPON
ST20240121_174824_I AM NOT A HOT MESS I AM A SPICY DISASTER,I AM NOT A HOT MESS I,AM A SPICY DISASTER
ST20240121_174825_I AM NOT A FUCKING IDIOT,I AM NOT A,FUCKING IDIOT
ST20240121_174826_I AM NOT A DARKPAL,I AM NOT A,DARKPAL
ST20240121_174827_I AM NOT A MACHINE,I AM NOT A,MACHINE
ST20240121_174828_I AM NOT OLD,I AM NOT,OLD
ST20240121_174829_I AM NOT A VIOLATION,I AM NOT A,VIOLATION
ST20240121_174830_I AM NOT SINGLE I HAVE A CAT,I AM NOT SINGLE,I HAVE A CAT
ST20240121_174831_I AM NOT A PHONE,I AM NOT A,PHONE
ST20240121_174832_I AM NOT A PLAYER I AM A GAMER,I AM NOT A PLAYER,I AM A GAMER
ST20240121_174833_I AM NOT A USER I AM AN IAM ROLE,I AM NOT A USER. I,AM AN IAM ROLE
