SKU,Name1,Name2
ST20240123_213402_ITS A MAJOR AWARD,IT'S A,MAJOR AWARD!
ST20240123_213404_ACT JUSTLY LOVE MERCY WALK HUMBLY,"ACT JUSTLY, LOVE","MERCY, WALK HUMBLY"
ST20240123_213405_BAD CHOICES MAKE GOOD STORIES,BAD CHOICES MAKE,GOOD STORIES
ST20240123_213406_I'D BUY THAT FOR A DOLLAR,I'D BUY THAT,FOR A DOLLAR
ST20240123_213407_UMM YEAH THATD BE GREAT,UMM YEAH,THAT'D BE GREAT
ST20240123_213408_CANT HELP FALLING IN LOVE,CAN'T HELP,FALLING IN LOVE
ST20240123_213409_I RUN ON COFFEE SARCASM AND LIPSTICK,"I RUN ON COFFEE,",SARCASM AND LIPSTICK
ST20240123_213410_REMEMBER ITS ONLY A GAME,REMEMBER IT'S,ONLY A GAME
ST20240123_213411_DISCOVERING THE TRUTH ABOUT OURSELVES,DISCOVERING THE,TRUTH ABOUT OURSELVES
ST20240123_213412_IM LOOKING TO SHARE IN AN ADVENTURE,I'M LOOKING TO SHARE,IN AN ADVENTURE
ST20240123_213413_WOMEN BELONG IN ALL PLACES,WOMEN BELONG IN,ALL PLACES
ST20240123_213414_I BECAME A NURSE FOR THE MONEY AND FAME,I BECAME A NURSE FOR,THE MONEY AND FAME
ST20240123_213415_YOURE IN MY WORLD NOW GRANDMA,YOU'RE IN MY,WORLD NOW GRANDMA
ST20240123_213416_DONT BE THE BUNNY,DON'T BE,THE BUNNY
ST20240123_213417_DREAMS COME TRUE YEAH THEY DO,"DREAMS COME TRUE,",YEAH THEY DO
ST20240123_213418_STARS CANT DO IT NOT TODAY,STARS. CAN'T DO,IT. NOT TODAY.
ST20240123_213419_IM IN THE DEPTHS OF DESPAIR,I'M IN THE,DEPTHS OF DESPAIR
ST20240123_213420_ASEXUAL PIRATES ARE NOT INTERESTED IN YOUR BOOTY,ASEXUAL PIRATES ARE NOT,INTERESTED IN YOUR BOOTY
ST20240123_213421_DON'T WORRY ABOUT IT SWEETHEART,DON'T WORRY ABOUT,"IT, SWEETHEART"
ST20240123_213422_MAKE IT SIMPLE BUT SIGNIFICANT,"MAKE IT SIMPLE,",BUT SIGNIFICANT
ST20240123_213423_ITS A BEAUTIFUL DAY FOR ACCOUNTING,IT'S A BEAUTIFUL,DAY FOR ACCOUNTING
ST20240123_213424_IM BUSY READING FANTASY BOOKS,I'M BUSY READING,FANTASY BOOKS
ST20240123_213425_SORROWS SORROWS PRAYERS,"SORROWS,","SORROWS, PRAYERS."
ST20240123_213426_PAIN AND PANIC REPORTING FOR DUTY,PAIN AND PANIC,REPORTING FOR DUTY
ST20240123_213427_IN MY DEFENSE I WORK IN MARKETING,"IN MY DEFENSE, I",WORK IN MARKETING
ST20240123_213428_FOLLOW THE YELLOW BRICK ROAD,FOLLOW THE,YELLOW BRICK ROAD
ST20240123_213429_WHO WILL TELL THE STORY OF YOUR LIFE,WHO WILL TELL THE,STORY OF YOUR LIFE?
ST20240123_213430_FOR YOU A THOUSAND TIMES OVER,"FOR YOU, A",THOUSAND TIMES OVER
ST20240123_213431_YOU COULD EAT ANOTHER BITE,YOU COULD EAT,ANOTHER BITE
ST20240123_213432_SAFE SPACE TO BE WHO YOU ARE,SAFE SPACE TO BE,WHO YOU ARE
ST20240123_213433_THIS IS OUR FUCKING CITY,THIS IS OUR,FUCKING CITY
ST20240123_213434_DONT BURN THE DAY AWAY,DON'T BURN,THE DAY AWAY
ST20240123_213435_BE CAREFUL I'M A LAWYER,"BE CAREFUL,",I'M A LAWYER
ST20240123_213436_ICE CREAM WILL FIX IT,ICE CREAM,WILL FIX IT
ST20240123_213437_ALL OF THE TEENAGE MUTANT TURTLES ARE BLUE,ALL OF THE TEENAGE,MUTANT TURTLES ARE BLUE
ST20240123_213438_TAKE THE ROAD LESS TRAVELED ON,TAKE THE ROAD,LESS TRAVELED ON
ST20240123_213439_I JUST NEED YOUR NAME,I JUST NEED,YOUR NAME
ST20240123_213440_DO NOT COME CRYING TO ME,DO NOT COME,CRYING TO ME
ST20240123_213441_GO AHEAD MAKE MY DAY,GO AHEAD,MAKE MY DAY
ST20240123_213442_TOMORROW AND TOMORROW AND TOMORROW,"'TOMORROW, AND","TOMORROW, AND TOMORROW"
ST20240123_213443_HOME IS BEHIND THE WORLD AHEAD,HOME IS BEHIND,THE WORLD AHEAD
ST20240123_213444_THIS IS ME TRYING,THIS IS ME,TRYING
ST20240123_213445_I DIDNT EXPECT TO SURVIVE,I DIDN'T EXPECT,TO SURVIVE
ST20240123_213446_THE SUN WILL RISE AND WE WILL TRY AGAIN,THE SUN WILL RISE AND,WE WILL TRY AGAIN
ST20240123_213447_THERE IS NO SUNSHINE ONLY DARKNESS,THERE IS NO,"SUNSHINE, ONLY DARKNESS"
ST20240123_213448_IN THE END IT DOESNT EVEN MATTER,"IN THE END, IT",DOESNT EVEN MATTER
ST20240123_213449_THE MARKS THEY LEAVE BEHIND,THE MARKS THEY,LEAVE BEHIND
ST20240123_213450_DONT JUST STARE AT IT EAT IT,DONT JUST STARE,"AT IT, EAT IT."
ST20240123_213451_WHEN YOU KNOW BETTER DO BETTER,WHEN YOU KNOW,"BETTER, DO BETTER"
ST20240123_213452_LOSE YOUR MIND FIND YOUR SOUL,LOSE YOUR MIND,FIND YOUR SOUL
ST20240123_213453_COOL COOL COOL NO DOUBT NO DOUBT,COOL COOL COOL NO,DOUBT NO DOUBT
ST20240123_213454_OH WHAT A BEAUTIFUL MORNING,OH WHAT A,BEAUTIFUL MORNING
ST20240123_213455_ITS A BIT NIPPLY OUT,IT'S A BIT,NIPPLY OUT
ST20240123_213456_I SAW NOTHING BUT BEAUTY,I SAW NOTHING,BUT BEAUTY
ST20240123_213457_THE BRAVEST THING YOU CAN BE IS YOURSELF,THE BRAVEST THING YOU,CAN BE IS YOURSELF
ST20240123_213458_A LITTLE DIRT NEVER HURT,A LITTLE DIRT,NEVER HURT
ST20240123_213459_WHEN I DIE DONT LET ME VOTE DEMOCRAT,WHEN I DIE DON'T LET,ME VOTE DEMOCRAT
ST20240123_213500_WHEN I DIE THE DOG GETS EVERYTHING,WHEN I DIE THE DOG,GETS EVERYTHING
ST20240123_213501_WHEN I DIE I MAY NOT GO TO HEAVEN,WHEN I DIE I MAY,NOT GO TO HEAVEN
ST20240123_213502_I FULLY INTEND TO HAUNT PEOPLE WHEN I DIE,I FULLY INTEND TO,HAUNT PEOPLE WHEN I DIE
ST20240123_213503_WHEN I DIE MY FISH GETS EVERYTHING,WHEN I DIE MY FISH,GETS EVERYTHING
ST20240123_213504_I MAY NOT BE PERFECT,I MAY NOT BE,PERFECT
ST20240123_213505_WHEN I DIE MY GERMAN SHEPHERD GETS EVERYTHING,WHEN I DIE MY GERMAN,SHEPHERD GETS EVERYTHING
ST20240123_213506_WHEN I DIE THROW ME IN THE TRASH,WHEN I DIE THROW,ME IN THE TRASH
ST20240123_213507_WHEN I DIE DONT LET ME VOTE REPUBLICAN,WHEN I DIE DON'T LET,ME VOTE REPUBLICAN
ST20240123_213508_PICKLE ME WHEN I DIE,PICKLE ME,WHEN I DIE
ST20240123_213509_ROLL ME UP AND SMOKE ME WHEN I DIE,ROLL ME UP AND,SMOKE ME WHEN I DIE
ST20240123_213510_I HATE WHEN GIRLS DIE,I HATE WHEN,GIRLS DIE
ST20240123_213511_WHEN I DIE LETS COWBOYS IN,WHEN I DIE LETS,COWBOYS IN
ST20240123_213512_WATER MY PLANTS WHEN I DIE,WATER MY PLANTS,WHEN I DIE
ST20240123_213513_WHEN I DIE BURN MY KINDLE,WHEN I DIE,BURN MY KINDLE
ST20240123_213514_WHEN IM DEAD JUST THROW ME IN THE TRASH,WHEN I'M DEAD JUST,THROW ME IN THE TRASH
ST20240123_213515_I DONT ALWAYS DIE WHEN PLAYING VIDEO GAMES,I DON'T ALWAYS DIE WHEN,PLAYING VIDEO GAMES
ST20240123_213516_I CRY WHEN FICTIONAL CHARACTERS DIE,I CRY WHEN,FICTIONAL CHARACTERS DIE
