SKU,Name1,Name2
ST20240123_050513_JUST A GIRL WHO LOVES SUNFLOWERS,JUST A GIRL WHO,LOVES SUNFLOWERS
ST20240123_050514_BE KIND TO THE EARTH,BE KIND TO,THE EARTH
ST20240123_050515_REMEMBER WHY YOU STARTED,REMEMBER WHY,YOU STARTED
ST20240123_050516_I BECAME A STREET CLEANER FOR THE MONEY AND FAME,I BECAME A STREET CLEANER,FOR THE MONEY AND FAME
ST20240123_050517_NO COMPLAINING ABOUT EARLY MORNING DEPARTURES,NO COMPLAINING ABOUT,EARLY MORNING DEPARTURES
ST20240123_050518_SLEIGHING THE HOLIDAYS ONE LAUGH AT A TIME,"SLEIGHING THE HOLIDAYS,",ONE LAUGH AT A TIME
ST20240123_050519_TRESS IN YOUR EYES STARS IN YOUR HEART,TRESS IN YOUR EYES,STARS IN YOUR HEART
ST20240123_050520_MOM I AM A RICH MAN,MOM I AM A,RICH MAN
ST20240123_050521_STORMS MAKE TREES TAKE DEEPER ROOTS,STORMS MAKE TREES,TAKE DEEPER ROOTS
ST20240123_050522_WORLDS OKAYEST CLERIC,WORLD'S,OKAYEST CLERIC
ST20240123_050523_ITS ALL IN THE MIND YKNOW,IT'S ALL IN THE,MIND Y'KNOW
ST20240123_050524_I GOT CUPS ON MY EARS,I GOT CUPS,ON MY EARS
ST20240123_050525_SORRY IM LATE I SAW CAT,SORRY I'M LATE,I SAW CAT
ST20240123_050526_PLEASE BE PATIENT IM TRYING TO CARE,PLEASE BE PATIENT,I'M TRYING TO CARE
ST20240123_050527_MAY YOUR MEMES BE DANK AND YOUR RESOLUTIONS NONEXISTENT,MAY YOUR MEMES BE DANK AND,YOUR RESOLUTIONS NONEXISTENT
ST20240123_050528_ASSUMING DIRECT CONTROL,ASSUMING,DIRECT CONTROL
ST20240123_050529_WANDERLUST AT HEART CRAVING THE OPEN ROAD,"WANDERLUST AT HEART,",CRAVING THE OPEN ROAD
ST20240123_050530_DONT HONK AT ME I HAVE ANXIETY,DON'T HONK AT ME,I HAVE ANXIETY
ST20240123_050531_NEVER FORGET HOW WILDLY CAPABLE YOU ARE,NEVER FORGET HOW,WILDLY CAPABLE YOU ARE
ST20240123_050532_SOME PEOPLE ARE GONNA GET SERIOUSLY HAUNTED,SOME PEOPLE ARE GONNA,GET SERIOUSLY HAUNTED
ST20240123_050533_DONT HONK AT ME LOSER IM GOING SHOPPING,DON'T HONK AT ME LOSER,I'M GOING SHOPPING
ST20240123_050534_DONT MAKE ME USE MY AIR TRAFFIC CONTROLLER VOICE,DON'T MAKE ME USE MY AIR,TRAFFIC CONTROLLER VOICE
ST20240123_050535_NEVER SKIP LEG DAY,NEVER SKIP,LEG DAY!!!
ST20240123_050536_I HEAR YOU LIKE BAD BOYS IM BAD AT EVERYTHING,I HEAR YOU LIKE BAD BOYS,I'M BAD AT EVERYTHING
ST20240123_050537_CONSERVATION IS A PACT WITH THE FUTURE,CONSERVATION IS A,PACT WITH THE FUTURE
ST20240123_050538_IM NOT ANTISOCIAL IM SELECTIVELY AVOIDING STUPIDITY,"I'M NOT ANTISOCIAL, I'M",SELECTIVELY AVOIDING STUPIDITY
ST20240123_050539_CONSERVATIONISTS THE CLOWNS OF MOTHER NATURES CIRCUS,"CONSERVATIONISTS, THE CLOWNS",OF MOTHER NATURE'S CIRCUS
ST20240123_050540_OPEN ROADS WILD SPIRITS ENDLESS POSSIBILITIES,"OPEN ROADS, WILD SPIRITS,",ENDLESS POSSIBILITIES
