SKU,Name1,Name2
ST20240127_091110_DO NOT DISTURB IM EDITING,"DO NOT DISTURB,",I'M EDITING
ST20240127_091111_I CANT IM BUSY,"I CAN'T,",I'M BUSY
ST20240127_091112_IM NOT CHIL FREE IM JUST CAT BUSY,"I'M NOT CHIL FREE,",I'M JUST CAT BUSY
ST20240127_091113_IM NOT GAY I JUST HELP OUT WHEN THEYRE BUSY,"I'M NOT GAY, I JUST HELP",OUT WHEN THEY'RE BUSY
ST20240127_091114_NOT TODAY IM TOO BUSY TRADING,NOT TODAY I'M TOO,BUSY TRADING
ST20240127_091115_DO NOT DISTURB IM GAMING,DO NOT DISTURB,I'M GAMING
ST20240127_091116_IM BUSY DOING NOTHING,I'M BUSY,DOING NOTHING
ST20240127_091117_ICANT IM BUSY GROWING A HUMAN,I'CAN'T I'M BUSY,GROWING A HUMAN
ST20240127_091118_NOT TODAY IM BUSY SAVING LIVES,"NOT TODAY, I'M",BUSY SAVING LIVES
ST20240127_091119_SORRY IM LATE I WAS BUSY OVERTHINKING,SORRY I'M LATE I WAS,BUSY OVERTHINKING
ST20240127_091120_NOT TODAY IM TOO BUSY FITTING PIPES,NOT TODAY I'M TOO,BUSY FITTING PIPES
ST20240127_091121_IM NOT SICK I HAVE A CASE OF CORONA,I'M NOT SICK I HAVE,A CASE OF CORONA
ST20240127_091122_NOT TODAY SANTA IM BUSY,NOT TODAY,SANTA I'M BUSY
ST20240127_091123_GO AWAY IM BUSY,GO AWAY!,I'M BUSY!
ST20240127_091124_NOT TODAY IM TOO BUSY HEALING PEOPLE,NOT TODAY I'M TOO,BUSY HEALING PEOPLE
ST20240127_091125_NOT TODAY IM TOO BUSY BUILDING,NOT TODAY I'M TOO,BUSY BUILDING
ST20240127_091126_IM NOT LAZY IM IN POWER SAVING MODE,I'M NOT LAZY I'M IN,POWER SAVING MODE
ST20240127_091127_NOT NOW IM BUSY,NOT NOW,I'M BUSY
ST20240127_091128_GO AWAY IM BUSY DO NOT ASK ME AGAIN,"GO AWAY I'M BUSY, DO",NOT ASK ME AGAIN
ST20240127_091129_DONT BOTHER ME IM CRABBY,DON'T BOTHER ME,I'M CRABBY
ST20240127_091130_NOT TODAY IM TOO BUSY DESIGNING,NOT TODAY I'M TOO,BUSY DESIGNING
ST20240127_091131_NOT TODAY IM TOO BUSY FIXING THE WORLD,NOT TODAY I'M TOO,BUSY FIXING THE WORLD
ST20240127_091132_ITS FINE IM FINE EVERYTHING IS FINE,IT'S FINE. I'M FINE.,EVERYTHING IS FINE
ST20240127_091133_NOT NOW IM BUSY,"NOT NOW,",I'M BUSY
ST20240127_091134_SORRY IM TOO BUSY NOT CARING TEXT,SORRY I'M TOO BUSY,NOT CARING TEXT
ST20240127_091135_I AM NOT FINE,I AM, NOT FINE
ST20240127_091136_I AM WORKING,I AM,WORKING!
ST20240127_091137_NOT TODAY IM TOO BUSY PUTTING BAD GUYS IN JAIL,NOT TODAY I'M TOO BUSY,PUTTING BAD GUYS IN JAIL
ST20240127_091138_NOT TODAY IM TOO BUSY FIXING CARS,NOT TODAY I'M TOO,BUSY FIXING CARS
ST20240127_091139_I CANT HEAR YOU IM GAMING,I CAN'T HEAR,YOU I'M GAMING
ST20240127_091140_NOT TODAY IM TOO BUSY HEALING,NOT TODAY I'M TOO,BUSY HEALING
ST20240127_091141_IM NOT LAZY JUST BUFFERING,I'M NOT LAZY,JUST BUFFERING
ST20240127_091142_ILL NOT KEEP CALM IM TOO BUSY,I'LL NOT KEEP,"CALM, I'M TOO BUSY"
ST20240127_091143_NOT NOW IM BUSY RACING,"NOT NOW, I'M",BUSY RACING
ST20240127_091144_NO IM NOT BUSY I JUST CANCELLED YOU,"NO I'M NOT BUSY, I",JUST CANCELLED YOU
ST20240127_091145_IM NOT OLD IM VINTAGE,I'M NOT OLD,I'M VINTAGE
ST20240127_091146_I'M NOT BUSY I'M PRODUCTIVE,"I'M NOT BUSY,",I'M PRODUCTIVE
ST20240127_091147_SORRY IM BUSY AVOIDING PEOPLE,"SORRY, I'M BUSY",AVOIDING PEOPLE
ST20240127_091148_SORRY IF I LOOKED INTERESTED IM NOT,SORRY IF I LOOKED,INTERESTED. I'M NOT.
ST20240127_091149_IM NOT ALONE I HAVE A CAT,I'M NOT ALONE I,HAVE A CAT
ST20240127_091151_I'D LOVE TO STAY AND CHAT BUT I'M LYING,I'D LOVE TO STAY AND,CHAT BUT I'M LYING
ST20240127_091152_DO NOT DISTURB IM TRYNNA WORK,DO NOT DISTURB,I'M TRYNNA WORK
ST20240127_091153_NO I'M NOT BUSY NOT BUSY AT ALL,"NO, I'M NOT BUSY.",NOT BUSY AT ALL.
ST20240127_091154_IM NOT TOO BUSY YOU JUST NOT A PRIORITY,I'M NOT TOO BUSY YOU,JUST NOT A PRIORITY
ST20240127_091155_CANT HEAR YOU IM BUSY GAMING,CAN'T HEAR YOU,I'M BUSY GAMING
ST20240127_091156_DONT DISTURB IM BUSY,DON'T DISTURB,I'M BUSY
ST20240127_091157_NOT TODAY IM BUSY WITH IMPORTANT MATTERS,"NOT TODAY, I'M BUSY",WITH IMPORTANT MATTERS
ST20240127_091158_IM NOT LAZY IM JUST ENERGY EFFICIENT,"I'M NOT LAZY, I'M",JUST ENERGY EFFICIENT
ST20240127_091159_NOT TODAY IM TOO BUSY EXPERIMENTING WITH CHEMICAL SUBSTANCES,NOT TODAY I'M TOO BUSY,EXPERIMENTING WITH CHEMICAL SUBSTANCES
ST20240127_091200_GO DISAPPOINT THE NEXT BITCH IM BUSY,GO DISAPPOINT THE,NEXT BITCH I'M BUSY
ST20240127_091201_IM NOT AVOIDING WORK IM MULTITASKING BY DOING NOTHING,"I'M NOT AVOIDING WORK, I'M",MULTITASKING BY DOING NOTHING
ST20240127_091202_NOT TODAY IM TOO BUSY GETTING PEOPLE DRUNK,NOT TODAY I'M TOO BUSY,GETTING PEOPLE DRUNK
ST20240127_091203_IM BUSY GUYS,I AM, BUSY GUYS
ST20240127_091204_IM NOT LAZY I JUST REALLY ENJOY DOING NOTHING,I'M NOT LAZY! I JUST,REALLY ENJOY DOING NOTHING
ST20240127_091205_I AM NOT HERE,I AM, NOT HERE
ST20240127_091206_I'M OBSESSED WITH FOOD,I'M OBSESSED,WITH FOOD
ST20240127_091207_SORRY IM NOT AVAILABLE NOW,"SORRY, I'M NOT",AVAILABLE NOW
ST20240127_091208_NOT TODAY IM BUSZZZZ,NOT TODAY I'M,BUSZZZZ!
ST20240127_091209_SORRY IM NOT HERE AT THE MOMENT,"SORRY, I'M NOT",HERE AT THE MOMENT
ST20240127_091210_SORRY IM TOO BUSY PLAYING GAMES IN MY HEAD,"SORRY, I'M TOO BUSY",PLAYING GAMES IN MY HEAD
ST20240127_091211_IM PROBABLY BUSY THAT DAY,I'M PROBABLY,BUSY THAT DAY
ST20240127_091212_SORRY IM LATE I W,SORRY I'M,"LATE, I W"
ST20240127_091213_IM NOT LAZY I CALL IT SELECTIVE PARTICIPATION,I'M NOT LAZY I CALL IT,SELECTIVE PARTICIPATION
ST20240127_091214_NOT SINGLE NOT TAKEN IM TOO BUSY SKATING,NOT SINGLE NOT TAKEN,I'M TOO BUSY SKATING
ST20240127_091215_IM NOT YELLING THIS IS MY SOCCER VOICE,I'M NOT YELLING THIS,IS MY SOCCER VOICE
ST20240127_091216_NOT TODAY IM TOO BUSY PUTTING FIRES OUT,NOT TODAY I'M TOO BUSY,PUTTING FIRES OUT
ST20240127_091217_TODAY IM NOT BUSY TAKE ME TO COFFEE,"TODAY I'M NOT BUSY,",TAKE ME TO COFFEE
ST20240127_091218_IM NOT RETIRED IM BUSY SPOILING MY GRANDCHILDREN,I'M NOT RETIRED I'M BUSY,SPOILING MY GRANDCHILDREN
ST20240127_091219_IM NOT CRAZY JUST BUSY GIFT FOR A BUSY PERSON,I'M NOT CRAZY JUST BUSY,GIFT FOR A BUSY PERSON
ST20240127_091220_I'M NOT RETIRED I'M A FULLTIME GRANDMA,I'M NOT RETIRED I'M,A FULL-TIME GRANDMA
ST20240127_091221_I COULD HELP YOU BUT IM TOO BUSY FOR THAT,I COULD HELP YOU. BUT,I'M TOO BUSY FOR THAT
ST20240127_091222_IM BUSY DOING SUNDAY,I'M BUSY,DOING SUNDAY
ST20240127_091223_NOT NOW IM VER BUSY,"NOT NOW, I'M",VER BUSY
ST20240127_091224_IM NOT ANTISOCIAL IM JUST BUSY READING,I'M NOT ANTISOCIAL I'M,JUST BUSY READING
ST20240127_091225_NOT TODAY IM TOO BUSY WIRING,NOT TODAY I'M,TOO BUSY WIRING
ST20240127_091226_IM NOT BUSY I JUST CBA,I'M NOT BUSY,I JUST CBA
ST20240127_091227_I DONT SPEAK MUCH BECAUSE IM BRILLIANT AND IM BUSY THINKING,I DON'T SPEAK MUCH BECAUSE I'M,BRILLIANT AND I'M BUSY THINKING
ST20240127_091228_IM NOT ANTISOCIAL IM JUST BUSY ACCOUNTING,"I'M NOT ANTISOCIAL, I'M",JUST BUSY ACCOUNTING
ST20240127_091229_SORRY IM BUSY NOT BEING SOCIAL TODAY,SORRY I'M BUSY NOT,BEING SOCIAL TODAY
ST20240127_091230_I CANT IM BUSY DOING VEGAN STUFF,I CAN'T. I'M BUSY,DOING VEGAN STUFF
ST20240127_091231_CANT YOU SEE IM WORKING HERE,CAN'T YOU SEE I'M,WORKING HERE?
