SKU,Name1,Name2
ST20240128_142337_I WISH FOR THIS,I WISH,FOR THIS
ST20240128_142338_I WISH I WAS IN LONDON,I WISH I WAS,IN LONDON
ST20240128_142339_I WISH FISH WERE REAL,I WISH FISH,WERE REAL
ST20240128_142340_I WISH A HEIFER WOULD,I WISH A,HEIFER WOULD
ST20240128_142341_I WISH IT WERE COLDER,I WISH IT,WERE COLDER
ST20240128_142342_I CAN SLAP 8 PEOPLE AT ONCE,I CAN SLAP 8,PEOPLE AT ONCE
ST20240128_142343_I WISH I COULD BUT I DONT WANT TO,I WISH I COULD BUT,I DON'T WANT TO
ST20240128_142344_I NO LONGER WISH TO BEE MOVIE ALIVE,I NO LONGER WISH TO,BEE MOVIE ALIVE
ST20240128_142346_I WISH I HAD A FRIEND LIKE ME,I WISH I HAD A,FRIEND LIKE ME
ST20240128_142347_I MISS MY MOM,I MISS,MY MOM
ST20240128_142348_I JUST WANNA BE HAPPY,I JUST WANNA,BE HAPPY
ST20240128_142349_I WISH YOU WOULD,I WISH YOU,WOULD
ST20240128_142350_I WISH YOU WOULD FIND YOUR CHILL,I WISH YOU WOULD,FIND YOUR CHILL
ST20240128_142351_TURN I WISH INTO I WILL,TURN I WISH,INTO I WILL
ST20240128_142352_I WISH I WAS FISHING,I WISH I WAS,FISHING
ST20240128_142353_I WISH I KNEW HOW TO QUIT YOU,I WISH I KNEW,HOW TO QUIT YOU
ST20240128_142354_THREE THINGS I WISH A BITCH WOULD,THREE THINGS I,WISH A BITCH WOULD
ST20240128_142355_I WISH YOU EVERY HAPPINESS,I WISH YOU,EVERY HAPPINESS
ST20240128_142356_I WISH I WERE HEATHER,I WISH I,WERE HEATHER
ST20240128_142357_I DO NOT NEED A REALITY CHECK I WISH TO LIVE IN DELUSION,"I DO NOT NEED A REALITY CHECK,",I WISH TO LIVE IN DELUSION
ST20240128_142358_I WILL NOT TOLERATE YOUR BULLSHIT BUT I WISH YOU PEACE,I WILL NOT TOLERATE YOUR,BULLSHIT BUT I WISH YOU PEACE
ST20240128_142359_I REALLY WISH I WERENT HERE RIGHT NOW,I REALLY WISH I,WERENT HERE RIGHT NOW!
ST20240128_142400_LUCKY ME I SEE GHOSTS,LUCKY ME I,SEE GHOSTS
ST20240128_142401_I WISH I MAY I WISH I MIGHT,I WISH I MAY I,WISH I MIGHT
ST20240128_142402_I WISH I WAS A BALLER,I WISH I WAS,A BALLER
ST20240128_142403_ALL I WANT FOR CHRISTMAS IS FILM,ALL I WANT FOR,CHRISTMAS IS FILM!
ST20240128_142404_I WISH I WAS SPECIAL,I WISH I WAS,SPECIAL
ST20240128_142405_ANOTHER BRICK IN THE WALL,ANOTHER BRICK,IN THE WALL
ST20240128_142406_I WISH YOU COULD SEE YOURSELF THE WAY I SEE YOU,I WISH YOU COULD SEE,YOURSELF THE WAY I SEE YOU
ST20240128_142407_I REALLY WISH I WERENT HERE RIGHT NOW,I REALLY WISH I,WEREN'T HERE RIGHT NOW
ST20240128_142408_THE I WISH A BITCH WOODS,THE I WISH A,BITCH WOODS
ST20240128_142409_WISHES COME TRUE NOT FREE,WISHES COME,"TRUE, NOT FREE"
ST20240128_142410_I WISH ME A DRUNKEN CHRISTMAS,I WISH ME A,DRUNKEN CHRISTMAS
ST20240128_142411_I WISH I HAD AN ANGEL,I WISH I HAD,AN ANGEL
ST20240128_142412_I WISH YOU LIVED NEXT DOOR,I WISH YOU,LIVED NEXT DOOR
ST20240128_142413_I WISH IT WAS COLDER,I WISH IT,WAS COLDER
ST20240128_142414_I WISH I WAS AS THIN AS MY PATIENCE,I WISH I WAS AS,THIN AS MY PATIENCE
ST20240128_142415_SMILE BEFORE YOU GO,SMILE,BEFORE YOU GO
ST20240128_142416_I REALLY LOVE MY GIRLFRIEND,I REALLY LOVE,MY GIRLFRIEND
ST20240128_142417_I WISH YOU WERE SOBER,I WISH YOU,WERE SOBER
ST20240128_142418_I WISH I HAD DONE EVERYTHING ON EARTH WITH YOU,I WISH I HAD DONE,EVERYTHING ON EARTH WITH YOU
ST20240128_142419_I WISH I COULD STAY HERE,I WISH I COULD,STAY HERE
ST20240128_142420_I WISH I CARED A LITTLE MORE,I WISH I CARED A,LITTLE MORE
ST20240128_142421_I WISH I WERE DEAD,I WISH I,WERE DEAD
ST20240128_142422_I WISH I WAS A WIZARD,I WISH I WAS,A WIZARD
ST20240128_142423_I WISH I KNEW WHAT I WANT FROM MY BODY,I WISH I KNEW WHAT I,WANT FROM MY BODY
ST20240128_142424_I WISH I COULD AUTOMATE THIS SHIT,I WISH I COULD,AUTOMATE THIS SHIT
ST20240128_142425_OH I WISH I HAD A RIVER I COULD SKATE AWAY ON,"OH, I WISH I HAD A RIVER",I COULD SKATE AWAY ON
ST20240128_142426_BRAINS ARE AWESOME I WISH EVERYBODY HAD SOME,BRAINS ARE AWESOME I,WISH EVERYBODY HAD SOME
